SuppressionSegmentId,Journey Definition,CustomerJourneyId,Journey Name,Journey Lifecycle,Entity Status,Link
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New ActivityTypeName_bpf_root_TitleText"",""ActivityItemId"":15},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New ActivityTypeName_bpf_root_TitleText"",""ActivityItemId"":16}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_2"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""Premium Customers"",""ActivityItemId"":23,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":null,""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":24,""ContainmentMethod"":""Inclusion""}]}},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_2"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_2_5"",""Properties"":{""Items"":[{""ItemId"":""d3b358c7-5fcf-e711-a94d-000d3a36cc30"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""Introduction to Chairs"",""ActivityItemId"":36,""Description"":""""},{""ItemId"":""43007597-60d6-e711-a949-000d3a31a55c"",""ActivityTypeId"":""LandingPage"",""Title"":""Undefined"",""Name"":""Product Lines Newsletter"",""ActivityItemId"":371}]}},{""ActivityTypeId"":""Trigger"",""ParentActivityId"":""01_2_5"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_2_5_8"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Trigger"",""Title"":""Undefined"",""Name"":""opened?"",""ActivityItemId"":52,""TimeoutValue"":5,""ConditionExpressions"":[{}],""RuleLogic"":""AND"",""RuleLogicDisplayValue"":""And"",""TimeoutUnit"":""Day"",""Description"":""""}]}},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_2_5_8"",""ParentBranchId"":0,""ParentRelationshipType"":""YesBranch"",""ActivityId"":""01_2_5_8_16"",""Properties"":{""Items"":[{""ItemId"":""256122fd-5fcf-e711-a94d-000d3a36cc30"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""Newsletter Invitation"",""ActivityItemId"":72,""Description"":""""},{""ItemId"":null,""ActivityTypeId"":""LandingPage"",""Title"":""Undefined"",""Name"":""Product Lines Newsletter Signup"",""ActivityItemId"":97,""Description"":""""}]}},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_2_5_8"",""ParentBranchId"":1,""ParentRelationshipType"":""NoBranch"",""ActivityId"":""01_2_5_8_23"",""Properties"":{""Items"":[{""ItemId"":""22c2e3c5-60cf-e711-a94d-000d3a36cc30"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""Chairs Brochure"",""ActivityItemId"":111,""Description"":""""}]}},{""ActivityTypeId"":""Trigger"",""ParentActivityId"":""01_2_5_8_16"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_2_5_8_16_26"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Trigger"",""Title"":""Undefined"",""Name"":""submission?"",""ActivityItemId"":139,""TimeoutValue"":5,""ConditionExpressions"":[{}],""RuleLogic"":""AND"",""RuleLogicDisplayValue"":""And"",""TimeoutUnit"":""Day"",""Description"":""""}]}},{""ActivityTypeId"":""empty"",""ParentActivityId"":""01_2_5_8_16_26"",""ParentBranchId"":1,""ParentRelationshipType"":""NoBranch"",""ActivityId"":""01_2_5_8_16_26_28"",""Properties"":{""Items"":[]}},{""ActivityTypeId"":""Scheduler"",""ParentActivityId"":""01_2_5_8_16_26"",""ParentBranchId"":0,""ParentRelationshipType"":""YesBranch"",""ActivityId"":""01_2_5_8_16_26_34"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Scheduler"",""Title"":""Undefined"",""Name"":""Wait 3 weeks"",""ActivityItemId"":157,""WaitUntilMonday"":true,""WaitUntilTuesday"":true,""WaitUntilWednesday"":true,""WaitUntilThursday"":true,""WaitUntilFriday"":true,""WaitUntilSaturday"":true,""WaitUntilSunday"":true,""WaitUntilFromHour"":0,""WaitUntilFromMinute"":0,""WaitUntilToHour"":23,""WaitUntilToMinute"":59,""OffsetType"":""Duration""}]}},{""ActivityTypeId"":""CreateCrmActivity"",""ParentActivityId"":""01_2_5_8_16_26_34"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_2_5_8_16_26_34_38"",""Properties"":{""Items"":[{""ItemId"":""2d38555b-5fcf-e711-a94d-000d3a36cc30"",""ActivityTypeId"":""CreateCrmActivity"",""Title"":""Undefined"",""Name"":""Feedback Call"",""ActivityItemId"":212,""TemplateEntityLogicalName"":""msdyncrm_phonecallactivitymarketingtemplate"",""ActivityTypeName"":""phonecall"",""Owner"":""msdyncrm_customerjourney.ownerid"",""Description"":""""}]}}]","5d00bc2a-5fcf-e711-a94d-000d3a36cc30","Contoso Chairs splash campaign","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=5d00bc2a-5fcf-e711-a94d-000d3a36cc30"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""New ActivityTypeName_bpf_root_TitleText"",""ActivityItemId"":15}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_0"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""IsNameSystemDefined"":false,""Name"":""Premium Customers"",""ActivityItemId"":22,""SegmentMergeMethod"":""Union"",""Description"":""""},{""ItemId"":null,""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""IsNameSystemDefined"":false,""Name"":""Premium Account Segment"",""ActivityItemId"":23,""ContainmentMethod"":""Inclusion"",""SegmentSourceType"":""Segment"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_0"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_0_6"",""Properties"":{""Items"":[{""ItemId"":""d3b358c7-5fcf-e711-a94d-000d3a36cc30"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""IsNameSystemDefined"":false,""Name"":""Introduction to Chairs"",""ActivityItemId"":31,""Description"":""""},{""ItemId"":""43007597-60d6-e711-a949-000d3a31a55c"",""ActivityTypeId"":""LandingPage"",""Title"":""Undefined"",""IsNameSystemDefined"":false,""Name"":""Product Line Newsletter"",""ActivityItemId"":206}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Trigger"",""ParentActivityId"":""01_0_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_0_6_11"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Trigger"",""Title"":""Undefined"",""IsNameSystemDefined"":false,""Name"":""Email Clicked"",""ActivityItemId"":44,""TimeoutValue"":5,""TriggerScopeEntityTarget"":""account"",""ConditionExpressions"":[{""SourceActivityItemId"":""31"",""Condition"":""EmailAnyLinkClicked""}],""RuleLogic"":""AND"",""RuleLogicDisplayValue"":""And"",""TimeoutUnit"":""Day"",""Description"":""Move all contacts of an Account if any contact of an Account clicks within an email, as an expression of interest from a particular account""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""CreateLead"",""ParentActivityId"":""01_0_6_11"",""ParentBranchId"":0,""ParentRelationshipType"":""YesBranch"",""ActivityId"":""01_0_6_11_21"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""CreateLead"",""Title"":""Undefined"",""IsNameSystemDefined"":false,""Name"":""Account Lead"",""ActivityItemId"":56,""Owner"":""msdyncrm_customerjourney.ownerid"",""Description"":""Create Account based Lead if any Contact from a particular Account opens an email""}]},""EntityTarget"":""account""},{""ActivityTypeId"":""CreateCrmActivity"",""ParentActivityId"":""01_0_6_11"",""ParentBranchId"":1,""ParentRelationshipType"":""NoBranch"",""ActivityId"":""01_0_6_11_31"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""CreateCrmActivity"",""Title"":""Undefined"",""IsNameSystemDefined"":false,""Name"":""Follow Up Call"",""ActivityItemId"":102,""TemplateEntityLogicalName"":""msdyncrm_phonecallactivitymarketingtemplate"",""ActivityTypeName"":""phonecall"",""Owner"":""msdyncrm_customerjourney.ownerid"",""Description"":""""}]},""EntityTarget"":""account""}]","70d2a43d-3eb2-e811-a97b-000d3a36cc30","Contoso Chairs - ABM Campaign","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=70d2a43d-3eb2-e811-a97b-000d3a36cc30"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":0},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":1}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ActivityId"":""01_6"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":29,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":""5d218f82-934f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":30,""ContainmentMethod"":""Inclusion"",""DciSegmentName"":""Segch0326"",""SegmentDisplayName"":""Segch0326"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8"",""Properties"":{""Items"":[{""ItemId"":""54b16818-954f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""New Email"",""ActivityItemId"":38}]},""EntityTarget"":""contact""}]","09942dbe-954f-e911-a82a-000d3a4e6483","subprefill","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=09942dbe-954f-e911-a82a-000d3a4e6483"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":0},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":1}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ActivityId"":""01_6"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":29,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":""5d218f82-934f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":30,""ContainmentMethod"":""Inclusion"",""DciSegmentName"":""Segch0326"",""SegmentDisplayName"":""Segch0326"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8"",""Properties"":{""Items"":[{""ItemId"":""21582429-984f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""New Email"",""ActivityItemId"":38,""Description"":""""}]},""EntityTarget"":""contact""}]","c9c6c844-984f-e911-a82a-000d3a4e6483","Landprefill","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=c9c6c844-984f-e911-a82a-000d3a4e6483"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":0},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":1}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ActivityId"":""01_6"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":29,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":""5d218f82-934f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":30,""ContainmentMethod"":""Inclusion"",""DciSegmentName"":""Segch0326"",""SegmentDisplayName"":""Segch0326"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8"",""Properties"":{""Items"":[{""ItemId"":""21582429-984f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""New Email"",""ActivityItemId"":38}]},""EntityTarget"":""contact""}]","031c26ac-984f-e911-a82a-000d3a4e6483","ladnprefill2","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=031c26ac-984f-e911-a82a-000d3a4e6483"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":0},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":1}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ActivityId"":""01_6"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":29,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":""5d218f82-934f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":30,""ContainmentMethod"":""Inclusion"",""DciSegmentName"":""Segch0326"",""SegmentDisplayName"":""Segch0326"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8"",""Properties"":{""Items"":[{""ItemId"":""257f16f9-a34f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""New Email"",""ActivityItemId"":38}]},""EntityTarget"":""contact""}]","a2301529-a44f-e911-a82a-000d3a4e6483","sc24subs","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=a2301529-a44f-e911-a82a-000d3a4e6483"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":0},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":1}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ActivityId"":""01_6"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":29,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":""3fb0bfb2-a34f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":30,""ContainmentMethod"":""Inclusion"",""DciSegmentName"":"""",""SegmentDisplayName"":"""",""SegmentSourceType"":""SubscriptionMarketingList"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8"",""Properties"":{""Items"":[{""ItemId"":""257f16f9-a34f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""New Email"",""ActivityItemId"":38,""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Scheduler"",""ParentActivityId"":""01_6_8"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8_14"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Scheduler"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""New Scheduler"",""ActivityItemId"":62,""WaitUntilMonday"":true,""WaitUntilTuesday"":true,""WaitUntilWednesday"":true,""WaitUntilThursday"":true,""WaitUntilFriday"":true,""WaitUntilSaturday"":true,""WaitUntilSunday"":true,""WaitUntilFromHour"":0,""WaitUntilFromMinute"":0,""WaitUntilToHour"":23,""WaitUntilToMinute"":59,""OffsetType"":""Duration"",""ScheduledDurationUnit"":""Hour"",""ScheduledHour"":0,""ScheduledMinute"":0,""ScheduledDurationValue"":1,""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6_8_14"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8_14_18"",""Properties"":{""Items"":[{""ItemId"":""70b011cf-a44f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""post1hr"",""ActivityItemId"":74,""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Scheduler"",""ParentActivityId"":""01_6_8_14_18"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8_14_18_22"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Scheduler"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""New Scheduler"",""ActivityItemId"":88,""WaitUntilMonday"":true,""WaitUntilTuesday"":true,""WaitUntilWednesday"":true,""WaitUntilThursday"":true,""WaitUntilFriday"":true,""WaitUntilSaturday"":true,""WaitUntilSunday"":true,""WaitUntilFromHour"":0,""WaitUntilFromMinute"":0,""WaitUntilToHour"":23,""WaitUntilToMinute"":59,""OffsetType"":""Duration"",""ScheduledDurationUnit"":""Hour"",""ScheduledHour"":0,""ScheduledMinute"":0,""ScheduledDurationValue"":1,""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6_8_14_18_22"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8_14_18_22_26"",""Properties"":{""Items"":[{""ItemId"":""fba860d6-a44f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""post2hrs"",""ActivityItemId"":104,""Description"":""""}]},""EntityTarget"":""contact""}]","10fa760b-a54f-e911-a82a-000d3a4e6483","sc24a","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=10fa760b-a54f-e911-a82a-000d3a4e6483"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":0},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":1}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ActivityId"":""01_6"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":29,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":""bca6c1b6-914f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":30,""ContainmentMethod"":""Inclusion"",""DciSegmentName"":"""",""SegmentDisplayName"":"""",""SegmentSourceType"":""SubscriptionMarketingList"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8"",""Properties"":{""Items"":[{""ItemId"":""a3c77422-a44f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""New Email"",""ActivityItemId"":38,""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Scheduler"",""ParentActivityId"":""01_6_8"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8_9"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Scheduler"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""New Scheduler"",""ActivityItemId"":62,""WaitUntilMonday"":true,""WaitUntilTuesday"":true,""WaitUntilWednesday"":true,""WaitUntilThursday"":true,""WaitUntilFriday"":true,""WaitUntilSaturday"":true,""WaitUntilSunday"":true,""WaitUntilFromHour"":0,""WaitUntilFromMinute"":0,""WaitUntilToHour"":23,""WaitUntilToMinute"":59,""OffsetType"":""Duration"",""ScheduledDurationUnit"":""Hour"",""ScheduledHour"":0,""ScheduledMinute"":0,""ScheduledDurationValue"":10,""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6_8_9"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8_9_11"",""Properties"":{""Items"":[{""ItemId"":""4dff2c6f-a44f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""DCIFreeEmailMLUnSub2"",""ActivityItemId"":74,""Description"":""""}]},""EntityTarget"":""contact""}]","eb078049-a54f-e911-a82a-000d3a4e6483","DCIFreeMLUnSubCustomerJourney","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=eb078049-a54f-e911-a82a-000d3a4e6483"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""New ActivityTypeName_bpf_root_TitleText"",""ActivityItemId"":0}]}},{""ActivityTypeId"":""RecordUpdate"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_0"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""RecordUpdate"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""New Record updated"",""ActivityItemId"":17,""TriggerType"":""Create"",""EntityFieldName"":"""",""EntityLogicalName"":""lead"",""ContactFieldName"":""parentcontactid"",""Description"":""""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_0"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_0_7"",""Properties"":{""Items"":[{""ItemId"":""8db45d80-ad4f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""IsNameSystemDefined"":true,""Name"":""TC655531_emailName_svOBJ"",""ActivityItemId"":20}]},""EntityTarget"":""contact""}]","71468adb-ad4f-e911-a82a-000d3a4e6483","TC655531_cjName_77Ni5vxEu8","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=71468adb-ad4f-e911-a82a-000d3a4e6483"
"","[{""ActivityTypeId"":""bpf_root"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":0},{""ItemId"":null,""ActivityTypeId"":""bpf_root"",""Title"":""Undefined"",""Name"":""New bpf_root"",""ActivityItemId"":1}]}},{""ActivityTypeId"":""Segment"",""ParentActivityId"":""01"",""ParentBranchId"":0,""ActivityId"":""01_6"",""Properties"":{""Items"":[{""ItemId"":null,""ActivityTypeId"":""Segment"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":29,""SegmentMergeMethod"":""Union"",""ContainmentMethod"":""Inclusion""},{""ItemId"":""084934d5-ad4f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""SegmentItem"",""Title"":""Undefined"",""Name"":""New Segment"",""ActivityItemId"":30,""ContainmentMethod"":""Inclusion"",""DciSegmentName"":""LookUp__IS_Currency_Segment_4127e9b0"",""SegmentDisplayName"":""LookUp  IS Segment""}]},""EntityTarget"":""contact""},{""ActivityTypeId"":""Email"",""ParentActivityId"":""01_6"",""ParentBranchId"":0,""ParentRelationshipType"":""Default"",""ActivityId"":""01_6_8"",""Properties"":{""Items"":[{""ItemId"":""34e73810-ae4f-e911-a82a-000d3a4e6483"",""ActivityTypeId"":""Email"",""Title"":""Undefined"",""Name"":""New Email"",""ActivityItemId"":38,""Description"":""""}]},""EntityTarget"":""contact""}]","10bd036c-ae4f-e911-a82a-000d3a4e6483","DynPersoCustomerJourney","","","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=10bd036c-ae4f-e911-a82a-000d3a4e6483"
