Size,Interaction Name,File Name,Datestamp,DaysFromToday
908,"EmailOpened","e22c4603-ec97-4ba3-946e-e9e4c03fddf2",2019-09-18 00:00:00.000,-14
1447,"EmailOpened","cc503753-5491-4ed0-ad32-dd0799e88ae1",2019-09-18 00:00:00.000,-14
2525,"EmailOpened","7b1e53cd-93b0-4436-9a84-160d64893e16",2019-09-18 00:00:00.000,-14
932,"EmailOpened","0fa45749-a65e-4001-9ffb-195c9b245c10",2019-09-18 00:00:00.000,-14
932,"EmailOpened","d72b6c87-c168-4a19-a805-5d9bae9d27e2",2019-09-18 00:00:00.000,-14
84226,"EmailSent","60cd79c6-2c13-49e4-8c1c-87bef4a2bbc1",2019-09-18 00:00:00.000,-14
965,"EmailOpened","5f2a02c1-2371-4a69-a551-e2b2dd05b6c3",2019-09-18 00:00:00.000,-14
250495,"EmailSent","73b0d8c5-e985-4fdd-b4a2-f37b8c311b44",2019-09-18 00:00:00.000,-14
2737,"EmailClicked","a7333d5c-b03c-4adc-af72-15c62a8e1a3c",2019-09-18 00:00:00.000,-14
965,"EmailOpened","c4a61417-f204-494c-9c57-3c1ae218d8b4",2019-09-18 00:00:00.000,-14
152717,"EmailSent","661ce6d8-1898-4daf-8702-ed02155231ca",2019-09-18 00:00:00.000,-14
24041,"EmailSent","8a1317e9-b841-4e8d-9a13-3f8f59caa729",2019-09-18 00:00:00.000,-14
14140,"EmailSent","7c60f048-f04a-4030-83a7-5004a0d281b9",2019-09-18 00:00:00.000,-14
11618,"EmailSent","128cbf39-9d6f-403f-91df-10eb2d947f5f",2019-09-18 00:00:00.000,-14
