EntitySetName,SchemaName
"accountleadscollection","AccountLeads"
"accounts","Account"
"activitymimeattachments","ActivityMimeAttachment"
"activityparties","ActivityParty"
"activitypointers","ActivityPointer"
"bookableresourcegroups","BookableResourceGroup"
"bookableresourcecategoryassns","BookableResourceCategoryAssn"
"appointments","Appointment"
"bookableresources","BookableResource"
"bookableresourcebookingheaders","BookableResourceBookingHeader"
"annotations","Annotation"
"bulkoperations","BulkOperation"
"campaignresponses","CampaignResponse"
"bookableresourcecategories","BookableResourceCategory"
"businessunits","BusinessUnit"
"campaignactivityitems","CampaignActivityItem"
"bookableresourcebookings","BookableResourceBooking"
"campaignitems","CampaignItem"
"attachments","Attachment"
"bulkoperationlogs","BulkOperationLog"
"campaigns","Campaign"
"campaignactivities","CampaignActivity"
"bookableresourcecharacteristics","BookableResourceCharacteristic"
"bookingstatuses","BookingStatus"
"businessunitnewsarticles","BusinessUnitNewsArticle"
"characteristics","Characteristic"
"competitoraddresses","CompetitorAddress"
"competitorproducts","CompetitorProduct"
"competitors","Competitor"
"competitorsalesliteratures","CompetitorSalesLiterature"
"connectionroles","ConnectionRole"
"connections","Connection"
"contactinvoicescollection","ContactInvoices"
"contactleadscollection","ContactLeads"
"contactorderscollection","ContactOrders"
"contactquotescollection","ContactQuotes"
"contacts","Contact"
"contractdetails","ContractDetail"
"contracts","Contract"
"customeraddresses","CustomerAddress"
"discounts","Discount"
"discounttypes","DiscountType"
"dynamicproperties","DynamicProperty"
"dynamicpropertyassociations","DynamicPropertyAssociation"
"dynamicpropertyinstances","DynamicPropertyInstance"
"dynamicpropertyoptionsetitems","DynamicPropertyOptionSetItem"
"emails","Email"
"entitlementcontactscollection","EntitlementContacts"
"entitlementproductscollection","EntitlementProducts"
"entitlements","Entitlement"
"equipments","Equipment"
"faxes","Fax"
"feedback","Feedback"
"goals","Goal"
"incidentknowledgebaserecords","IncidentKnowledgeBaseRecord"
"incidentresolutions","IncidentResolution"
"incidents","Incident"
"invoicedetails","InvoiceDetail"
"invoices","Invoice"
"kbarticlecomments","KbArticleComment"
"kbarticles","KbArticle"
"kbarticletemplates","KbArticleTemplate"
"knowledgearticleincidents","KnowledgeArticleIncident"
"knowledgearticles","KnowledgeArticle"
"knowledgebaserecords","KnowledgeBaseRecord"
"leadaddresses","LeadAddress"
"leadcompetitorscollection","LeadCompetitors"
"leadproducts","LeadProduct"
"leads","Lead"
"letters","Letter"
"listmembers","ListMember"
"lists","List"
"metrics","Metric"
"opportunities","Opportunity"
"opportunitycloses","OpportunityClose"
"opportunitycompetitorscollection","OpportunityCompetitors"
"opportunityproducts","OpportunityProduct"
"ordercloses","OrderClose"
"organizations","Organization"
"phonecalls","PhoneCall"
"positions","Position"
"pricelevels","PriceLevel"
"productassociations","ProductAssociation"
"productpricelevels","ProductPriceLevel"
"products","Product"
"productsalesliteratures","ProductSalesLiterature"
"productsubstitutes","ProductSubstitute"
"queueitems","QueueItem"
"queuememberships","QueueMembership"
"queues","Queue"
"quotecloses","QuoteClose"
"quotedetails","QuoteDetail"
"quotes","Quote"
"ratingmodels","RatingModel"
"ratingvalues","RatingValue"
"recurringappointmentmasters","RecurringAppointmentMaster"
"resourcegroups","ResourceGroup"
"resources","Resource"
"resourcespecs","ResourceSpec"
"salesliteratureitems","SalesLiteratureItem"
"salesliteratures","SalesLiterature"
"salesorderdetails","SalesOrderDetail"
"salesorders","SalesOrder"
"serviceappointments","ServiceAppointment"
"servicecontractcontactscollection","ServiceContractContacts"
"services","Service"
"sites","Site"
"slaitems","SLAItem"
"slakpiinstances","SLAKPIInstance"
"slas","SLA"
"socialactivities","SocialActivity"
"socialprofiles","SocialProfile"
"systemusers","SystemUser"
"tasks","Task"
"teammemberships","TeamMembership"
"teams","Team"
"territories","Territory"
"transactioncurrencies","TransactionCurrency"
"uoms","UoM"
"uomschedules","UoMSchedule"
