Size,Interaction Name,File Name,variable,value
4591,WebsiteVisited,ef6defc8-1689-48ba-979a-ebc933434768,Datestamp,2019-08-06 00:00:00.000
970,WebsiteVisited,39c0e806-4bdc-4fc6-af52-8a0ae2cc21eb,Datestamp,2019-08-06 00:00:00.000
13012,EmailDelivered,6defbde2-8472-49dd-a51e-a96a4469b1ae,Datestamp,2019-08-21 00:00:00.000
1171,EmailHardBounced,c3cbf4a1-6c06-4a97-a41f-4ea6177633c2,Datestamp,2019-09-18 00:00:00.000
1070,EmailHardBounced,99f24789-48a0-4382-b1da-8cdb87fb7be4,Datestamp,2019-08-12 00:00:00.000
970,WebsiteVisited,cd65c677-ae5f-460b-9b98-7891fd8d5089,Datestamp,2019-08-06 00:00:00.000
1984,WebsiteVisited,90be8fb5-d111-483e-bd42-254d01e8f79f,Datestamp,2019-08-06 00:00:00.000
5322,EmailDelivered,30bcb1bc-4e4d-4804-b4f2-81224b71f380,Datestamp,2019-08-21 00:00:00.000
4048,WebsiteVisited,a87d7e5c-7ded-4eac-ab73-bb6f6ddfe956,Datestamp,2019-08-06 00:00:00.000
4465,EmailDelivered,94fad519-a7bd-463f-bc78-35d3631185c6,Datestamp,2019-08-21 00:00:00.000
2998,WebsiteVisited,13dbbe53-f6c0-44da-b319-c9a1a5396831,Datestamp,2019-08-06 00:00:00.000
4048,WebsiteVisited,58c4df65-8abd-4bf3-9ec6-1d66c0f48c46,Datestamp,2019-08-06 00:00:00.000
965,EmailOpened,c4a61417-f204-494c-9c57-3c1ae218d8b4,Datestamp,2019-09-18 00:00:00.000
72643,ActivityContactDispatched,8f4a5620-58ab-4b51-9484-a4f04d7027d2,Datestamp,2019-08-21 00:00:00.000
515,SchedulerActivityContactProcessed,c2f06278-ce55-4ef4-a321-4b64d2f5784e,Datestamp,2019-08-06 00:00:00.000
608,EmailSent,cb495ab7-c05b-448d-90f4-0e6f23c4ecd5,Datestamp,2019-08-12 00:00:00.000
598,InvalidRecipientAddress,8e3ec277-cd38-4f24-92f6-b3439a903dcb,Datestamp,2019-08-23 00:00:00.000
