Business Application,month,device_count,percent_device_count
"Benefits Calculator",2020-11-01 00:00:00.000,10,0.25
"Benefits Calculator",2020-12-01 00:00:00.000,10,0.25
"Benefits Calculator",2021-01-01 00:00:00.000,10,0.24
"Benefits Calculator",2021-02-01 00:00:00.000,10,0.23
"Benefits Calculator",2021-03-01 00:00:00.000,10,0.23
"Benefits Calculator",2021-04-01 00:00:00.000,8,0.42
"Benefits Calculator",2021-05-01 00:00:00.000,8,0.41
"Benefits Calculator",2021-06-01 00:00:00.000,8,0.62
"Benefits Calculator",2021-07-01 00:00:00.000,8,0.63
"Benefits Calculator",2021-08-01 00:00:00.000,8,0.63
"Benefits Calculator",2021-09-01 00:00:00.000,8,0.61
"Benefits Calculator",2021-10-01 00:00:00.000,5,0.39
"Benefits Calculator",2021-11-01 00:00:00.000,5,0.81
"bus app demo",2020-11-01 00:00:00.000,15,0.37
"bus app demo",2020-12-01 00:00:00.000,15,0.37
"bus app demo",2021-01-01 00:00:00.000,15,0.37
"bus app demo",2021-02-01 00:00:00.000,15,0.35
"bus app demo",2021-03-01 00:00:00.000,15,0.35
"bus app demo",2021-04-01 00:00:00.000,15,0.78
"bus app demo",2021-05-01 00:00:00.000,15,0.77
"bus app demo",2021-06-01 00:00:00.000,15,1.17
"bus app demo",2021-07-01 00:00:00.000,15,1.19
"bus app demo",2021-08-01 00:00:00.000,15,1.17
"bus app demo",2021-09-01 00:00:00.000,15,1.14
"bus app demo",2021-10-01 00:00:00.000,13,1.02
"bus app demo",2021-11-01 00:00:00.000,13,2.11
"CRM App",2020-11-01 00:00:00.000,3,0.07
"CRM App",2020-12-01 00:00:00.000,3,0.07
"CRM App",2021-01-01 00:00:00.000,3,0.07
"CRM App",2021-02-01 00:00:00.000,3,0.07
"CRM App",2021-03-01 00:00:00.000,3,0.07
"CRM App",2021-04-01 00:00:00.000,3,0.16
"CRM App",2021-05-01 00:00:00.000,3,0.15
"CRM App",2021-06-01 00:00:00.000,3,0.23
"CRM App",2021-07-01 00:00:00.000,3,0.24
"CRM App",2021-08-01 00:00:00.000,3,0.23
"CRM App",2021-09-01 00:00:00.000,3,0.23
"CRM App",2021-10-01 00:00:00.000,3,0.23
"CRM App",2021-11-01 00:00:00.000,3,0.49
"demo1",2020-11-01 00:00:00.000,1,0.02
"demo1",2020-12-01 00:00:00.000,1,0.02
"demo1",2021-01-01 00:00:00.000,1,0.02
"demo1",2021-02-01 00:00:00.000,1,0.02
"demo1",2021-03-01 00:00:00.000,1,0.02
"demo1",2021-04-01 00:00:00.000,1,0.05
"demo1",2021-05-01 00:00:00.000,1,0.05
"demo1",2021-06-01 00:00:00.000,1,0.08
"demo1",2021-07-01 00:00:00.000,1,0.08
"demo1",2021-08-01 00:00:00.000,1,0.08
"demo1",2021-09-01 00:00:00.000,1,0.08
"demo1",2021-10-01 00:00:00.000,1,0.08
"demo1",2021-11-01 00:00:00.000,1,0.16
"Edf App",2020-11-01 00:00:00.000,9,0.22
"Edf App",2020-12-01 00:00:00.000,9,0.22
"Edf App",2021-01-01 00:00:00.000,9,0.22
"Edf App",2021-02-01 00:00:00.000,9,0.21
"Edf App",2021-03-01 00:00:00.000,9,0.21
"Edf App",2021-04-01 00:00:00.000,9,0.47
"Edf App",2021-05-01 00:00:00.000,9,0.46
"Edf App",2021-06-01 00:00:00.000,9,0.7
"Edf App",2021-07-01 00:00:00.000,9,0.71
"Edf App",2021-08-01 00:00:00.000,9,0.7
"Edf App",2021-09-01 00:00:00.000,9,0.69
"Edf App",2021-10-01 00:00:00.000,9,0.7
"Edf App",2021-11-01 00:00:00.000,9,1.46
"GFK App",2020-11-01 00:00:00.000,15,0.37
"GFK App",2020-12-01 00:00:00.000,15,0.37
"GFK App",2021-01-01 00:00:00.000,15,0.37
"GFK App",2021-02-01 00:00:00.000,15,0.35
"GFK App",2021-03-01 00:00:00.000,15,0.35
"GFK App",2021-04-01 00:00:00.000,15,0.78
"GFK App",2021-05-01 00:00:00.000,15,0.77
"GFK App",2021-06-01 00:00:00.000,15,1.17
"GFK App",2021-07-01 00:00:00.000,15,1.19
"GFK App",2021-08-01 00:00:00.000,15,1.17
"GFK App",2021-09-01 00:00:00.000,15,1.14
"GFK App",2021-10-01 00:00:00.000,13,1.02
"GFK App",2021-11-01 00:00:00.000,13,2.11
"Jupiter Application",2020-11-01 00:00:00.000,8,0.2
"Jupiter Application",2020-12-01 00:00:00.000,8,0.2
"Jupiter Application",2021-01-01 00:00:00.000,8,0.2
"Jupiter Application",2021-02-01 00:00:00.000,8,0.19
"Jupiter Application",2021-03-01 00:00:00.000,8,0.18
"Jupiter Application",2021-04-01 00:00:00.000,8,0.42
"Jupiter Application",2021-05-01 00:00:00.000,8,0.41
"Jupiter Application",2021-06-01 00:00:00.000,8,0.62
"Jupiter Application",2021-07-01 00:00:00.000,8,0.63
"Jupiter Application",2021-08-01 00:00:00.000,8,0.63
"Jupiter Application",2021-09-01 00:00:00.000,8,0.61
"Jupiter Application",2021-10-01 00:00:00.000,5,0.39
"Jupiter Application",2021-11-01 00:00:00.000,5,0.81
"Jupiter Internal",2020-11-01 00:00:00.000,13,0.32
"Jupiter Internal",2020-12-01 00:00:00.000,13,0.32
"Jupiter Internal",2021-01-01 00:00:00.000,13,0.32
"Jupiter Internal",2021-02-01 00:00:00.000,13,0.3
"Jupiter Internal",2021-03-01 00:00:00.000,13,0.3
"Jupiter Internal",2021-04-01 00:00:00.000,13,0.68
"Jupiter Internal",2021-05-01 00:00:00.000,13,0.67
"Jupiter Internal",2021-06-01 00:00:00.000,13,1.01
"Jupiter Internal",2021-07-01 00:00:00.000,13,1.03
"Jupiter Internal",2021-08-01 00:00:00.000,13,1.02
"Jupiter Internal",2021-09-01 00:00:00.000,13,0.99
"Jupiter Internal",2021-10-01 00:00:00.000,10,0.78
"Jupiter Internal",2021-11-01 00:00:00.000,10,1.63
"Payroll",2020-11-01 00:00:00.000,3,0.07
"Payroll",2020-12-01 00:00:00.000,3,0.07
"Payroll",2021-01-01 00:00:00.000,3,0.07
"Payroll",2021-02-01 00:00:00.000,3,0.07
"Payroll",2021-03-01 00:00:00.000,3,0.07
"Payroll",2021-04-01 00:00:00.000,3,0.16
"Payroll",2021-05-01 00:00:00.000,3,0.15
"Payroll",2021-06-01 00:00:00.000,3,0.23
"Payroll",2021-07-01 00:00:00.000,3,0.24
"Payroll",2021-08-01 00:00:00.000,3,0.23
"Payroll",2021-09-01 00:00:00.000,3,0.23
"Payroll",2021-10-01 00:00:00.000,3,0.23
"Payroll",2021-11-01 00:00:00.000,3,0.49
"PPS App",2020-11-01 00:00:00.000,14,0.35
"PPS App",2020-12-01 00:00:00.000,14,0.35
"PPS App",2021-01-01 00:00:00.000,14,0.34
"PPS App",2021-02-01 00:00:00.000,14,0.33
"PPS App",2021-03-01 00:00:00.000,14,0.32
"PPS App",2021-04-01 00:00:00.000,13,0.68
"PPS App",2021-05-01 00:00:00.000,14,0.72
"PPS App",2021-06-01 00:00:00.000,14,1.09
"PPS App",2021-07-01 00:00:00.000,15,1.19
"PPS App",2021-08-01 00:00:00.000,15,1.17
"PPS App",2021-09-01 00:00:00.000,15,1.14
"PPS App",2021-10-01 00:00:00.000,15,1.17
"PPS App",2021-11-01 00:00:00.000,15,2.44
"Production Research",2020-11-01 00:00:00.000,10,0.25
"Production Research",2020-12-01 00:00:00.000,10,0.25
"Production Research",2021-01-01 00:00:00.000,10,0.24
"Production Research",2021-02-01 00:00:00.000,10,0.23
"Production Research",2021-03-01 00:00:00.000,10,0.23
"Production Research",2021-04-01 00:00:00.000,10,0.52
