Product,Supplier,ProdLine,Commission,Overcommission
"10 Payments","Excellence","Life Ins.",45,56
"20 Payments","Excellence","Life Ins.",45,56
"Accent-Life 10","Zurich","Life Ins.",35,40
"Advantage Life Plus","Transamerica Life","Life Ins.",65,58
"AGF funds","AGF","Mutual funds",5,100
"Architect Summit","Maritime","Life Ins.",60,55
"ART 75","AIG","Life Ins.",32.5,76
"Art Plus (T-1): Option A","Laurier","Life Ins.",45,27
"Art Plus (T-1): Option B","Laurier","Life Ins.",65,27
"Champion T-1: 100,000 and plus","Royal & Sun Alliance","Life Ins.",100,30
"Champion T-1: 25,000 - 99,999$","Royal & Sun Alliance","Life Ins.",95,30
"Champion T-100: 100,000 and plus","Royal & Sun Alliance","Life Ins.",100,30
"Champion T-100: 25,000 - 99,999$","Royal & Sun Alliance","Life Ins.",85,30
"CI funds","C.I.","Mutual funds",5,100
"Concord","Concordia","Life Ins.",65,41
"Continuing Life (T-10): Option A","Laurier","Life Ins.",60,27
"Continuing Life (T-10): Option B","Laurier","Life Ins.",80,27
"Continuing Life (T-75)","Laurier","Life Ins.",80,27
"Destiny","RBC","Life Ins.",65,73
"Dimension (V.U.) Series I","AIG","Life Ins.",55,76
"Dimension (V.U.) Series II","AIG","Life Ins.",60,76
"Dimension (V.U.) Series III : Balanced","AIG","Life Ins.",60,76
"Dimension (V.U.) Series III : TRA","AIG","Life Ins.",65,76
"Dynalife 100","Canada-Life","Life Ins.",40,51
"Dynalife 20 prem.","Canada-Life","Life Ins.",60,51
"EZ 123","Laurier","Life Ins.",30,27
"F15","Maritime","Life Ins.",40,55
"Flexterm 10","Royal & Sun Alliance","Life Ins.",50,30
"Health","AVDL","Life Ins.",50,100
"Horizon 10 : 100 000 to 499 999 $","AVDL","Life Ins.",35,100
"Horizon 10 : 50 000 to 99 999 $","AVDL","Life Ins.",40,100
"Horizon 10 : 500 000  plus","AVDL","Life Ins.",25,100
"Horizon 20 : 100 000 to 499 999 $","AVDL","Life Ins.",30,100
"Horizon 20 : 25 000 to 99 999 $","AVDL","Life Ins.",40,100
"Horizon 20 : 500 000  plus","AVDL","Life Ins.",25,100
"Horizon 20 accelerated : 100 000 to 499 999 $","AVDL","Life Ins.",35,100
"Horizon 20 accelerated : 25 000 to 99 999 $","AVDL","Life Ins.",45,100
"Horizon 20 accelerated : 500 000 plus","AVDL","Life Ins.",30,100
"Horizon Cumul","AVDL","Life Ins.",60,100
"Horizon Evolution","AVDL","Life Ins.",50,100
"Horizon Evolution accelerated","AVDL","Life Ins.",60,100
"Horizon Habitation","AVDL","Life Ins.",35,100
"Horizon Liberty","AVDL","Life Ins.",50,100
"Horizon Liberty accelerated","AVDL","Life Ins.",60,100
"Horizon Liberty: Pol.","AVDL","Life Ins.",20,100
"Horizon Progression","AVDL","Life Ins.",50,100
"Horizon Progression accelerated","AVDL","Life Ins.",60,100
"Horizon Progression: Pol.","AVDL","Life Ins.",20,100
"Horizon Security","AVDL","Life Ins.",50,100
"Horizon Security accelerated","AVDL","Life Ins.",55,100
"Horizon Simplicity","AVDL","Life Ins.",50,100
"Horizon Simplicity accelerated","AVDL","Life Ins.",55,100
"Horizon Stability","AVDL","Life Ins.",40,100
"Horizon Stability accelerated","AVDL","Life Ins.",45,100
"Ideal Solution  (Distinct funds)","Standard Life","Annuity",3.5,24
