Date,Month,Year,Monthyear,Day,IsWeekday,Monthnumber
2020-01-01 00:00:00.000,"Jan","2020","2020-01","01-01",True,1
2020-01-02 00:00:00.000,"Jan","2020","2020-01","01-02",True,1
2020-01-03 00:00:00.000,"Jan","2020","2020-01","01-03",True,1
2020-01-04 00:00:00.000,"Jan","2020","2020-01","01-04",False,1
2020-01-05 00:00:00.000,"Jan","2020","2020-01","01-05",False,1
2020-01-06 00:00:00.000,"Jan","2020","2020-01","01-06",True,1
2020-01-07 00:00:00.000,"Jan","2020","2020-01","01-07",True,1
2020-01-08 00:00:00.000,"Jan","2020","2020-01","01-08",True,1
2020-01-09 00:00:00.000,"Jan","2020","2020-01","01-09",True,1
2020-01-10 00:00:00.000,"Jan","2020","2020-01","01-10",True,1
2020-01-11 00:00:00.000,"Jan","2020","2020-01","01-11",False,1
2020-01-12 00:00:00.000,"Jan","2020","2020-01","01-12",False,1
2020-01-13 00:00:00.000,"Jan","2020","2020-01","01-13",True,1
2020-01-14 00:00:00.000,"Jan","2020","2020-01","01-14",True,1
2020-01-15 00:00:00.000,"Jan","2020","2020-01","01-15",True,1
2020-01-16 00:00:00.000,"Jan","2020","2020-01","01-16",True,1
2020-01-17 00:00:00.000,"Jan","2020","2020-01","01-17",True,1
2020-01-18 00:00:00.000,"Jan","2020","2020-01","01-18",False,1
2020-01-19 00:00:00.000,"Jan","2020","2020-01","01-19",False,1
2020-01-20 00:00:00.000,"Jan","2020","2020-01","01-20",True,1
2020-01-21 00:00:00.000,"Jan","2020","2020-01","01-21",True,1
2020-01-22 00:00:00.000,"Jan","2020","2020-01","01-22",True,1
2020-01-23 00:00:00.000,"Jan","2020","2020-01","01-23",True,1
2020-01-24 00:00:00.000,"Jan","2020","2020-01","01-24",True,1
2020-01-25 00:00:00.000,"Jan","2020","2020-01","01-25",False,1
2020-01-26 00:00:00.000,"Jan","2020","2020-01","01-26",False,1
2020-01-27 00:00:00.000,"Jan","2020","2020-01","01-27",True,1
2020-01-28 00:00:00.000,"Jan","2020","2020-01","01-28",True,1
2020-01-29 00:00:00.000,"Jan","2020","2020-01","01-29",True,1
2020-01-30 00:00:00.000,"Jan","2020","2020-01","01-30",True,1
2020-01-31 00:00:00.000,"Jan","2020","2020-01","01-31",True,1
2020-02-01 00:00:00.000,"Feb","2020","2020-02","02-01",False,2
2020-02-02 00:00:00.000,"Feb","2020","2020-02","02-02",False,2
2020-02-03 00:00:00.000,"Feb","2020","2020-02","02-03",True,2
2020-02-04 00:00:00.000,"Feb","2020","2020-02","02-04",True,2
2020-02-05 00:00:00.000,"Feb","2020","2020-02","02-05",True,2
2020-02-06 00:00:00.000,"Feb","2020","2020-02","02-06",True,2
2020-02-07 00:00:00.000,"Feb","2020","2020-02","02-07",True,2
2020-02-08 00:00:00.000,"Feb","2020","2020-02","02-08",False,2
2020-02-09 00:00:00.000,"Feb","2020","2020-02","02-09",False,2
2020-02-10 00:00:00.000,"Feb","2020","2020-02","02-10",True,2
2020-02-11 00:00:00.000,"Feb","2020","2020-02","02-11",True,2
2020-02-12 00:00:00.000,"Feb","2020","2020-02","02-12",True,2
2020-02-13 00:00:00.000,"Feb","2020","2020-02","02-13",True,2
2020-02-14 00:00:00.000,"Feb","2020","2020-02","02-14",True,2
