Group,EquipmentName
"Altus","ALTUS MAX"
"Altus","ALTUS LFW"
"Altus","WN MAX"
"SSM","C3 ICE"
"Depo","MACHI STD"
"Depo","MACHI INT"
"Depo","MACHIV-SFEM"
"Depo","MACHIV-EFEM"
"","MACHIV Control Works(사용불가)"
"Depo","WTS EFEM"
"Depo","WTS SFEM"
"Depo","MACH IQ EFEM(with 4W)"
"Depo","MACH IQ SFEM"
"SSM","PC MAX"
"Argos","Argos"
"","MACHIV Consolidation"
"","Argos_ATAC"
"SSM","ALTUS EFX"
"","ALTUS LRW Intel"
"","CFEM"
"","WTS VTM"
"","MACH VTM"
"Coronus","CORONUS STD"
"Coronus","CORONUS HP"
"Coronus","CORONUS D"
"Altus","ALTUS GL"
"Etch_Upgrade","UPGRADE_Flex"
"Etch_Upgrade","UPGRADE_Kiyo"
"","ALTUS Upgrade"
"Depo_Upgrade","Strata GXE"
"Depo","Mach 1T"
"Depo","WTS CEFEM FE"
"Depo","WTS CEFEM BE"
"Depo","MACH IV CEFEM FE"
"Depo","MACH IV CEFEM BE"
"Depo","MACH I CEFEM"
"","ALD"
"Depo","MACH I CEFEM FE"
"Depo","MACH I CEFEM BE"
"Depo","MACH IV 4W CEFEM FE"
"Depo","MACH IV 4W CEFEM BE"
"Depo","MACH IQ CEFEM 4W FE"
"Depo","MACH IQ CEFEM FE"
"","Vector DTE"
"Flex","Flex FSE"
"SSM","Inflection GS"
"Flex","Flex FS"
"Altus","ALTUS IFM"
"","WTS Refurb"
"Flex","Flex FL"
