TestID,EquipmentID,SONumber,FCID,CompleteFlag,PmID,HoldUserID,CreateTime,inactive,CompleteTime,CompleteFlag1,CompleteFlag2,CompleteFlag3,CompleteTime1,CompleteTime2,CompleteTime3,LPR,PlnLaunch,PlnModTstStat,PlnMfgComp,LmkShipDate,STD,MCSD,Index,Group,CompleteTime2 Date/Time,Complete Time 2 Final,complete Time2 Time
102,2,"92214","183158",1,5,,2018-07-05 11:17:58.370,0,2018-07-30 10:21:38.253,1,1,1,,2018-07-30 00:00:00.000,,"",,,,,,,11,"Altus",2018-07-30 10:21:38.253,2018-07-30 00:00:00.000,1899-12-30 10:21:38.000
106,2,"92214","183158",1,1,,2018-07-06 14:22:46.040,0,2018-07-17 13:01:23.600,1,1,1,,2018-07-17 00:00:00.000,,"",,,,,,,14,"Altus",2018-07-17 13:01:23.600,2018-07-17 00:00:00.000,1899-12-30 13:01:24.000
115,2,"92214","183158",1,2,,2018-07-10 20:09:55.456,0,2018-07-30 09:48:36.526,1,1,1,,2018-07-30 00:00:00.000,,"",,,,,,,17,"Altus",2018-07-30 09:48:36.526,2018-07-30 00:00:00.000,1899-12-30 09:48:37.000
1168,2,"94195","182226",1,1,,2018-08-20 18:58:20.706,0,2018-08-31 08:39:38.000,1,1,1,,2018-08-31 00:00:00.000,,"",,,,,,,35,"Altus",2018-08-31 08:39:38.000,2018-08-30 00:00:00.000,1899-12-30 08:39:38.000
1169,2,"94154","182226",1,2,,2018-08-21 17:09:18.003,0,2018-09-03 10:07:41.000,1,1,1,,2018-09-03 00:00:00.000,,"",,,,,,,36,"Altus",2018-09-03 10:07:41.000,2018-09-03 00:00:00.000,1899-12-30 10:07:41.000
1171,2,"94195","182226",1,5,,2018-08-23 17:16:31.466,0,2018-09-03 11:36:04.313,1,1,1,,2018-09-03 00:00:00.000,,"",,,,,,,37,"Altus",2018-09-03 11:36:04.313,2018-09-03 00:00:00.000,1899-12-30 11:36:04.000
1173,2,"95110","182228",1,3,,2018-08-24 11:33:59.986,0,2018-09-03 10:59:24.000,1,1,1,,2018-09-03 00:00:00.000,,"",,,,,,,38,"Altus",2018-09-03 10:59:24.000,2018-09-03 00:00:00.000,1899-12-30 10:59:24.000
1174,2,"95110","182228",1,4,,2018-08-27 10:40:02.593,0,2018-09-04 06:24:23.526,1,1,1,,2018-09-04 00:00:00.000,,"",,,,,,,39,"Altus",2018-09-04 06:24:23.526,2018-09-03 00:00:00.000,1899-12-30 06:24:24.000
1175,2,"95110","182228",1,5,,2018-08-28 07:41:30.293,0,2018-09-04 21:54:14.183,1,1,1,,2018-09-04 00:00:00.000,,"",,,,,,,40,"Altus",2018-09-04 21:54:14.183,2018-09-04 00:00:00.000,1899-12-30 21:54:14.000
1177,2,"94252","183161",1,3,,2018-08-29 13:13:50.593,0,2018-09-07 21:59:46.713,1,1,1,,2018-09-07 00:00:00.000,,"",,,,,,,42,"Altus",2018-09-07 21:59:46.713,2018-09-07 00:00:00.000,1899-12-30 21:59:47.000
