Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY
2018-10-01 00:00:00.000,"2018",4,10,1,20181001,"October","Oct 2018","Q4 2018",1,"Monday",2018-10-06 00:00:00.000,40,20181000,20180400,"18","FY19"
2018-10-02 00:00:00.000,"2018",4,10,2,20181002,"October","Oct 2018","Q4 2018",2,"Tuesday",2018-10-06 00:00:00.000,40,20181000,20180400,"18","FY19"
2018-10-03 00:00:00.000,"2018",4,10,3,20181003,"October","Oct 2018","Q4 2018",3,"Wednesday",2018-10-06 00:00:00.000,40,20181000,20180400,"18","FY19"
2018-10-04 00:00:00.000,"2018",4,10,4,20181004,"October","Oct 2018","Q4 2018",4,"Thursday",2018-10-06 00:00:00.000,40,20181000,20180400,"18","FY19"
2018-10-05 00:00:00.000,"2018",4,10,5,20181005,"October","Oct 2018","Q4 2018",5,"Friday",2018-10-06 00:00:00.000,40,20181000,20180400,"18","FY19"
2018-10-06 00:00:00.000,"2018",4,10,6,20181006,"October","Oct 2018","Q4 2018",6,"Saturday",2018-10-06 00:00:00.000,40,20181000,20180400,"18","FY19"
2018-10-07 00:00:00.000,"2018",4,10,7,20181007,"October","Oct 2018","Q4 2018",0,"Sunday",2018-10-13 00:00:00.000,41,20181000,20180400,"18","FY19"
2018-10-08 00:00:00.000,"2018",4,10,8,20181008,"October","Oct 2018","Q4 2018",1,"Monday",2018-10-13 00:00:00.000,41,20181000,20180400,"18","FY19"
2018-10-09 00:00:00.000,"2018",4,10,9,20181009,"October","Oct 2018","Q4 2018",2,"Tuesday",2018-10-13 00:00:00.000,41,20181000,20180400,"18","FY19"
2018-10-10 00:00:00.000,"2018",4,10,10,20181010,"October","Oct 2018","Q4 2018",3,"Wednesday",2018-10-13 00:00:00.000,41,20181000,20180400,"18","FY19"
2018-10-11 00:00:00.000,"2018",4,10,11,20181011,"October","Oct 2018","Q4 2018",4,"Thursday",2018-10-13 00:00:00.000,41,20181000,20180400,"18","FY19"
2018-10-12 00:00:00.000,"2018",4,10,12,20181012,"October","Oct 2018","Q4 2018",5,"Friday",2018-10-13 00:00:00.000,41,20181000,20180400,"18","FY19"
2018-10-13 00:00:00.000,"2018",4,10,13,20181013,"October","Oct 2018","Q4 2018",6,"Saturday",2018-10-13 00:00:00.000,41,20181000,20180400,"18","FY19"
2018-10-14 00:00:00.000,"2018",4,10,14,20181014,"October","Oct 2018","Q4 2018",0,"Sunday",2018-10-20 00:00:00.000,42,20181000,20180400,"18","FY19"
2018-10-15 00:00:00.000,"2018",4,10,15,20181015,"October","Oct 2018","Q4 2018",1,"Monday",2018-10-20 00:00:00.000,42,20181000,20180400,"18","FY19"
2018-10-16 00:00:00.000,"2018",4,10,16,20181016,"October","Oct 2018","Q4 2018",2,"Tuesday",2018-10-20 00:00:00.000,42,20181000,20180400,"18","FY19"
2018-10-17 00:00:00.000,"2018",4,10,17,20181017,"October","Oct 2018","Q4 2018",3,"Wednesday",2018-10-20 00:00:00.000,42,20181000,20180400,"18","FY19"
2018-10-18 00:00:00.000,"2018",4,10,18,20181018,"October","Oct 2018","Q4 2018",4,"Thursday",2018-10-20 00:00:00.000,42,20181000,20180400,"18","FY19"
