ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
2017-02-14 00:00:00.000,10,480,1
2016-08-07 00:00:00.000,9,375,1
2016-10-02 00:00:00.000,10,529,1
2017-04-11 00:00:00.000,1,537,1
2016-10-22 00:00:00.000,6,530,1
2017-03-01 00:00:00.000,4,535,1
2016-08-01 00:00:00.000,4,487,1
2017-02-07 00:00:00.000,8,562,1
2016-05-21 00:00:00.000,4,371,1
2017-05-30 00:00:00.000,1,479,1
2017-06-03 00:00:00.000,9,479,1
2016-12-13 00:00:00.000,1,485,1
2016-11-23 00:00:00.000,4,476,1
2016-12-25 00:00:00.000,9,530,1
2016-11-02 00:00:00.000,4,215,1
2017-02-06 00:00:00.000,4,528,1
2017-06-29 00:00:00.000,8,541,1
2017-05-20 00:00:00.000,4,582,1
2016-10-08 00:00:00.000,1,536,1
2017-05-11 00:00:00.000,6,536,1
2016-10-28 00:00:00.000,9,220,1
2017-04-06 00:00:00.000,4,214,1
2017-03-17 00:00:00.000,4,480,1
2017-05-28 00:00:00.000,4,226,1
2017-04-03 00:00:00.000,9,536,1
2016-09-15 00:00:00.000,10,530,1
2016-12-26 00:00:00.000,6,528,1
2017-02-22 00:00:00.000,8,485,1
2017-03-07 00:00:00.000,4,535,1
2017-04-25 00:00:00.000,6,464,1
2017-05-10 00:00:00.000,6,478,1
2017-06-21 00:00:00.000,10,220,1
2017-03-16 00:00:00.000,4,571,1
2016-05-31 00:00:00.000,4,369,1
2016-09-25 00:00:00.000,7,528,1
2017-02-28 00:00:00.000,4,478,1
2016-11-10 00:00:00.000,6,528,1
2016-12-03 00:00:00.000,1,535,1
2017-06-07 00:00:00.000,1,539,1
2016-07-14 00:00:00.000,4,605,1
2016-10-06 00:00:00.000,9,488,1
2016-08-15 00:00:00.000,10,226,1
2016-10-08 00:00:00.000,9,540,1
2017-04-12 00:00:00.000,9,477,1
2016-10-10 00:00:00.000,10,535,1
2016-12-09 00:00:00.000,9,530,1
2017-04-18 00:00:00.000,9,479,1
2016-12-25 00:00:00.000,4,476,1
2016-10-09 00:00:00.000,10,464,1
2016-10-25 00:00:00.000,10,485,1
2016-10-10 00:00:00.000,4,537,1
2015-03-22 00:00:00.000,4,311,1
2017-01-21 00:00:00.000,7,214,1
2017-06-08 00:00:00.000,1,356,1
2016-08-22 00:00:00.000,4,220,1
2017-05-27 00:00:00.000,1,528,1
2016-11-01 00:00:00.000,6,529,1
2016-09-26 00:00:00.000,8,529,1
2017-06-21 00:00:00.000,8,536,1
2017-04-04 00:00:00.000,8,360,1
2015-12-14 00:00:00.000,9,377,1
2016-11-09 00:00:00.000,1,478,1
2016-12-31 00:00:00.000,4,223,1
2017-05-25 00:00:00.000,8,215,1
2017-06-20 00:00:00.000,1,528,1
2015-08-14 00:00:00.000,6,377,1
2017-05-31 00:00:00.000,9,584,1
2017-03-11 00:00:00.000,6,214,1
2017-06-09 00:00:00.000,1,535,1
2017-05-28 00:00:00.000,4,477,1
2017-03-23 00:00:00.000,8,536,1
2017-02-01 00:00:00.000,1,480,1
2016-08-10 00:00:00.000,9,220,1
2017-02-19 00:00:00.000,4,528,1
2016-12-09 00:00:00.000,4,480,1
2016-11-02 00:00:00.000,6,360,1
2017-01-30 00:00:00.000,4,528,1
2016-12-12 00:00:00.000,4,220,1
2017-03-01 00:00:00.000,4,595,1
2016-10-10 00:00:00.000,4,464,1
2017-02-17 00:00:00.000,4,605,2
2016-09-24 00:00:00.000,1,232,1
2017-06-22 00:00:00.000,1,232,1
2017-05-26 00:00:00.000,10,220,1
2016-10-28 00:00:00.000,10,471,1
2017-05-17 00:00:00.000,10,214,1
2016-12-31 00:00:00.000,4,537,1
2015-10-23 00:00:00.000,9,354,1
2017-05-05 00:00:00.000,4,483,1
2016-10-02 00:00:00.000,4,214,1
2016-08-13 00:00:00.000,10,590,1
2017-03-18 00:00:00.000,9,538,1
2017-02-20 00:00:00.000,8,229,1
2016-10-24 00:00:00.000,7,466,1
2016-09-19 00:00:00.000,6,538,1
2016-12-28 00:00:00.000,4,538,1
2017-04-03 00:00:00.000,4,477,1
2017-03-14 00:00:00.000,9,530,1
2017-02-02 00:00:00.000,10,538,1
2017-03-15 00:00:00.000,6,215,1
