State,Year,Miles (millions),Fatalities
Texas,2018,282037.2651,3642
South Carolina,2018,56800.68275,1037
Virginia,2018,85336.10206,820
Idaho,2018,17709.14577,231
Mississippi,2018,40730.43949,664
New Mexico,2018,27288.30697,391
Kentucky,2018,49543.60624,724
New York,2018,123510.3986,943
Arkansas,2018,36675.30905,516
New Jersey,2018,77538.91117,564
Illinois,2018,107954.2539,1031
District of Columbia,2018,3690.677971,31
Wisconsin,2018,65885.43495,588
Connecticut,2018,31595.70533,294
Washington,2018,62366.65613,546
California,2018,348795.7135,3563
Oklahoma,2018,45433.01282,655
North Carolina,2018,121127.2486,1437
Maine,2018,14783.55489,137
West Virginia,2018,19447.32321,294
Iowa,2018,33282.40004,318
Florida,2018,221815.7407,3133
Kansas,2018,32190.41298,404
Montana,2018,12699.63599,182
Utah,2018,32069.28791,260
Missouri,2018,76594.99928,921
Hawaii,2018,10886.76775,117
Alabama,2018,71167.20675,953
Vermont,2018,7346.350178,68
Nebraska,2018,20974.73509,230
North Dakota,2018,9855.663669,105
Colorado,2018,53953.6075,632
New Hampshire,2018,13776.47306,147
Oregon,2018,36848.41693,506
Alaska,2018,5487.319994,80
Massachusetts,2018,66771.98073,360
Arizona,2018,66144.51121,1010
Rhode Island,2018,8008.582207,59
Ohio,2018,114474.4406,1068
Minnesota,2018,60438.31409,381
South Dakota,2018,9719.406133,130
Georgia,2018,131455.5328,1504
Michigan,2018,102397.5575,974
Louisiana,2018,50045.42745,768
Wyoming,2018,10438.44261,111
Maryland,2018,59775.43547,501
Delaware,2018,10179.38381,111
Tennessee,2018,81321.49097,1041
Indiana,2018,81528.8118,858
Nevada,2018,28319.01217,330
Pennsylvania,2018,102109.4468,1190
