State,Year,Miles (millions),Fatalities
"Alabama",2017,70677.2482,948
"Alaska",2017,5518.7163,79
"Arizona",2017,65069.57894,998
"Arkansas",2017,36389.32516,525
"California",2017,343862.1124,3884
"Colorado",2017,53382.10272,648
"Connecticut",2017,31500.06154,281
"Delaware",2017,10466.907,119
"District of Columbia",2017,3715.86458,31
"Florida",2017,218825.8034,3116
"Georgia",2017,124733.3944,1540
"Hawaii",2017,10748.61946,107
"Idaho",2017,17300.37193,245
"Illinois",2017,108011.2553,1090
"Indiana",2017,81751.85677,916
"Iowa",2017,33482.08768,330
"Kansas",2017,32258.18896,461
"Kentucky",2017,49239.33409,782
"Louisiana",2017,49220.89766,770
"Maine",2017,14738.11789,173
"Maryland",2017,60044.56432,558
"Massachusetts",2017,62660.41137,347
"Michigan",2017,101757.1987,1031
"Minnesota",2017,59970.85392,358
"Mississippi",2017,40877.09802,685
"Missouri",2017,75911.31624,932
"Montana",2017,12644.67235,186
"Nebraska",2017,21002.01479,228
"Nevada",2017,27587.00971,311
"New Hampshire",2017,13681.37662,102
"New Jersey",2017,77508.60231,624
"New Mexico",2017,29680.1674,380
"New York",2017,123731.84,1006
"North Carolina",2017,119176.3686,1412
"North Dakota",2017,9716.83639,116
"Ohio",2017,119597.9667,1179
"Oklahoma",2017,49402.26041,657
"Oregon",2017,36752.88329,439
"Pennsylvania",2017,101614.0539,1137
"Rhode Island",2017,8000.98044,84
"South Carolina",2017,55497.23573,989
"South Dakota",2017,9642.55937,129
"Tennessee",2017,82253.26396,1024
"Texas",2017,272980.9071,3732
"Utah",2017,31475.02571,273
"Vermont",2017,7424.41989,69
"Virginia",2017,85262.94494,839
"Washington",2017,61419.92487,563
"West Virginia",2017,19072.33545,304
"Wisconsin",2017,65323.70927,613
"Wyoming",2017,9784.66527,123
"Alabama",2018,71167.20675,953
"Alaska",2018,5487.319994,80
"Arizona",2018,66144.51121,1010
"Arkansas",2018,36675.30905,516
"California",2018,348795.7135,3563
"Colorado",2018,53953.6075,632
"Connecticut",2018,31595.70533,294
"Delaware",2018,10179.38381,111
"District of Columbia",2018,3690.677971,31
"Florida",2018,221815.7407,3133
"Georgia",2018,131455.5328,1504
"Hawaii",2018,10886.76775,117
"Idaho",2018,17709.14577,231
"Illinois",2018,107954.2539,1031
"Indiana",2018,81528.8118,858
"Iowa",2018,33282.40004,318
"Kansas",2018,32190.41298,404
"Kentucky",2018,49543.60624,724
"Louisiana",2018,50045.42745,768
"Maine",2018,14783.55489,137
"Maryland",2018,59775.43547,501
"Massachusetts",2018,66771.98073,360
"Michigan",2018,102397.5575,974
"Minnesota",2018,60438.31409,381
"Mississippi",2018,40730.43949,664
"Missouri",2018,76594.99928,921
"Montana",2018,12699.63599,182
"Nebraska",2018,20974.73509,230
"Nevada",2018,28319.01217,330
"New Hampshire",2018,13776.47306,147
"New Jersey",2018,77538.91117,564
"New Mexico",2018,27288.30697,391
"New York",2018,123510.3986,943
"North Carolina",2018,121127.2486,1437
"North Dakota",2018,9855.663669,105
"Ohio",2018,114474.4406,1068
"Oklahoma",2018,45433.01282,655
"Oregon",2018,36848.41693,506
"Pennsylvania",2018,102109.4468,1190
"Rhode Island",2018,8008.582207,59
"South Carolina",2018,56800.68275,1037
"South Dakota",2018,9719.406133,130
"Tennessee",2018,81321.49097,1041
"Texas",2018,282037.2651,3642
"Utah",2018,32069.28791,260
"Vermont",2018,7346.350178,68
"Virginia",2018,85336.10206,820
"Washington",2018,62366.65613,546
"West Virginia",2018,19447.32321,294
"Wisconsin",2018,65885.43495,588
"Wyoming",2018,10438.44261,111
