Measure Names,Month of Order Date,Diff from Monthly Avg,Custom,Diff,test,test_sort,Mon,MonSort
"Diff from Monthly Avg",2015-01-01 00:00:00.000,-33621.45625625,"1",-33621.45625625,"Jan-15","201501","Jan",1
"Diff from Monthly Avg",2015-02-01 00:00:00.000,-43338.45925625,"1",-43338.45925625,"Feb-15","201502","Feb",2
"Diff from Monthly Avg",2015-03-01 00:00:00.000,7832.65774375,"0",0,"Mar-15","201503","Mar",3
"Diff from Monthly Avg",2015-04-01 00:00:00.000,-19563.00625625,"1",-19563.00625625,"Apr-15","201504","Apr",4
"Diff from Monthly Avg",2015-05-01 00:00:00.000,-24210.06425625,"1",-24210.06425625,"May-15","201505","May",5
"Diff from Monthly Avg",2015-06-01 00:00:00.000,-13263.22365625,"1",-13263.22365625,"Jun-15","201506","Jun",6
"Diff from Monthly Avg",2015-07-01 00:00:00.000,-13911.95825625,"1",-13911.95825625,"Jul-15","201507","Jul",7
"Diff from Monthly Avg",2015-08-01 00:00:00.000,-19948.88275625,"1",-19948.88275625,"Aug-15","201508","Aug",8
"Diff from Monthly Avg",2015-09-01 00:00:00.000,33918.99954375,"0",0,"Sep-15","201509","Sep",9
"Diff from Monthly Avg",2015-10-01 00:00:00.000,-16404.95825625,"1",-16404.95825625,"Oct-15","201510","Oct",10
"Diff from Monthly Avg",2015-11-01 00:00:00.000,30770.36544375,"0",0,"Nov-15","201511","Nov",11
"Diff from Monthly Avg",2015-12-01 00:00:00.000,21687.26924375,"0",0,"Dec-15","201512","Dec",12
"Diff from Monthly Avg",2016-01-01 00:00:00.000,-29684.27565625,"1",-29684.27565625,"Jan-16","201601","Jan",1
"Diff from Monthly Avg",2016-02-01 00:00:00.000,-35906.94025625,"1",-35906.94025625,"Feb-16","201602","Feb",2
"Diff from Monthly Avg",2016-03-01 00:00:00.000,-9132.09925625,"1",-9132.09925625,"Mar-16","201603","Mar",3
"Diff from Monthly Avg",2016-04-01 00:00:00.000,-13663.14275625,"1",-13663.14275625,"Apr-16","201604","Apr",4
