Film,Across the Universe,Tyler Perry's Why Did I get Married,Jane Eyre,27 Dresses,Made of Honor,Zack and Miri Make a Porno,Ghosts of Girlfriends Past,Music and Lyrics,Going the Distance,The Heartbreak Kid,Waiting For Forever,Midnight in Paris,Four Christmases,Rachel Getting Married,Beginners,Leap Year,The Proposal,Something Borrowed,Monte Carlo,Not Easily Broken,When in Rome,I Love You Phillip Morris,My Week with Marilyn,Penelope,Twilight,Enchanted,The Invention of Lying,Over Her Dead Body,Marley and Me,Sex and the City,She's Out of My League,Just Wright,The Twilight Saga: New Moon,Life as We Know It,One Day,Good Luck Chuck,The Curious Case of Benjamin Button,A Serious Man,It's Complicated,No Reservations,Fireproof,The Time Traveler's Wife,Dear John,New Year's Eve,WALL-E,The Duchess,Remember Me,Youth in Revolt,High School Musical 3: Senior Year,Love Happens,Our Family Wedding,Love & Other Drugs,Sex and the City 2,License to Wed,Twilight: Breaking Dawn,Waitress,Gnomeo and Juliet,Miss Pettigrew Lives for a Day,What Happens in Vegas,Valentine's Day,Nick and Norah's Infinite Playlist,Mamma Mia!,P.S. I Love You,Water For Elephants,(500) Days of Summer,The Back-up Plan,Knocked Up,A Dangerous Method,Letters to Juliet,Killers,The Ugly Truth,You Will Meet a Tall Dark Stranger,He's Just Not That Into You,Tangled
Genre,Romance,Romance,Romance,Comedy,Comedy,Romance,Comedy,Romance,Comedy,Comedy,Romance,Romance,Comedy,Drama,Comedy,Comedy,Comedy,Romance,Romance,Drama,Comedy,Comedy,Drama,Comedy,Romance,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Drama,Comedy,Romance,Comedy,Fantasy,Drama,Comedy,Comedy,Drama,Drama,Drama,Romance,Animation,Drama,Drama,Comedy,Comedy,Drama,Comedy,Comedy,Comedy,Comedy,Romance,Romance,Animation,Comedy,Comedy,Comedy,Comedy,Comedy,Romance,Drama,Comedy,Comedy,Comedy,Drama,Comedy,Action,Comedy,Comedy,Comedy,Animation
Lead Studio,Independent,Independent,Universal,Fox,Sony,The Weinstein Company,Warner Bros.,Warner Bros.,Warner Bros.,Paramount,Independent,Sony,Warner Bros.,Independent,Independent,Universal,Disney,Independent,20th Century Fox,Independent,Disney,Independent,The Weinstein Company,Summit,Summit,Disney,Warner Bros.,New Line,Fox,Warner Bros.,Paramount,Fox,Summit,Independent,Independent,Lionsgate,Warner Bros.,Universal,Universal,,Independent,Paramount,Sony,Warner Bros.,Disney,Paramount,Summit,The Weinstein Company,Disney,Universal,Independent,Fox,Warner Bros.,Warner Bros.,Independent,Independent,Disney,Independent,Fox,Warner Bros.,Sony,Universal,Independent,20th Century Fox,Fox,CBS,Universal,Independent,Summit,Lionsgate,Independent,Independent,Warner Bros.,Disney
Audience  score %,84.0,47.0,77.0,71.0,61.0,70.0,47.0,70.0,56.0,41.0,53.0,84.0,52.0,61.0,80.0,49.0,74.0,,50.0,66.0,44.0,57.0,84.0,74.0,82.0,80.0,47.0,47.0,77.0,81.0,60.0,58.0,78.0,62.0,54.0,61.0,81.0,64.0,63.0,64.0,51.0,65.0,66.0,48.0,89.0,68.0,70.0,52.0,76.0,40.0,49.0,55.0,49.0,55.0,68.0,67.0,52.0,70.0,72.0,54.0,67.0,76.0,82.0,72.0,81.0,47.0,83.0,89.0,62.0,45.0,68.0,35.0,60.0,88.0
Profit USD,65260.3178,372419.24,,534362.18,264906.835,174754.1667,204440.0,364741.055,131406.25,212944.4167,500.0,874470.5882,202292.5,138416.6667,447187.5,171526.31579999998,786750.0,171951.42859999998,198320.0,214000.0,,134000.0,82580.0,138279.97329999998,1018002.703,400573.7082,175135.1351,207100.00000000003,374678.1818,722179.5791,244050.0,179741.6667,1419640.0,253052.6316,368273.3333,236768.512,178394.375,438285.7143,264235.2941,330718.0357,6693400.0,259820.5128,459880.0,253642.8571,289601.9067,320785.0222,349125.0,109000.0,2291313.646,200444.4444,,181766.6667,288350.0,198020.64,638336.3636,1108974.15,538797.2222,25289.49,626764.7029,418403.8462,335272.93,923445.3864,510311.6833,308142.1053,809600.0,220257.1429,663640.1848,44864.475,263933.3333,124533.3333,540263.1579,121181.8182,715360.0,136569.23080000002
Rotten Tomatoes %,54.0,46.0,85.0,40.0,13.0,64.0,27.0,63.0,53.0,30.0,6.0,93.0,26.0,85.0,84.0,21.0,43.0,,38.0,34.0,15.0,71.0,83.0,52.0,49.0,93.0,56.0,15.0,63.0,49.0,57.0,45.0,27.0,28.0,37.0,3.0,73.0,89.0,56.0,39.0,40.0,38.0,29.0,8.0,96.0,60.0,28.0,68.0,65.0,18.0,14.0,48.0,15.0,8.0,26.0,89.0,56.0,78.0,28.0,17.0,73.0,53.0,21.0,60.0,87.0,20.0,91.0,79.0,40.0,11.0,14.0,43.0,42.0,89.0
Gross USD,2936714.3,5586288.600000001,3014700.0,16030865.4,10596273.4,4194100.000000001,10222000.0,14589642.2,4205000.0,12776665.0,2500.0,14866000.0,16183400.0,1661000.0,1431000.0,3259000.0000000005,31470000.0,6018300.0,3966400.0,1070000.0,4304000.0,2010000.0,825800.0,2074199.6,37666100.0,34048765.2,3240000.0,2071000.0,20607300.0,41525325.8,4881000.0,2156900.0,70982000.0,9616000.0,5524100.0,5919212.8,28543100.0,3068000.0,22460000.0,9260105.0,3346700.0,10133000.0,11497000.0,14204000.0,52128343.2,4330597.800000001,5586000.0,1962000.0,25204450.1,3608000.0,2137000.0,5453000.0,28835000.000000004,6930722.4,70217000.0,2217948.3000000003,19396700.0,1517369.4,21936764.6,21757000.0,3352729.3,60947395.50000001,15309350.5,11709400.0,6072000.0,7709000.0,21900126.1,897289.5,7918000.000000002,9340000.0,20530000.0,2666000.0,17884000.0,35508000.0
Year,2007,2007,2011,2008,2008,2008,2009,2007,2010,2007,2011,2011,2008,2008,2011,2010,2009,2011,2011,2009,2010,2010,2011,2008,2008,2007,2009,2008,2008,2008,2010,2010,2009,2010,2011,2007,2008,2009,2009,2007,2008,2009,2010,2011,2008,2008,2010,2010,2008,2009,2010,2010,2010,2007,2011,2007,2011,2008,2008,2010,2008,2008,2007,2011,2009,2010,2007,2011,2010,2010,2009,2010,2009,2010
Gross EUR,4023298.591,7653215.382000001,4190433.0,23565372.138,15576521.898,6165327.000000001,14208579.999999998,19987809.814,5592650.0,17504031.05,3474.9999999999995,20663740.0,23789598.0,2441670.0,1989090.0,4334470.000000001,43743300.0,8365436.999999998,5513296.0,1487300.0,5724320.0,2673300.0000000005,1147861.9999999998,3049073.412,55369167.0,46646808.32400001,4503600.0,3044370.0,30292731.0,61042228.92600001,6491730.0,2868677.0,98664980.0,12789280.0,7678498.999999998,8109321.536,41958357.0,4264520.0,31219400.0,12686343.85,4919649.0,14084869.999999998,15291010.0,19743560.0,76628664.504,6365978.766000001,7429380.0,2609460.0,37050541.647,5015120.0,2842210.0,7252490.0,38350550.00000001,9495089.688,97601630.0,3038589.171000001,26961413.0,2230533.018,32247043.962,28936810.0,4928512.071,89592671.385,20973810.185,16276065.999999998,8440080.0,10252970.0,30003172.757000003,1247232.4049999998,10530940.000000002,12422200.0,28536700.0,3545780.0,24858760.0,47225640.0
Gross CHF,3524057.16,6703546.32,2683083.0,17313334.632,11443975.272000002,4529628.000000001,11039760.0,17507570.639999997,4373200.0,15331998.0,2225.0,13230740.0,17478072.0,1793880.0000000002,1273590.0,3389360.0000000005,33987600.0,5356287.0,3530096.0,1155600.0,4476160.0,2090400.0,734962.0,2240135.5680000004,40679388.0,40858518.24,3499200.0,2236680.0,22255884.0,44847351.86400001,5076240.0,2243176.0,76660560.0,10000640.0,4916449.0,7103055.36,30826548.000000004,3313440.0,24256800.0,11112126.0,3614436.000000001,10943640.0,11956880.0,12641560.0,56298610.656,4677045.624000001,5809440.0,2040480.0,27220806.108000003,3896640.000000001,2222480.0,5671120.0,29988400.000000004,8316866.88,62493130.0,2661537.9600000004,17263063.0,1638758.952,23691705.768000003,22627280.0,3620947.644,65823187.140000015,18371220.6,10421366.0,6557760.0,8017360.0,26280151.32,798587.6549999998,8234720.000000002,9713600.0,22172400.0,2772640.0,19314720.0,36928320.0
Profit EUR,89406.63538600001,510214.3588000001,,785512.4046,389413.04745,256888.625049,284171.6,499695.24535,174770.3125,291733.85087900003,695.0,1215514.117598,297369.975,203472.500049,621590.625,228130.000014,1093582.5,239012.485754,275664.8,297460.0,,178220.0,114786.2,203271.560751,1496463.97341,548785.9802339999,243437.837789,304437.00000000006,550776.927246,1061603.981277,324586.5,239056.41671100003,1973299.6,336560.000028,511899.93328699993,324372.86144,262239.73125,609217.1428769999,367287.058799,453083.708909,9839298.0,361150.512792,611640.4,352563.57136899995,425714.802849,471553.982634,464336.25,144970.00000000003,3368231.0596200004,278617.777716,,241749.66671100003,383505.5,271288.2768,887287.545404,1519294.5855000005,748928.1388579998,37175.5503,921344.113263,556477.115446,492851.2071,1357464.7180080002,699127.006121,428317.526367,1125344.0,292942.000057,909187.053176,62361.62024999999,351031.33328900003,165629.333289,750965.7894809998,161171.81820600005,994350.4,181637.07696400004
