name,Среднедушевой доход
"Luxembourg",18418
"Norway",19308
"Sweden",18632
"Australia",15026
"Denmark",18262
"United States of America",15480
"Canada",15181
"South Korea",11950
"Kuwait",7487
"Netherlands",14450
"New Zealand",12147
"Hong Kong",9705
"Austria",12284
"Japan",10840
"Germany",14098
"Taiwan",6882
"Singapore",7345
"United Kingdom",12399
"France",12445
"Israel",7847
"Belgium",10189
"Qatar",5117
"Slovenia",8656
"Saudi Arabia",4762
"Bahrain",4778
"Finland",15725
"Czech Republic",7821
"Spain",7284
"Malta",6869
"Italy",6874
"Cyprus",4932
"Greece",6086
"Slovakia",5455
"Croatia",5177
"Portugal",5519
"Poland",4578
"Belarus",5236
"Argentina",4109
"Lebanon",2960
"Estonia",5031
"Hungary",4493
"Lithuania",4719
"Iran",3115
"Russia",4129
"Mexico",2900
"Montenegro",3123
"Azerbaijan",2430
"Malaysia",2267
"Ukraine",3876
"Latvia",4000
"Tunisia",1646
"Turkey",2538
"Costa Rica",2032
"Serbia",3020
"Bulgaria",2829
"Panama",2011
"Jordan",1550
"Syria",1431
"Chile",2040
"Uruguay",2488
"Romania",2618
"Algeria",1392
"Brazil",2247
"Kazakhstan",1958
"Albania",1902
"Thailand",1795
"Ecuador",1682
"Mauritania",778
"Morocco",1135
"Colombia",1534
"Bolivia",1403
"Libya",1012
"Dominican Republic",1623
"China",1786
"Paraguay",1292
"Mongolia",1440
"South Africa",1217
"Peru",1077
"Tajikistan",713
"Honduras",821
"El Salvador",1114
"Vietnam",1124
"Guatemala",898
"Moldova",1329
"Afghanistan",378
"Pakistan",480
"Kyrgyzstan",828
"Comoros",598
"Senegal",402
"Armenia",926
"Sudan",579
"Botswana",740
"Angola",720
"Laos",615
"Sri Lanka",719
"Yemen",400
"India",616
"Egypt",623
"Bangladesh",567
"Haiti",627
"Nepal",519
"Niger",307
"Nigeria",493
"Georgia",734
"Philippines",478
"Chad",338
"Sierra Leone",233
"Cambodia",451
"Indonesia",541
"Tanzania",384
"Republic of the Congo",416
"Cameroon",403
"Ghana",47
"DR Congo",308
"Kenya",402
"Uganda",296
"Burkina Faso",168
"Benin",237
"Zambia",287
"Rwanda",235
"Madagascar",205
"Liberia",118
"Burundi",129
"Togo",279
