grupo_indicador,categoria,PK_servico,campo,servico,cod_campo,atributo,cod_campo_campo
"Benefícios eventuais","Proteção Social Básica",55,"Concessão dos Benefícios Eventuais está Regulamentada","Benefícios eventuais","BE-1","aConcessaoDosBeneficiosEventuaisEstaRegulamentada","(BE-1) Concessão dos Benefícios Eventuais está Regulamentada"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",57,"aEquipeTecnicaDoPAIFUtilizaOProntuarioSUAS","Serviço de Proteção e Atendimento Integral a Família - PAIF","PAI-1","aEquipeTecnicaDoPAIFUtilizaOProntuarioSUAS","(PAI-1) aEquipeTecnicaDoPAIFUtilizaOProntuarioSUAS"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",107,"Criancas de 0 a 3 Anos Acompanhadas Com Deficiencia","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-1","numeroDeCriancasDe0A3AnosAcompanhadasComDeficencia","(CF-1) Criancas de 0 a 3 Anos Acompanhadas Com Deficiencia"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",108,"com Deficiência","Crianças De 0 a 6 anos Beneficiárias do BPC Acompanhadas com Deficiência","CPD-1","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasComDeficiencia","(CPD-1) com Deficiência"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",109,"com Deficiência","Gestantes Acompanhadas","GA-1","numeroDeGestantesAcompanhadasComDeficencia","(GA-1) com Deficiência"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",110,"Município Dispõe de Comitê Gestor Intersetorial do Primeira Infância no SUAS - Programa Criança Feliz Instituido","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-6","oMunicipioDispoeDeComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFelizInstituido","(CF-6) Município Dispõe de Comitê Gestor Intersetorial do Primeira Infância no SUAS - Programa Criança Feliz Instituido"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",111,"Municipio Dispõe De Plano Municipal de Promoção e Defesa do Direito a Convivência Familiar e Comunitária de Crianças e Adolescentes","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-6","oMunicipioDispoeDePlanoMunicipalDePromocaoEDefesaDoDireitoAConvivenciaFamiliarEComunitariaDeCriancasEAdolescentes","(CF-6) Municipio Dispõe De Plano Municipal de Promoção e Defesa do Direito a Convivência Familiar e Comunitária de Crianças e Adolescentes"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",112,"Município Dispõe de Plano Municipal pela Primeira Infância","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-6","oMunicipioDispoeDePlanoMunicipalPelaPrimeiraInfancia","(CF-6) Município Dispõe de Plano Municipal pela Primeira Infância"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",113,"Programa Primeira Infância no SUAS - Programa Criança Feliz Promove Ações de Interlocução com o Programa BPC na Escola","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-6","oProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizPromoveAcoesDeInterlocucaoComOProgramaBPCNaEscola","(CF-6) Programa Primeira Infância no SUAS - Programa Criança Feliz Promove Ações de Interlocução com o Programa BPC na Escola"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",114,"Crianças Do Programa Primeira Infância no SUAS e Programa Criança Feliz Acompanhadas Em Serviços de Acolhimento Institucional e Familiar","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-5","quantasCriancasDoProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizSaoAcompanhadasEmServicosDeAcolhimentoInstitucionalEFamiliar","(CF-5) Crianças Do Programa Primeira Infância no SUAS e Programa Criança Feliz Acompanhadas Em Serviços de Acolhimento Institucional e Familiar"
