PK_servico,categoria,grupo_indicador,servico,campo,atributo,META_nome_servico,META_nome_campo,META_tipo_campo,META_cod_campo,META_contexto
2,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigos Institucionais para Adultos e Famílias","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AAF-2",1
3,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantidadeDeImigrantes","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeImigrantes","Abrigos Institucionais para Adultos e Famílias","Imigrantes","numeric","AAF-3",1
4,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantidadeDeUnidadesDeNaturezaGovernamental","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigos Institucionais para Adultos e Famílias","Unidades De Natureza Governamental","numeric","AAF-8",1
5,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantidadeDePessoasAcolhidas","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasAcolhidas","Abrigos Institucionais para Adultos e Famílias","Pessoas Acolhidas","numeric","AAF-4",1
7,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantidadeDePessoasEmSituacaoDeRua","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","Abrigos Institucionais para Adultos e Famílias","Pessoas em Situação de Rua","numeric","AAF-5",1
6,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantidadeDePessoasEmTransito","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmTransito","Abrigos Institucionais para Adultos e Famílias","Pessoas em Transito","numeric","AAF-6",1
8,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigos Institucionais para Adultos e Famílias","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AAF-7",1
9,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias","quantidadeDeUnidadesNoMunicipio","abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","Abrigos Institucionais para Adultos e Famílias","Unidades No Município","numeric","AAF-9",1
11,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AIR-2",1
12,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantidadeDeImigrantes","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Imigrantes","numeric","AIR-3",1
13,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantidadeDeUnidadesDeNaturezaGovernamental","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Unidades De Natureza Governamental","numeric","AIR-7",1
14,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasAcolhidas","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas Acolhidas","numeric","AIR-4",1
16,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasEmSituacaoDeRua","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas em Situação de Rua","numeric","AIR-4",1
15,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasEmTransito","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas em Transito","numeric","AIR-5",1
17,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AIR-6",1
18,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias","quantidadeDeUnidadesNoMunicipio","abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Unidades No Município","numeric","AIR-8",1
19,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","numeric","AIM-1",1
20,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AIM-2",1
21,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantidadeDeImigrantes","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Imigrantes","numeric","AIM-3",1
22,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantidadeDeUnidadesDeNaturezaGovernamental","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Unidades De Natureza Governamental","numeric","AIM-8",1
23,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasAcolhidas","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas Acolhidas","numeric","AIM-4",1
25,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasEmSituacaoDeRua","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas em Situação de Rua","numeric","AIM-5",1
24,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasEmTransito","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas em Transito","numeric","AIM-6",1
26,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AIM-7",1
27,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias","quantidadeDeUnidadesNoMunicipio","abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Unidades No Município","numeric","AIM-9",1
29,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AIA-2",1
30,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantidadeDeImigrantes","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeImigrantes","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Imigrantes","numeric","AIA-3",1
31,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantidadeDeUnidadesDeNaturezaGovernamental","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Unidades De Natureza Governamental","numeric","AIA-8",1
32,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantidadeDePessoasAcolhidas","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasAcolhidas","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas Acolhidas","numeric","AIA-4",1
