atributo,tipo_campo
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeImigrantes","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasAcolhidas","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmTransito","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
