atributo,PK_Atributo
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",1
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",2
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeImigrantes",3
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental",4
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasAcolhidas",5
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmTransito",6
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua",7
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",8
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesNoMunicipio",9
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",10
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",11
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes",12
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental",13
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas",14
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito",15
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua",16
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",17
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio",18
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",19
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",20
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes",21
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental",22
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas",23
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito",24
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua",25
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",26
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio",27
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",28
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",29
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeImigrantes",30
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental",31
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasAcolhidas",32
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmTransito",33
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmSituacaoDeRua",34
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",35
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio",36
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",37
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",38
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasForamAcolhidasComMedidaProtetiva",39
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioNatalidade",40
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioRecambio",41
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamAcolhidas",42
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",43
