show_id,type,title,date_added,release_year,rating,duration,movie_duration_mins,Content,movie_duration_mins (bins),release_year (bins)
"a1029","TV Show","Shepherd",,2021,"13+","1 Season",1,"Amazon",0,2020
"a1305","TV Show","Pinkfong! Poki's Toy Lab",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a1309","TV Show","Pinkfong! Hogi, the Detective",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a1311","TV Show","Pinkfong! Fun Rhyming Songs",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a1312","TV Show","Pinkfong! Fruit Songs",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a1323","TV Show","Pinkfong! Baby Shark's Day at Home",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a135","TV Show","WGC-Dell Technologies Match Play Reveal Show",,2021,"TV-NR","1 Season",1,"Amazon",0,2020
"a1553","TV Show","My Heroic Husband",,2021,"13+","1 Season",1,"Amazon",0,2020
"a1756","TV Show","Making Their Mark",,2021,"16+","1 Season",1,"Amazon",0,2020
"a2091","TV Show","Invincible",,2021,"TV-MA","1 Season",1,"Amazon",0,2020
"a2323","TV Show","Go Go Babies in Car City",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a2353","TV Show","Ghost Town History with Ken and Brenda Gallacher",,2021,"7+","1 Season",1,"Amazon",0,2020
"a2379","TV Show","Gecko's Garage 3D - Vehicle Cartoons for Kids",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a2430","TV Show","Frank of Ireland",,2021,"TV-MA","1 Season",1,"Amazon",0,2020
"a2745","TV Show","Curiosity Songs with Pinkfong & Hogi",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a2815","TV Show","Cobra Puma Golf All-Access Show",,2021,"TV-NR","1 Season",1,"Amazon",0,2020
"a3082","TV Show","Bhoomi Hindi",,2021,"18+","1 Season",1,"Amazon",0,2020
"a3332","TV Show","Alien Conspiracy: They Are Here",,2021,"13+","1 Season",1,"Amazon",0,2020
"a3485","TV Show","3 Caminos (4K UHD)",,2021,"","1 Season",1,"Amazon",0,2020
"a3486","TV Show","3 Caminos",,2021,"","1 Season",1,"Amazon",0,2020
"a3567","TV Show","10 Day Yoga for Weight Loss Challenge with Chelsey",,2021,"13+","1 Season",1,"Amazon",0,2020
"a3610","TV Show","Paradise City",,2021,"18+","1 Season",1,"Amazon",0,2020
"a3622","TV Show","LOL: Last One Laughing Italy",,2021,"16+","1 Season",1,"Amazon",0,2020
"a3623","TV Show","LOL: Last One Laughing Germany",,2021,"16+","1 Season",1,"Amazon",0,2020
"a371","TV Show","THEM",,2021,"TV-14","1 Season",1,"Amazon",0,2020
"a402","TV Show","The Vineyard",,2021,"16+","1 Season",1,"Amazon",0,2020
"a405","TV Show","The Underground Railroad",,2021,"TV-MA","1 Season",1,"Amazon",0,2020
"a4070","TV Show","GameOn Titans",,2021,"13+","1 Season",1,"Amazon",0,2020
"a4097","TV Show","Foresighted Liu Bo Wen",,2021,"16+","1 Season",1,"Amazon",0,2020
"a4105","TV Show","We Children from Bahnhof Zoo",,2021,"18+","1 Season",1,"Amazon",0,2020
"a4207","TV Show","Burb Patrol",,2021,"13+","1 Season",1,"Amazon",0,2020
"a4235","TV Show","Seagulls",,2021,"16+","1 Season",1,"Amazon",0,2020
"a4337","TV Show","Casting The Net",,2021,"18+","1 Season",1,"Amazon",0,2020
"a4362","TV Show","The Boarding School: Las Cumbres",,2021,"16+","1 Season",1,"Amazon",0,2020
"a4367","TV Show","Prathi Friendu Avasramera",,2021,"16+","1 Season",1,"Amazon",0,2020
"a4396","TV Show","C-Bar",,2021,"18+","1 Season",1,"Amazon",0,2020
"a4420","TV Show","Concrete Jungle",,2021,"TV-14","1 Season",1,"Amazon",0,2020
"a4459","TV Show","Team Mendeleev",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a4487","TV Show","LOL - Hasse toh Phasse",,2021,"13+","1 Season",1,"Amazon",0,2020
"a4547","TV Show","The Sword and The Brocade",,2021,"13+","1 Season",1,"Amazon",0,2020
"a4570","TV Show","Ni Chang",,2021,"18+","1 Season",1,"Amazon",0,2020
"a4583","TV Show","Ghost Files Germany",,2021,"16+","1 Season",1,"Amazon",0,2020
"a4618","TV Show","Clip: Sanjeevani",,2021,"16+","1 Season",1,"Amazon",0,2020
"a4664","TV Show","Pinkfong! Sports Club",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a4668","TV Show","Love, Millennial Style",,2021,"18+","1 Season",1,"Amazon",0,2020
"a4700","TV Show","Daddydelphia",,2021,"18+","1 Season",1,"Amazon",0,2020
"a4702","TV Show","Clip: Three Anecdotes And A Joint",,2021,"18+","1 Season",1,"Amazon",0,2020
"a471","TV Show","The Record",,2021,"","1 Season",1,"Amazon",0,2020
"a4736","TV Show","Borat Supplemental Reporting",,2021,"TV-MA","1 Season",1,"Amazon",0,2020
"a4767","TV Show","Road to Redemption",,2021,"13+","1 Season",1,"Amazon",0,2020
"a4770","TV Show","RESET",,2021,"16+","1 Season",1,"Amazon",0,2020
"a4827","TV Show","Porsche Club Championship",,2021,"TV-Y7","1 Season",1,"Amazon",0,2020
"a4924","TV Show","The Ultimate Mixologist",,2021,"TV-MA","1 Season",1,"Amazon",0,2020
"a4925","TV Show","The Last Hour",,2021,"16+","1 Season",1,"Amazon",0,2020
"a5000","TV Show","Life's Rewards",,2021,"13+","1 Season",1,"Amazon",0,2020
"a5009","TV Show","Solos",,2021,"NR","1 Season",1,"Amazon",0,2020
"a5036","TV Show","Reagan's Room",,2021,"ALL","1 Season",1,"Amazon",0,2020
"a5049","TV Show","Falco",,2021,"16+","1 Season",1,"Amazon",0,2020
"a5056","TV Show","Panic",,2021,"NR","1 Season",1,"Amazon",0,2020
