Omzetten Ridder in €,Jaar-Maand,Waarde
"Onderdelen","2020 - 1",33333
"Onderdelen","2020 - 2",35354
"Onderdelen","2020 - 3",51046
"Onderdelen","2020 - 4",29496
"Onderdelen","2020 - 5",36719
"Onderdelen","2020 - 6",44162
"Onderdelen","2020 - 7",47670
"Onderdelen","2020 - 8",29691
"Onderdelen","2020 - 9",83248
"Onderdelen","2020 - 10",95287
"Onderdelen","2020 - 11",0
"Onderdelen","2020 - 12",0
"Machines","2020 - 1",523580
"Machines","2020 - 2",567869
"Machines","2020 - 3",570103
"Machines","2020 - 4",399034
"Machines","2020 - 5",635185
"Machines","2020 - 6",667272
"Machines","2020 - 7",448510
"Machines","2020 - 8",174329
"Machines","2020 - 9",476230
"Machines","2020 - 10",536989
"Machines","2020 - 11",0
"Machines","2020 - 12",0
"Service onderdelen","2020 - 1",21788
"Service onderdelen","2020 - 2",20341
"Service onderdelen","2020 - 3",22469
"Service onderdelen","2020 - 4",12413
"Service onderdelen","2020 - 5",12854
"Service onderdelen","2020 - 6",19560
"Service onderdelen","2020 - 7",13387
"Service onderdelen","2020 - 8",11417
"Service onderdelen","2020 - 9",18466
"Service onderdelen","2020 - 10",21695
"Service onderdelen","2020 - 11",0
"Service onderdelen","2020 - 12",0
"Verhuur","2020 - 1",76328
"Verhuur","2020 - 2",128199
"Verhuur","2020 - 3",102882
"Verhuur","2020 - 4",63812
"Verhuur","2020 - 5",67822
"Verhuur","2020 - 6",90170
"Verhuur","2020 - 7",64839
"Verhuur","2020 - 8",111436
"Verhuur","2020 - 9",82174
"Verhuur","2020 - 10",134462
"Verhuur","2020 - 11",0
"Verhuur","2020 - 12",0
"Transport verkoop","2020 - 1",5669
"Transport verkoop","2020 - 2",9436
"Transport verkoop","2020 - 3",11742
"Transport verkoop","2020 - 4",8299
"Transport verkoop","2020 - 5",7855
"Transport verkoop","2020 - 6",13601
"Transport verkoop","2020 - 7",10970
"Transport verkoop","2020 - 8",5112
"Transport verkoop","2020 - 9",11595
"Transport verkoop","2020 - 10",14582
"Transport verkoop","2020 - 11",0
"Transport verkoop","2020 - 12",0
"Transport verhuur","2020 - 1",26763
"Transport verhuur","2020 - 2",22019
"Transport verhuur","2020 - 3",26066
"Transport verhuur","2020 - 4",20988
"Transport verhuur","2020 - 5",18811
"Transport verhuur","2020 - 6",29026
"Transport verhuur","2020 - 7",18232
"Transport verhuur","2020 - 8",28865
"Transport verhuur","2020 - 9",27063
"Transport verhuur","2020 - 10",28645
"Transport verhuur","2020 - 11",0
"Transport verhuur","2020 - 12",0
"Transport service","2020 - 1",3180
"Transport service","2020 - 2",4350
"Transport service","2020 - 3",6475
"Transport service","2020 - 4",3615
"Transport service","2020 - 5",1170
"Transport service","2020 - 6",2425
"Transport service","2020 - 7",1855
"Transport service","2020 - 8",1460
"Transport service","2020 - 9",4069
"Transport service","2020 - 10",4912
"Transport service","2020 - 11",0
"Transport service","2020 - 12",0
"Service uren","2020 - 1",17044
"Service uren","2020 - 2",18405
"Service uren","2020 - 3",19607
"Service uren","2020 - 4",11025
"Service uren","2020 - 5",13663
"Service uren","2020 - 6",19883
"Service uren","2020 - 7",12950
"Service uren","2020 - 8",10760
"Service uren","2020 - 9",17017
"Service uren","2020 - 10",16648
"Service uren","2020 - 11",0
"Service uren","2020 - 12",0
