Omschrijving,Periode,Waarde,Service
"Omzet (Gefactureerd)","2020 - 1",736534.58333333349,"Verkoop"
"Omzet (Gefactureerd)","2020 - 2",491535.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 3",606534.58333333349,"Verkoop"
"Omzet (Gefactureerd)","2020 - 4",491534.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 5",491534.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 6",871534.58333333349,"Verkoop"
"Omzet (Gefactureerd)","2020 - 7",507534.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 8",507534.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 9",512534.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 10",512534.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 11",512534.58333333331,"Verkoop"
"Omzet (Gefactureerd)","2020 - 12",514534.58333333331,"Verkoop"
"Kostprijs van de omzet","2020 - 1",324668.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 2",214418.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 3",266168.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 4",214418.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 5",214418.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 6",385418.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 7",221618.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 8",221618.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 9",223868.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 10",223868.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 11",223868.0625,"Verkoop"
"Kostprijs van de omzet","2020 - 12",224768.0625,"Verkoop"
"Overigen","2020 - 1",43206.0833367,"Verkoop"
"Overigen","2020 - 2",43206.0833367,"Verkoop"
"Overigen","2020 - 3",43206.0833367,"Verkoop"
"Overigen","2020 - 4",43206.0833367,"Verkoop"
"Overigen","2020 - 5",43206.0833367,"Verkoop"
"Overigen","2020 - 6",43206.0833367,"Verkoop"
"Overigen","2020 - 7",43206.0833367,"Verkoop"
"Overigen","2020 - 8",43206.0833367,"Verkoop"
"Overigen","2020 - 9",43206.0833367,"Verkoop"
"Overigen","2020 - 10",43206.0833367,"Verkoop"
"Overigen","2020 - 11",43206.0833367,"Verkoop"
"Overigen","2020 - 12",43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 1",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 2",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 3",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 4",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 5",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 6",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 7",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 8",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 9",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 10",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 11",-43206.0833367,"Verkoop"
"Overigen (Vrachtkosten e.d.)","2020 - 12",-43206.0833367,"Verkoop"
"Lonen en salarissen","2020 - 1",51230.6,"Verkoop"
"Lonen en salarissen","2020 - 2",53498.6,"Verkoop"
"Lonen en salarissen","2020 - 3",53498.6,"Verkoop"
"Lonen en salarissen","2020 - 4",60518.6,"Verkoop"
"Lonen en salarissen","2020 - 5",60518.6,"Verkoop"
"Lonen en salarissen","2020 - 6",60518.6,"Verkoop"
"Lonen en salarissen","2020 - 7",60518.6,"Verkoop"
"Lonen en salarissen","2020 - 8",58250.6,"Verkoop"
"Lonen en salarissen","2020 - 9",58250.6,"Verkoop"
"Lonen en salarissen","2020 - 10",58250.6,"Verkoop"
"Lonen en salarissen","2020 - 11",58250.6,"Verkoop"
"Lonen en salarissen","2020 - 12",58250.6,"Verkoop"
"Sociale lasten","2020 - 1",7627.2840000000015,"Verkoop"
"Sociale lasten","2020 - 2",7944.8040000000019,"Verkoop"
"Sociale lasten","2020 - 3",7944.8040000000019,"Verkoop"
"Sociale lasten","2020 - 4",8927.6040000000012,"Verkoop"
"Sociale lasten","2020 - 5",8927.6040000000012,"Verkoop"
"Sociale lasten","2020 - 6",8927.6040000000012,"Verkoop"
"Sociale lasten","2020 - 7",8927.6040000000012,"Verkoop"
"Sociale lasten","2020 - 8",8610.084,"Verkoop"
"Sociale lasten","2020 - 9",8610.084,"Verkoop"
"Sociale lasten","2020 - 10",8610.084,"Verkoop"
"Sociale lasten","2020 - 11",8610.084,"Verkoop"
"Sociale lasten","2020 - 12",8610.084,"Verkoop"
"Variabele beloning","2020 - 1",6537.6720000000005,"Verkoop"
"Variabele beloning","2020 - 2",6809.832,"Verkoop"
"Variabele beloning","2020 - 3",6809.832,"Verkoop"
"Variabele beloning","2020 - 4",7652.232,"Verkoop"
"Variabele beloning","2020 - 5",7652.232,"Verkoop"
"Variabele beloning","2020 - 6",7652.232,"Verkoop"
"Variabele beloning","2020 - 7",7652.232,"Verkoop"
"Variabele beloning","2020 - 8",7380.072,"Verkoop"
"Variabele beloning","2020 - 9",7380.072,"Verkoop"
"Variabele beloning","2020 - 10",7380.072,"Verkoop"
"Variabele beloning","2020 - 11",7380.072,"Verkoop"
"Variabele beloning","2020 - 12",7380.072,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 1",65395.556,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 2",68253.236,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 3",68253.236,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 4",77098.436,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 5",77098.436,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 6",77098.436,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 7",77098.436,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 8",74240.756,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 9",74240.756,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 10",74240.756,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 11",74240.756,"Verkoop"
"   Totaal Lonen, salarissen en mgt fee","2020 - 12",74240.756,"Verkoop"
"Kostenvergoedingen","2020 - 1",720,"Verkoop"
"Kostenvergoedingen","2020 - 2",720,"Verkoop"
"Kostenvergoedingen","2020 - 3",720,"Verkoop"
"Kostenvergoedingen","2020 - 4",720,"Verkoop"
"Kostenvergoedingen","2020 - 5",720,"Verkoop"
"Kostenvergoedingen","2020 - 6",720,"Verkoop"
"Kostenvergoedingen","2020 - 7",720,"Verkoop"
"Kostenvergoedingen","2020 - 8",720,"Verkoop"
"Kostenvergoedingen","2020 - 9",720,"Verkoop"
"Kostenvergoedingen","2020 - 10",720,"Verkoop"
"Kostenvergoedingen","2020 - 11",720,"Verkoop"
"Kostenvergoedingen","2020 - 12",720,"Verkoop"
"Opleidingen","2020 - 1",400,"Verkoop"
"Opleidingen","2020 - 2",400,"Verkoop"
"Opleidingen","2020 - 3",400,"Verkoop"
"Opleidingen","2020 - 4",400,"Verkoop"
"Opleidingen","2020 - 5",400,"Verkoop"
"Opleidingen","2020 - 6",400,"Verkoop"
"Opleidingen","2020 - 7",400,"Verkoop"
"Opleidingen","2020 - 8",400,"Verkoop"
"Opleidingen","2020 - 9",400,"Verkoop"
"Opleidingen","2020 - 10",400,"Verkoop"
"Opleidingen","2020 - 11",400,"Verkoop"
"Opleidingen","2020 - 12",400,"Verkoop"
"Overige personeelskosten","2020 - 1",1200,"Verkoop"
"Overige personeelskosten","2020 - 2",1200,"Verkoop"
"Overige personeelskosten","2020 - 3",1200,"Verkoop"
"Overige personeelskosten","2020 - 4",1200,"Verkoop"
"Overige personeelskosten","2020 - 5",1200,"Verkoop"
"Overige personeelskosten","2020 - 6",1200,"Verkoop"
"Overige personeelskosten","2020 - 7",1200,"Verkoop"
"Overige personeelskosten","2020 - 8",1200,"Verkoop"
"Overige personeelskosten","2020 - 9",1200,"Verkoop"
"Overige personeelskosten","2020 - 10",1200,"Verkoop"
"Overige personeelskosten","2020 - 11",1200,"Verkoop"
"Overige personeelskosten","2020 - 12",1200,"Verkoop"
"   Totaal overige personeelskosten","2020 - 1",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 2",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 3",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 4",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 5",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 6",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 7",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 8",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 9",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 10",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 11",2320,"Verkoop"
"   Totaal overige personeelskosten","2020 - 12",2320,"Verkoop"
"Huren","2020 - 1",3145.2000000000003,"Verkoop"
"Huren","2020 - 2",3145.2000000000003,"Verkoop"
"Huren","2020 - 3",3145.2000000000003,"Verkoop"
"Huren","2020 - 4",3145.2000000000003,"Verkoop"
"Huren","2020 - 5",3145.2000000000003,"Verkoop"
"Huren","2020 - 6",3145.2000000000003,"Verkoop"
"Huren","2020 - 7",3145.2000000000003,"Verkoop"
"Huren","2020 - 8",6000,"Verkoop"
"Huren","2020 - 9",6000,"Verkoop"
"Huren","2020 - 10",6000,"Verkoop"
"Huren","2020 - 11",6000,"Verkoop"
"Huren","2020 - 12",6000,"Verkoop"
"Energie","2020 - 1",676.40000000000009,"Verkoop"
"Energie","2020 - 2",676.40000000000009,"Verkoop"
"Energie","2020 - 3",676.40000000000009,"Verkoop"
"Energie","2020 - 4",676.40000000000009,"Verkoop"
"Energie","2020 - 5",676.40000000000009,"Verkoop"
"Energie","2020 - 6",676.40000000000009,"Verkoop"
"Energie","2020 - 7",676.40000000000009,"Verkoop"
"Energie","2020 - 8",1200,"Verkoop"
"Energie","2020 - 9",1200,"Verkoop"
"Energie","2020 - 10",1200,"Verkoop"
"Energie","2020 - 11",1200,"Verkoop"
"Energie","2020 - 12",1200,"Verkoop"
