Jaar-Maand,Waarde,Marges Ridder in %
"2020 - 1",66.6,"Onderdelen"
"2020 - 2",71.1,"Onderdelen"
"2020 - 3",66.7,"Onderdelen"
"2020 - 4",70,"Onderdelen"
"2020 - 5",71.8,"Onderdelen"
"2020 - 6",70.1,"Onderdelen"
"2020 - 7",65.5,"Onderdelen"
"2020 - 8",68.2,"Onderdelen"
"2020 - 9",74.6,"Onderdelen"
"2020 - 10",73.5,"Onderdelen"
"2020 - 11",0,"Onderdelen"
"2020 - 12",0,"Onderdelen"
"2020 - 1",53.6,"Machines"
"2020 - 2",51.8,"Machines"
"2020 - 3",50.8,"Machines"
"2020 - 4",53.2,"Machines"
"2020 - 5",50.4,"Machines"
"2020 - 6",55.1,"Machines"
"2020 - 7",51.9,"Machines"
"2020 - 8",54,"Machines"
"2020 - 9",56.6,"Machines"
"2020 - 10",53.8,"Machines"
"2020 - 11",0,"Machines"
"2020 - 12",0,"Machines"
"2020 - 1",70.3,"Service onderdelen"
"2020 - 2",59.9,"Service onderdelen"
"2020 - 3",73.3,"Service onderdelen"
"2020 - 4",64.1,"Service onderdelen"
"2020 - 5",64.6,"Service onderdelen"
"2020 - 6",75.7,"Service onderdelen"
"2020 - 7",60.4,"Service onderdelen"
"2020 - 8",67.8,"Service onderdelen"
"2020 - 9",68.9,"Service onderdelen"
"2020 - 10",63.9,"Service onderdelen"
"2020 - 11",0,"Service onderdelen"
"2020 - 12",0,"Service onderdelen"
"2020 - 1",100,"Verhuur"
"2020 - 2",100,"Verhuur"
"2020 - 3",100,"Verhuur"
"2020 - 4",100,"Verhuur"
"2020 - 5",100,"Verhuur"
"2020 - 6",100,"Verhuur"
"2020 - 7",100,"Verhuur"
"2020 - 8",100,"Verhuur"
"2020 - 9",100,"Verhuur"
"2020 - 10",100,"Verhuur"
"2020 - 11",0,"Verhuur"
"2020 - 12",0,"Verhuur"
