State,Date,variable,value
Cases to be Assigned to States,2020-01-30 00:00:00.000,Total,0
Cases to be Assigned to States,2020-01-31 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-01 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-02 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-03 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-04 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-05 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-06 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-07 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-08 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-09 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-10 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-11 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-12 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-13 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-14 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-15 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-16 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-17 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-18 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-19 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-20 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-21 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-22 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-23 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-24 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-25 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-26 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-27 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-28 00:00:00.000,Total,0
Cases to be Assigned to States,2020-02-29 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-01 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-02 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-03 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-04 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-05 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-06 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-07 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-08 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-09 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-10 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-11 00:00:00.000,Total,0
Cases to be Assigned to States,2020-03-12 00:00:00.000,Total,0
