Code_Pays,Libelle_Pays
"CP01","Afghanistan"
"CP02","Albanie"
"CP03","Algérie"
"CP04","Andorre"
"CP05","Angola"
"CP06","Anguilla"
"CP07","Antarctique"
"CP08","Antigua et Barbuda"
"CP09","Argentine"
"CP10","Arménie"
"CP11","Aruba"
"CP12","Australie"
"CP13","Autriche"
"CP14","Azerbaïdjan"
"CP15","Iles des Açores"
"CP16","Bahamas"
"CP17","Bahreïn"
"CP18","Bangladesh"
"CP19","Barbade"
"CP20","Belgique"
"CP21","Bélize"
"CP22","Bénin"
"CP23","Iles Bermudes"
"CP24","Bhoutan"
"CP25","Bolivie"
"CP26","Bosnie-Herzégovine"
"CP27","Botswana"
"CP28","Brésil"
"CP29","Iles Vierges Britanniques"
"CP30","Brunéi"
"CP31","Bulgarie"
"CP32","Burkina Faso"
"CP33","Burundi"
"CP34","Cambodge"
"CP35","Cameroun"
"CP36","Canada"
"CP37","Cap Vert"
"CP38","Iles Cayman"
"CP39","Centre-Afrique"
"CP40","Tchad"
"CP41","Chili"
"CP42","Chine"
"CP43","Colombie"
"CP44","Comoros"
"CP45","Congo"
"CP46","Iles Cook"
"CP47","Costa Rica"
"CP48","Croatie"
"CP49","Cuba"
"CP50","Chypre"
"CP51","République Tchèque"
"CP52","Danemark"
"CP53","Djibouti"
"CP54","Dominique"
"CP55","République Dominicaine"
"CP56","Equateur"
"CP57","Egypte"
"CP58","El Salvador"
"CP59","Guinée Equatoriale"
"CP60","Erythrée"
"CP61","Estonie"
"CP62","Ethiopie"
"CP63","Iles Falkland"
"CP64","Fidji"
"CP65","Finlande"
"CP66","Macédoine"
"CP67","France"
"CP68","Guyane Française"
"CP69","Polynésie Française"
"CP70","Gabon"
"CP71","Gambie"
"CP72","Georgie"
"CP73","Allemagne"
"CP74","Ghana"
"CP75","Gibraltar"
"CP76","Grèce"
"CP77","Groenland"
"CP78","Grenade"
"CP79","Guadeloupe"
"CP80","Guam"
"CP81","Guatémala"
"CP82","Guinée"
"CP83","Guinée Bissau"
"CP84","Guyana"
"CP85","Haïti"
"CP86","Honduras"
"CP87","Chine"
"CP88","Hongrie"
"CP89","Islande"
"CP90","Inde"
"CP91","Indonésie"
"CP92","Iran"
"CP93","Irak"
"CP94","Zone Neutre Irak-Arabie Saoud."
"CP95","Irlande"
"CP96","Israël"
"CP97","Italie"
"CP98","Côte d'Ivoire"
"CP99","Jamaïque"
"CP100","Japon"
"CP101","Jordanie"
"CP102","Kazakhstan"
"CP103","Kénya"
"CP104","Kiribati"
"CP105","Corée du Nord"
"CP106","Corée du Sud"
"CP107","Koweït"
"CP108","Kirghizstan"
"CP109","Laos"
"CP110","Lettonie"
"CP111","Liban"
"CP112","Lésotho"
"CP113","Libéria"
"CP114","Libye"
"CP115","Liechtenstein"
"CP116","Lituanie"
"CP117","Luxembourg"
"CP118","Madagascar"
"CP119","Malawi"
"CP120","Malaisie"
"CP121","Maldives"
"CP122","Mali"
"CP123","Malte"
"CP124","Iles Marshall"
"CP125","Martinique"
"CP126","Mauritanie"
"CP127","Maurice"
"CP128","Mexique"
"CP129","Etats fédérés de Micronésie"
"CP130","Moldavie"
"CP131","Monaco"
"CP132","Mongolie"
"CP133","Maroc"
"CP134","Mozambique"
"CP135","Myanmar"
"CP136","Namibie"
"CP137","Nauru"
"CP138","Népal"
"CP139","Pays-Bas"
"CP140","Nouvelle Calédonie"
"CP141","Nouvelle Zélande"
"CP142","Nicaragua"
"CP143","Niger"
"CP144","Nigéria"
"CP145","Niue"
"CP146","Iles Mariannes du Nord"
"CP147","Norvège"
"CP148","Oman"
"CP149","Pakistan"
"CP150","Iles Palau"
"CP151","Panama"
"CP152","Canal de Panama"
"CP153","Papouasie-Nouvelle-Guinée"
"CP154","Paraguay"
"CP155","Pérou"
"CP156","Philippines"
"CP157","Portugal"
"CP158","Porto Rico"
"CP159","Qatar"
"CP160","Réunion"
"CP161","Roumanie"
"CP162","Russie"
"CP163","Rwanda"
"CP164","Sainte-Lucie"
"CP165","Saint-Marin"
"CP166","Sao Tomé"
"CP167","Arabie Saoudite"
"CP168","Sénégal"
"CP169","Seychelles"
"CP170","Sierra Léone"
"CP171","Singapour"
"CP172","Slovaquie"
"CP173","Slovénie"
"CP174","Iles Salomon"
"CP175","Somalie"
"CP176","Afrique du sud"
"CP177","Espagne"
"CP178","Sri Lanka"
"CP179","Saint Kitts et Nevis"
"CP180","Saint-Vincent"
"CP181","Soudan"
"CP182","Surinam"
"CP183","Swaziland"
"CP184","Suède"
"CP185","Suisse"
"CP186","Syrie"
"CP187","Taïwan"
"CP188","Tadjikistan"
"CP189","Tanzanie"
"CP190","Thaïlande"
"CP191","Togo"
"CP192","Tonga"
"CP193","Trinidad et Tobago"
"CP194","Tunisie"
"CP195","Turquie"
"CP196","Turkménistan"
"CP197","Turks et Caicos"
"CP198","Tuvalu"
"CP199","Iles Vierges Américaines"
"CP200","Ouganda"
"CP201","Ukraine"
"CP202","Emirats arabes unis"
"CP203","Royaume-Uni"
"CP204","Etats-Unis"
"CP205","Uruguay"
"CP206","Ouzbékistan"
"CP207","Vanuatu"
"CP208","Vatican"
"CP209","Vénézuela"
"CP210","Vietnam"
"CP211","Sahara Occidental"
"CP212","Samoa Orientale"
"CP213","Yemen"
"CP214","Serbie"
"CP215","République démocratique du Congo"
"CP216","Zambie"
"CP217","Zimbabwé"
"CP218","Pologne"
"CP219","Biélorussie"
