Code_Client,Nb_Compte,Montant_Total_Compte,Montant_Total_Compte_Courant,Montant_Total_Compte_Epargne,Montant_Decouvert_Auto,Montant_Patrimoine,Nom_Client,Nb_Salarie,Date_Ouverture_1er_Compte,Date_Ouverture_Dernier_Compte,Code_Type_Client,Code_Adresse,Code_Salarie,Code_Secteur_activite
"CL0001",1,5130730,125674,558152,0,1900586,"Mon Entreprise EURL 1",1,40259,40776,"EURL","AD0001","SAL0001","SA005"
"CL0014",17,10203406,110981,329006,0,1722921,"Mon Entreprise EURL 14",1,33677,39847,"EURL","AD0014","SAL0010","SA019"
"CL0027",6,1361098,447570,600426,0,434330,"Mon Entreprise EURL 27",1,38765,42423,"EURL","AD0027","SAL0016","SA001"
"CL0040",8,9654711,226520,568822,0,1890220,"Mon Entreprise EURL 40",1,37592,39274,"EURL","AD0040","SAL0024","SA016"
"CL0053",14,12085185,174537,41290,0,867433,"Mon Entreprise EURL 53",1,33122,40130,"EURL","AD0053","SAL0037","SA026"
"CL0066",11,1557983,280590,606515,0,927647,"Mon Entreprise EURL 66",1,39461,39743,"EURL","AD0066","SAL0045","SA015"
"CL0079",10,1546690,58450,602117,0,740733,"Mon Entreprise EURL 79",1,34744,42721,"EURL","AD0079","SAL0052","SA008"
"CL0092",13,2175645,187550,429143,0,704552,"Mon Entreprise EURL 92",1,41346,39103,"EURL","AD0092","SAL0052","SA011"
"CL0105",18,9406724,235746,895319,0,162356,"Mon Entreprise EURL 105",1,37988,39670,"EURL","AD0105","SAL0052","SA022"
"CL0109",4,6373822,317173,196563,0,928432,"Mon Entreprise EURL 109",1,38301,40141,"EURL","AD0109","SAL0052","SA013"
"CL0114",9,13162366,454872,547931,0,1768209,"Mon Entreprise EURL 114",1,32118,41387,"EURL","AD0114","SAL0056","SA003"
"CL0118",20,9708275,326327,330645,0,27059,"Mon Entreprise EURL 118",1,42134,38652,"EURL","AD0118","SAL0059","SA015"
"CL0123",6,4779688,466835,424704,0,525242,"Mon Entreprise EURL 123",1,30682,39181,"EURL","AD0123","SAL0061","SA017"
"CL0136",12,5886336,199979,886835,0,252194,"Mon Entreprise EURL 136",1,32365,39572,"EURL","AD0136","SAL0074","SA003"
"CL0140",2,13257080,75274,757493,0,402001,"Mon Entreprise EURL 140",1,43627,40902,"EURL","AD0140","SAL0075","SA027"
"CL0145",20,10549244,470828,382304,0,1205004,"Mon Entreprise EURL 145",1,41996,40145,"EURL","AD0145","SAL0080","SA022"
"CL0149",18,9117163,83995,938527,0,160223,"Mon Entreprise EURL 149",1,38452,39495,"EURL","AD0149","SAL0081","SA019"
"CL0152",11,898698,56497,643602,0,1969897,"Mon Entreprise EURL 152",1,38554,40123,"EURL","AD0152","SAL0081","SA025"
"CL0165",1,6916489,142218,261003,0,1419903,"Mon Entreprise EURL 165",1,41229,40683,"EURL","AD0165","SAL0081","SA020"
"CL0178",4,945329,116145,470939,0,1475275,"Mon Entreprise EURL 178",1,42691,43346,"EURL","AD0178","SAL0092","SA017"
"CL0191",13,12529010,289232,989308,0,199684,"Mon Entreprise EURL 191",1,37192,41388,"EURL","AD0191","SAL0092","SA007"
"CL0204",7,7102210,269308,915882,0,1232605,"Mon Entreprise EURL 204",1,36513,41023,"EURL","AD0204","SAL0100","SA012"
"CL0217",8,12049732,426142,829567,0,515499,"Mon Entreprise EURL 217",1,37054,41021,"EURL","AD0217","SAL0104","SA013"
"CL0230",3,12940457,225671,881818,0,1422938,"Mon Entreprise EURL 230",1,31898,38978,"EURL","AD0230","SAL0114","SA028"
"CL0243",3,13506915,21998,326171,0,670629,"Mon Entreprise EURL 243",1,35192,41141,"EURL","AD0243","SAL0120","SA005"
"CL0256",16,2159581,268215,995513,0,1554911,"Mon Entreprise EURL 256",1,39279,38478,"EURL","AD0256","SAL0133","SA016"
"CL0260",11,101063,418119,718587,0,1727687,"Mon Entreprise EURL 260",1,40881,39634,"EURL","AD0260","SAL0137","SA024"
"CL0265",18,9544576,218773,75604,0,1463997,"Mon Entreprise EURL 265",1,43755,41667,"EURL","AD0265","SAL0137","SA029"
"CL0269",15,352790,2489,66850,0,1218931,"Mon Entreprise EURL 269",1,40537,39548,"EURL","AD0269","SAL0140","SA024"
"CL0274",5,5724490,492063,594243,0,1602784,"Mon Entreprise EURL 274",1,36138,39753,"EURL","AD0274","SAL0145","SA026"
"CL0287",13,6148186,420259,10201,0,691344,"Mon Entreprise EURL 287",1,35248,41199,"EURL","AD0287","SAL0155","SA011"
