Code_Secteur_Activite,Libelle_Secteur_Activite
"SA001","Agriculture"
"SA002","Chimie, pharmacie"
"SA003","Énergie"
"SA004","Maintenance, entretien"
"SA005","Armée, sécurité"
"SA006","Commerce, distribution"
"SA007","Enseignement"
"SA008","Mécanique"
"SA009","Art, Design"
"SA010","Communication - Marketing - Pub"
"SA011","Environnement"
"SA012","Mode, industrie textile"
"SA013","Audiovisuel - Spectacle"
"SA014","Construction aéronautique, ferroviaire et navale"
"SA015","Fonction publique"
"SA016","Recherche"
"SA017","Audit, gestion"
"SA018","Culture - Artisanat d'art"
"SA019","Hôtellerie, restauration"
"SA020","Santé"
"SA021","Automobile"
"SA022","Droit, justice"
"SA023","Industrie alimentaire"
"SA024","Social"
"SA025","Banque, assurance"
"SA026","Edition, Journalisme"
"SA027","Informatique et télécoms"
"SA028","Sport, loisirs – Tourisme"
"SA029","Électronique"
"SA030","Logistique, transport"
"SA031","Traduction - interprétariat"
"SA032","BTP, architecture"
"SA033","Verre, béton, céramique"
