State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio
"Maharashtra",78477462831,345235899,76697728695,14345135,0.0044,0.9773,0.0183
"Kerala",642814811776,12460320733,624086432027,62681482,0.0194,0.9709,0.0098
"Karnataka",39296421405,268664383,38630855762,3969126,0.0068,0.9831,0.0101
"Tamil Nadu",34392211325,313684583,33699075894,3794614,0.0091,0.9798,0.011
"Andhra Pradesh",2313827615,125502176,22865752787,147024,0.0054,0.9882,0.0064
"Uttar Pradesh",20605891189,125241421,20246612605,234045,0.0061,0.9826,0.0114
"West Bengal",2011569348,10630996,19798781323,2106121,0.0053,0.9842,0.0105
"Delhi",1852662756,333779,1823244830,260815,0.0018,0.9841,0.0141
"Odisha",1279046925,8653768,12614671671,892622,0.0068,0.9863,0.007
"Rajasthan",12682721387,179761006,12408152381,948112,0.0142,0.9784,0.0075
"Gujarat",1217328998,111951472,11952952454,1083816,0.0092,0.9819,0.0089
"Chhattisgarh",1147447603,5527867,11279081469,140121,0.0048,0.983,0.0122
"Madhya Pradesh",10288731222,146962233,10034773452,107003,0.0143,0.9753,0.0104
"Haryana",975195922,5487360,9592091275,104997,0.0056,0.9836,0.0108
"Bihar",829209159,1117107,815839265,122531,0.0013,0.9839,0.0148
"Telengana",784631569,83791529,7721452098,4107,0.0107,0.9841,0.0052
"Punjab",756130272,2933547,735574806,1762313,0.0039,0.9728,0.0233
"Assam",72375966,3247392,713897453,66155,0.0045,0.9864,0.0091
"Jammu and Kashmir",451330314,4280623,442305937,4745,0.0095,0.98,0.0105
"Uttarakhand",434053285,65531031,4198401309,76607,0.0151,0.9673,0.0176
"Jharkhand",433550135,1314164,426921299,5315,0.003,0.9847,0.0123
"Himachal Pradesh",281016368,3035381,273897748,40841,0.0108,0.9747,0.0145
"Goa",24428785,1754387,238756469,37773,0.0072,0.9774,0.0155
"Mizoram",2006351616,11469409,1885282024,6381,0.0572,0.9397,0.0032
"Puducherry",16536368,900129,162504196,19591,0.0054,0.9827,0.0118
"Manipur",136032102,217831,131768131,20862,0.016,0.9687,0.0153
"Tripura",10081310,1474,9974714,919,0.0015,0.9894,0.0091
"Meghalaya",9307155,609107,90897160,15652,0.0065,0.9766,0.0168
"Chandigarh",9139728,50157,8974284,11541,0.0055,0.9819,0.0126
"Arunachal Pradesh",6411044,46673,63350117,294,0.0073,0.9881,0.0046
"Sikkim",3897720,31237,3822556,4401,0.008,0.9807,0.0113
"Nagaland",3527439,38252,3413990,7531,0.0108,0.9678,0.0213
"Ladakh",2759458,5231,2684457,227,0.019,0.9728,0.0082
"Dadra and Nagar Haveli and Daman and Diu",114322,235,114057,4,0.002,0.9976,0.0003
"Lakshadweep",1134514,8011,1121325,52,0.0071,0.9884,0.0046
"Andaman and Nicobar",99854,10314,975318,129,0.0103,0.9768,0.0129
