Item,Expected Receipt Date,Price
P,2020-03-15 00:00:00.000,95.79
H,2019-09-13 00:00:00.000,61.38
I,2019-11-04 00:00:00.000,72.0
V,2020-02-26 00:00:00.000,82.16
E,2018-06-28 00:00:00.000,72.72
D,2019-06-25 00:00:00.000,85.36
W,2019-12-01 00:00:00.000,79.38
L,2018-11-13 00:00:00.000,48.0
R,2019-03-17 00:00:00.000,82.17
Z,2018-09-28 00:00:00.000,66.95
S,2020-01-20 00:00:00.000,75.75
E,2019-07-13 00:00:00.000,71.28
X,2018-11-18 00:00:00.000,89.1
I,2019-04-02 00:00:00.000,72.0
U,2020-02-11 00:00:00.000,79.54
M,2018-09-11 00:00:00.000,63.36
B,2018-10-26 00:00:00.000,54.15
S,2019-02-17 00:00:00.000,72.0
O,2019-03-10 00:00:00.000,94.5
H,2019-10-26 00:00:00.000,59.52
U,2020-01-18 00:00:00.000,85.28
H,2019-03-16 00:00:00.000,59.52
J,2018-09-06 00:00:00.000,75.48
O,2018-09-23 00:00:00.000,88.2
Z,2019-12-03 00:00:00.000,64.35
T,2018-09-26 00:00:00.000,73.13
R,2019-12-12 00:00:00.000,79.68
E,2018-08-13 00:00:00.000,74.16
P,2019-04-16 00:00:00.000,93.93
F,2019-11-07 00:00:00.000,82.4
M,2019-09-07 00:00:00.000,62.7
B,2019-04-26 00:00:00.000,54.72
P,2019-11-04 00:00:00.000,89.28
A,2020-03-31 00:00:00.000,64.89
T,2020-02-20 00:00:00.000,67.45
Q,2019-07-19 00:00:00.000,80.34
B,2019-02-21 00:00:00.000,56.43
Q,2019-10-27 00:00:00.000,80.34
C,2018-07-07 00:00:00.000,58.71
K,2019-11-02 00:00:00.000,64.89
A,2018-12-01 00:00:00.000,64.89
T,2018-05-06 00:00:00.000,73.84
V,2019-03-11 00:00:00.000,75.05
E,2018-12-30 00:00:00.000,74.16
I,2019-09-30 00:00:00.000,69.84
N,2018-05-04 00:00:00.000,56.1
Y,2019-05-25 00:00:00.000,54.6
K,2019-02-14 00:00:00.000,64.26
V,2020-03-10 00:00:00.000,80.58
X,2018-11-01 00:00:00.000,85.5
N,2019-08-12 00:00:00.000,57.75
F,2019-05-05 00:00:00.000,78.4
C,2018-05-21 00:00:00.000,57.57
S,2019-09-04 00:00:00.000,77.25
G,2018-12-23 00:00:00.000,58.8
C,2019-06-24 00:00:00.000,54.72
B,2019-04-20 00:00:00.000,56.43
N,2019-03-20 00:00:00.000,52.8
Z,2020-02-12 00:00:00.000,64.35
N,2019-09-29 00:00:00.000,54.45
W,2020-03-15 00:00:00.000,79.38
D,2018-08-04 00:00:00.000,90.64
X,2019-01-22 00:00:00.000,88.2
E,2019-10-22 00:00:00.000,69.84
G,2019-07-16 00:00:00.000,57.0
D,2018-10-09 00:00:00.000,91.52
Z,2018-08-09 00:00:00.000,67.6
A,2019-12-17 00:00:00.000,63.63
H,2018-10-19 00:00:00.000,59.52
E,2019-05-04 00:00:00.000,68.4
A,2019-05-31 00:00:00.000,63.0
T,2020-02-24 00:00:00.000,72.42
S,2019-10-15 00:00:00.000,75.75
E,2019-11-12 00:00:00.000,75.6
F,2019-02-07 00:00:00.000,79.2
Q,2018-08-09 00:00:00.000,81.9
D,2019-05-13 00:00:00.000,91.52
Y,2019-05-13 00:00:00.000,50.44
D,2018-06-14 00:00:00.000,88.0
W,2019-05-09 00:00:00.000,81.81
S,2020-01-01 00:00:00.000,72.75
Z,2018-12-03 00:00:00.000,63.7
P,2019-11-30 00:00:00.000,93.0
V,2020-01-05 00:00:00.000,75.84
S,2019-01-04 00:00:00.000,78.0
O,2019-08-05 00:00:00.000,85.5
P,2019-05-05 00:00:00.000,92.07
T,2018-08-17 00:00:00.000,68.16
R,2019-10-28 00:00:00.000,85.49
G,2018-08-22 00:00:00.000,57.0
A,2020-02-03 00:00:00.000,61.74
F,2019-10-12 00:00:00.000,83.2
Y,2018-06-21 00:00:00.000,53.56
J,2018-11-28 00:00:00.000,70.3
J,2019-10-13 00:00:00.000,72.52
A,2020-02-01 00:00:00.000,61.74
N,2019-06-11 00:00:00.000,55.0
J,2018-09-06 00:00:00.000,77.7
M,2020-01-02 00:00:00.000,63.36
H,2018-05-29 00:00:00.000,64.48
