team_code,%team_id,team_name,team_short_name,team_strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,spi.strength_offence,spi.strength_defence,spi.spi_strength,team_group
3,1,"Arsenal","ARS",4,1210,1270,1150,1210,1190,1220,1,2.21,0.5,82.41,"Top6"
43,12,"Man City","MCI",5,1350,1370,1340,1360,1340,1360,11,2.95,0.22,93.83,"Top6"
7,2,"Aston Villa","AVL",3,1130,1160,1140,1110,1090,1090,2,1.94,0.72,73.29,"Promoted"
94,3,"Brentford","BRE",2,1060,1070,1120,1150,1080,1120,130,1.74,0.89,65.56,"Others"
14,11,"Liverpool","LIV",5,1330,1350,1300,1350,1340,1350,10,3.02,0.31,92.93,"Top6"
36,4,"Brighton","BHA",3,1130,1130,1160,1160,1100,1120,131,1.86,0.59,75.1,"Others"
90,5,"Burnley","BUR",2,1060,1050,1080,1130,1060,1100,43,1.68,0.78,66.97,"Others"
8,6,"Chelsea","CHE",5,1320,1350,1300,1300,1250,1290,4,2.41,0.29,88.9,"Top6"
31,7,"Crystal Palace","CRY",3,1090,1100,1110,1160,1080,1160,6,1.85,0.74,71.16,"Others"
11,8,"Everton","EVE",3,1090,1090,1130,1090,1110,1110,7,1.81,0.9,66.42,"Others"
1,13,"Man Utd","MUN",4,1210,1270,1170,1190,1190,1200,12,2.21,0.64,79.26,"Top6"
13,9,"Leicester","LEI",3,1160,1190,1100,1080,1150,1160,26,2.16,1.02,70.25,"Others"
2,10,"Leeds","LEE",3,1090,1100,1080,1070,1100,1100,9,1.9,1.14,62.63,"Promoted"
6,17,"Spurs","TOT",4,1210,1270,1190,1200,1210,1210,21,2.25,0.72,77.97,"Top6"
21,19,"West Ham","WHU",4,1200,1200,1110,1150,1160,1180,25,2.01,0.74,74.03,"Others"
4,14,"Newcastle","NEW",3,1090,1070,1050,1030,1040,1070,23,1.75,0.88,65.79,"Others"
39,20,"Wolves","WOL",4,1200,1220,1150,1160,1080,1100,38,1.72,0.56,73.48,"Others"
45,15,"Norwich","NOR",2,1010,1030,1040,1040,1040,1030,14,1.47,1.12,54.14,"Others"
20,16,"Southampton","SOU",3,1090,1100,1090,1140,1120,1090,20,1.98,0.79,72.35,"Others"
57,18,"Watford","WAT",2,1050,1050,1090,1040,1120,1070,33,1.61,1.03,59.33,"Others"
