Index,Entity,Year,Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from wind (TWh),Electricity from other renewables (TWh)
"South Korea-2010","South Korea",2010,3.632,0.772,0.817,1.303
"South Korea-2011","South Korea",2011,4.54,0.916,0.862,1.934
"South Korea-2012","South Korea",2012,3.866,1.101,0.913,2.052
"South Korea-2013","South Korea",2013,4.227,1.595,1.148,2.825
"South Korea-2014","South Korea",2014,2.717,2.547,1.145,3.593
"South Korea-2015","South Korea",2015,2.118,3.88,1.341,4.737
"South Korea-2016","South Korea",2016,2.761,5.068,1.682,8.011000000000001
"South Korea-2017","South Korea",2017,2.828,7.054,2.168,8.856
"South Korea-2018","South Korea",2018,3.319,9.207,2.464,10.686
"South Korea-2019","South Korea",2019,2.74824,13.022,2.463288,12.975
"South Korea-2020","South Korea",2020,3.982371594,17.674223877,2.942232622,5.75017161
