Entity,Year,Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from wind (TWh),Electricity from other renewables (TWh),Index
"Brazil",2010,399.256,0.001,2.177,31.495,"Brazil-2010"
"Brazil",2011,424.05,0.002,2.705,32.434,"Brazil-2011"
"Brazil",2012,411.189,0.007,5.05,35.645,"Brazil-2012"
"Brazil",2013,387.082,0.005,6.58,40.762,"Brazil-2013"
"Brazil",2014,369.705,0.016,12.21,46.688,"Brazil-2014"
"Brazil",2015,356.146,0.059,21.63,49.446,"Brazil-2015"
"Brazil",2016,377.102,0.085,33.49,50.936,"Brazil-2016"
"Brazil",2017,367.197,0.832,42.37,52.539,"Brazil-2017"
"Brazil",2018,385.081,3.461,48.475,53.911,"Brazil-2018"
"Brazil",2019,393.898,6.655,55.986,54.514,"Brazil-2019"
"Brazil",2020,391.1986524,7.5933075128,56.677753077,54.7415685907,"Brazil-2020"
"Canada",2010,347.871,0.253,8.637,12.166,"Canada-2010"
"Canada",2011,371.967,0.566,10.086,11.814,"Canada-2011"
"Canada",2012,376.465,0.872,11.198,12.571,"Canada-2012"
"Canada",2013,387.871,1.484,17.913,12.437,"Canada-2013"
"Canada",2014,378.676,2.099,22.315,11.12,"Canada-2014"
"Canada",2015,378.372,2.866,26.697,9.404,"Canada-2015"
"Canada",2016,381.578,3.992,30.623,9.9609999999999985,"Canada-2016"
"Canada",2017,390.641,3.538,31.198,11.719,"Canada-2017"
"Canada",2018,382.02,3.759,32.854,10.982,"Canada-2018"
"Canada",2019,377.97903,4.272,30.532133,11.037,"Canada-2019"
"Canada",2020,382.35348,4.38661,33.60374,10.1764481358619,"Canada-2020"
"Russia",2010,164.818,0,0.004,3.279,"Russia-2010"
"Russia",2011,164.186,0,0.005,3.2990000000000004,"Russia-2011"
"Russia",2012,164.239,0.001,0.005,3.513,"Russia-2012"
"Russia",2013,179.339,0.001,0.005,3.3649999999999998,"Russia-2013"
"Russia",2014,173.514,0.16,0.1,3.5580000000000003,"Russia-2014"
"Russia",2015,166.313,0.335,0.15,3.279,"Russia-2015"
"Russia",2016,182.766,0.46,0.15,2.914,"Russia-2016"
"Russia",2017,183.163,0.56,0.14,3.113,"Russia-2017"
"Russia",2018,189.23058,0.72,0.232,3.039,"Russia-2018"
"Russia",2019,192.43224,0.985,0.315,3.73,"Russia-2019"
"Russia",2020,209.54492,1.67466999999999,1.34284,3.73,"Russia-2020"
"South Korea",2010,3.632,0.772,0.817,1.303,"South Korea-2010"
"South Korea",2011,4.54,0.916,0.862,1.934,"South Korea-2011"
"South Korea",2012,3.866,1.101,0.913,2.052,"South Korea-2012"
"South Korea",2013,4.227,1.595,1.148,2.825,"South Korea-2013"
"South Korea",2014,2.717,2.547,1.145,3.593,"South Korea-2014"
"South Korea",2015,2.118,3.88,1.341,4.737,"South Korea-2015"
"South Korea",2016,2.761,5.068,1.682,8.011000000000001,"South Korea-2016"
"South Korea",2017,2.828,7.054,2.168,8.856,"South Korea-2017"
"South Korea",2018,3.319,9.207,2.464,10.686,"South Korea-2018"
"South Korea",2019,2.74824,13.022,2.463288,12.975,"South Korea-2019"
"South Korea",2020,3.982371594,17.674223877,2.942232622,5.75017161,"South Korea-2020"
