ID,Bins,2011,2012,2013,2014,2015,2016,2017,2018
1001,Small,5408,5575,5845,5710,5584,5434,4959,4511
1002,Small,4127,4043,3900,3606,3222,2966,2897,2629
1003,Small,6007,5494,5194,4883,4705,4692,4439,4431
1004,Medium,21256,20151,19234,18202,17680,18138,16788,16351
1005,Small,4035,3775,4508,4632,4387,4173,3700,2885
1006,Small,2129,2082,2123,2161,1970,1941,1918,1869
1007,Small,5661,5294,5793,5444,4823,5004,4865,5174
1008,Small,1802,1786,1775,1720,1679,1722,1841,1855
1009,Medium,15177,15123,14798,14393,13611,13255,12688,12217
1010,Small,8174,7642,7396,7153,6865,6755,6563,6269
1011,Large,29230,26613,24009,,,,,
1011,Medium,,,,21218,18902,19052,18835,18157
1012,Small,7440,6681,,,,,,
1013,Small,8823,7994,,,,,,
1014,Small,11353,10436,,,,,,
1015,Small,1614,1502,,,,,,
1016,Small,5073,5115,5185,4981,4926,5138,4786,4728
1017,Small,1168,1212,1294,1259,1274,1227,1256,1471
1018,Small,4234,4651,4399,4201,3856,3505,3226,3076
1019,Small,1584,1484,1298,1280,1390,1470,1442,1716
1020,Small,3388,3205,3043,3117,2945,2738,2619,2478
1021,Small,5591,5417,5616,5613,5783,6197,6170,5989
1022,Large,,,,,,23537,23696,23697
1022,Medium,20274,20628,21265,21813,22268,,,
1023,Small,7521,7645,8129,8640,8884,8835,8883,8600
1024,Small,6259,6056,5802,5863,5530,5363,5551,5684
1025,Small,7222,6830,6483,6718,6592,6530,6337,6855
1026,Medium,,11672,11866,12039,11786,11791,,
1026,Small,11456,,,,,,11437,11038
1027,Small,6098,6226,6215,6241,6196,6364,6260,5842
1028,Medium,11637,11878,12513,13379,14395,13988,12333,
1028,Small,,,,,,,,11487
1029,Large,33762,34704,34616,35425,35424,33239,30844,29843
1030,Medium,15473,15990,15718,16146,16685,16936,16372,16375
1031,Medium,16809,16705,16809,17072,16738,16989,16715,16441
1032,Small,890,808,865,838,776,908,,
1033,Small,1818,1908,1971,1907,1842,1710,1676,1626
1034,Small,4011,4237,4489,4572,4653,4483,4199,3433
1035,Small,1172,1173,1107,1185,1094,1093,1060,1148
1036,Small,1388,1388,1535,1455,1452,1522,1508,1565
1037,Medium,18091,17830,16946,16587,14771,16430,13504,12097
1038,Small,323,292,283,275,324,288,270,277
1039,Small,752,769,843,971,1066,1095,1134,1068
1040,Small,5324,5228,4649,4215,3688,3569,3359,3210
1041,Small,2168,2079,2274,2006,1958,1821,2112,2111
1042,Small,2293,2075,1997,1819,1713,1526,1390,1290
1043,Small,1127,1214,1230,1178,1167,1103,972,874
1044,Medium,,11903,12213,12151,11620,,,
1044,Small,11142,,,,,10749,10010,9473
1045,Small,3846,4203,5033,5931,6414,6828,7689,9139
1046,Small,5186,5212,5345,5321,5276,5732,5488,5313
1047,Small,1766,1734,1724,1548,1982,1808,1820,1869
1048,Medium,11759,11787,,,,,11583,
1048,Small,,,11012,10263,9413,10866,,11415
1049,Small,2801,2808,2920,3002,2930,2845,3039,3134
1050,Medium,17859,17646,17341,17052,17595,17214,14748,14438
1051,Small,3633,3864,3812,3696,3854,3691,3551,3325
1052,Small,1032,899,851,862,893,949,862,756
1053,Medium,13908,13952,14048,14348,14688,15047,15303,15852
1054,Medium,18901,18563,18005,16893,15302,14224,12883,11638
1055,Small,1102,1084,1039,944,930,856,767,717
1056,Small,1060,1052,1043,1060,1063,997,933,808
1057,Small,2054,1830,1891,2042,2172,2076,2212,2240
