Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
"Afghanistan","68.1","72.3","19.6","19.3","0.3","0.3","..","..","1.9","0.8","5.0",".."
"Albania","119.1","108.0","41.8","42.6","0.4","0.4","..","..","1.5","0.8","2.0","2.0"
"American Samoa","1.0","1.0","..","..","..","..","..","..","2.6","..","..",".."
"Andorra","0.9","0.8","..","..","..","..","..","..","1.1","0.9","..",".."
"Angola","165.9","252.9","102.2","134.7","0.6","0.5","..","..","22.6","34.8","31.7","20.2"
"Argentina","16.6","28.1","11.6","15.9","0.7","0.6","..","..","26.0","40.4","..",".."
"Aruba","1.8","1.8","1.2","1.2","0.6","0.6","..","..","0.7","..","-0.5","3.6"
"Azerbaijan","1.7","1.7","0.4","0.4","0.2","0.3","..","..","16.7","11.9","12.9","1.9"
"Bangladesh","79.1","82.1","30.9","32.0","0.4","0.4","..","..","6.3","5.6","5.7","5.5"
"Barbados","2.0","2.0","1.8","1.8","0.9","0.9","..","..","2.2","..","4.7",".."
"Belarus","1.9","2.0","0.6","0.6","0.3","0.3","..","..","8.6","11.6","..",".."
"Benin","582.1","555.2","211.6","206.9","0.4","0.4","..","..","0.0","0.0","0.1","1.0"
"Bermuda","1.0","..","..","..","..","..","..","..","..","..","..",".."
"Bhutan","65.1","68.4","21.7","21.9","0.3","0.3","..","..","5.5","2.9","3.9","2.7"
"Bosnia and Herzegovina","1.7","1.7","0.7","0.7","0.4","0.4","..","..","1.7","1.4","1.2",".."
"Botswana","10.3","10.2","4.6","4.5","0.4","0.4","..","..","2.6","0.9","3.3","3.2"
"Brunei Darussalam","1.4","1.3","0.5","0.5","0.4","0.4","..","..","5.0","9.2","-0.2","0.2"
"Burkina Faso","582.1","555.7","200.3","205.7","0.3","0.4","..","..","4.5","5.0","0.4","1.9"
"Cabo Verde","97.9","93.4","45.9","45.5","0.5","0.5","..","..","0.5","1.4","..",".."
"Cambodia","4,050.6","4,051.2","1,395.9","1,406.9","0.3","0.3","..","..","3.3","3.1","2.9",".."
"Cayman Islands","1.2","1.2","0.9","0.9","0.8","0.8","..","..","1.9","..","..",".."
"Chad","582.1","555.7","200.4","206.5","0.3","0.4","..","..","0.0","5.4","..",".."
"Channel Islands","..","..","..","..","..","..","..","..","..","..","..",".."
"Macao SAR, China","8.0","8.1","5.6","5.7","0.7","0.7","..","..","2.1","3.6","1.2","3.0"
"Comoros","436.6","416.8","208.3","213.0","0.5","0.5","..","..","-0.3","4.6","..",".."
"Congo, Rep.","582.1","555.3","176.5","211.0","0.3","0.4","..","..","-2.5","22.2","0.5",".."
