Country,Region
"Abkhazia",""
"Akrotiri and Dhekelia",""
"American Samoa",""
"Anguilla",""
"Aruba",""
"Bermuda",""
"British Virgin Islands",""
"Cayman Islands",""
"Channel Islands",""
"Christmas Island",""
"Cocos Island",""
"Cook Is",""
"Czechoslovakia",""
"East Germany",""
"Eritrea and Ethiopia",""
"Faeroe Islands",""
"Falkland Is (Malvinas)",""
"French Guiana",""
"French Polynesia",""
"Gibraltar",""
"Greenland",""
"Guadeloupe",""
"Guam",""
"Guernsey",""
"Holy See",""
"Isle of Man",""
"Jersey",""
"United Korea (former)",""
"Kosovo",""
"Martinique",""
"Mayotte",""
"Montserrat",""
"Netherlands Antilles",""
"New Caledonia",""
"Ngorno-Karabakh",""
"Niue",""
"Norfolk Island",""
"Northern Cyprus",""
"Northern Mariana Islands",""
"Pitcairn",""
"Puerto Rico",""
"Reunion",""
"St. Barthélemy",""
"St. Helena",""
"St. Martin",""
"St.-Pierre-et-Miquelon",""
"Serbia and Montenegro",""
"Serbia excluding Kosovo",""
"Somaliland",""
"South Ossetia",""
"Svalbard",""
"Tokelau",""
"Transnistria",""
"Turks and Caicos Islands",""
"USSR",""
"Wallis et Futunat",""
"West Bank and Gaza",""
"West Germany",""
"Western Sahara",""
"Virgin Islands (U.S.)",""
"North Yemen (former)",""
"South Yemen (former)",""
"Yugoslavia",""
"Åland",""
"Curaçao",""
"Sint Maarten (Dutch part)",""
"St. Martin (French part)",""
"Antarctica",""
"Bouvet Island",""
"British Indian Ocean Territory",""
"Clipperton",""
"French Southern and Antarctic Lands",""
"Gaza Strip",""
"Heard and McDonald Islands",""
"Northern Marianas",""
"South Georgia and the South Sandwich Islands",""
"US Minor Outlying Islands",""
"Virgin Islands",""
"West Bank",""
"NgornoKarabakh",""
"St.PierreetMiquelon",""
"Wallis et Futuna",""
"Christian",""
"Coastline",""
"Virgin Islands, British",""
"Hawaiian Trade Zone",""
"U.S. Pacific Islands",""
"Wake Island",""
"Bonaire",""
