Country,Happiness Rank,Happiness Score,GPD,Social Support,Freedom,Trust (Government Corruption),Generosity,Year,max_happ,min_happ,Life Expectancy
Costa Rica,13.0,7.072,1.01,1.459,0.632,0.101,0.143,2018,7.808700085,2.566900015,0.86027
Tajikistan,,5.555699825,,0.835297108,0.831383407,0.592076063,-0.025088511,2020,7.808700085,2.566900015,0.57379
Mauritius,57.0,5.888,1.12,1.402,0.498,0.06,0.215,2019,7.808700085,2.566900015,0.7095
Dominican Republic,86.0,5.23000001907349,1.07937383651733,1.40241670608521,0.55258983373642,0.113945253193378,0.186967849731445,2017,7.808700085,2.566900015,0.66825
Lebanon,93.0,5.129,1.12268,0.64184,0.26228,0.03061,0.23693,2016,7.808700085,2.566900015,0.83947
Morocco,,5.094799995,,0.592628479,0.772072434,0.815724611,-0.240377247,2020,7.808700085,2.566900015,0.60954
Switzerland,4.0,7.49399995803833,1.56497955322266,1.51691174507141,0.620070576667786,0.367007285356522,0.290549278259277,2017,7.808700085,2.566900015,0.94143
Maldives,,5.197599888,,0.91316092,0.853962779,0.824211061,0.038085498,2020,7.808700085,2.566900015,
Libya,68.0,5.52500009536743,1.10180306434631,1.35756433010101,0.465733230113983,0.0926102101802826,0.152073666453362,2017,7.808700085,2.566900015,0.7038
Israel,19.0,6.814,1.301,1.559,0.533,0.272,0.354,2018,7.808700085,2.566900015,0.91387
Mauritius,64.0,5.62900018692017,1.18939554691315,1.20956099033356,0.491247326135635,0.0421815551817417,0.360933750867844,2017,7.808700085,2.566900015,0.7095
Bhutan,95.0,5.082,0.813,1.321,0.457,0.167,0.37,2019,7.808700085,2.566900015,0.57407
Ghana,98.0,4.996,0.611,0.868,0.381,0.04,0.245,2019,7.808700085,2.566900015,0.40132
Denmark,2.0,7.52199983596802,1.48238301277161,1.55112159252167,0.626006722450256,0.40077006816864,0.355280488729477,2017,7.808700085,2.566900015,0.87464
Central African Republic,148.0,3.678,0.0785,0.0,0.48879,0.08289,0.23835,2015,7.808700085,2.566900015,0.06699
Greece,102.0,4.857,1.15406,0.92933,0.07699,0.01397,0.0,2015,7.808700085,2.566900015,0.88213
United Kingdom,19.0,6.71400022506714,1.44163393974304,1.49646008014679,0.508190035820007,0.265428066253662,0.492774158716202,2017,7.808700085,2.566900015,0.90943
Palestinian Territories,108.0,4.715,0.59867,0.92558,0.24499,0.12905,0.11251,2015,7.808700085,2.566900015,0.66015
Ivory Coast,128.0,4.17999982833862,0.603048920631409,0.904780030250549,0.447706192731857,0.130061775445938,0.201237469911575,2017,7.808700085,2.566900015,0.15185
Indonesia,92.0,5.192,0.931,1.203,0.491,0.028,0.498,2019,7.808700085,2.566900015,0.63793
Uzbekistan,49.0,5.987,0.73591,1.1681,0.60848,0.28333,0.34326,2016,7.808700085,2.566900015,0.59772
Malta,27.0,6.52699995040894,1.34327983856201,1.48841166496277,0.588767051696777,0.153066068887711,0.574730575084686,2017,7.808700085,2.566900015,0.88721
Burundi,157.0,2.905,0.0153,0.41587,0.1185,0.10062,0.19727,2015,7.808700085,2.566900015,0.22396
Singapore,,6.377099991,,0.910268962,0.926645339,0.109784193,0.029879224,2020,7.808700085,2.566900015,1.02525
Germany,15.0,6.965,1.34,1.474,0.586,0.28,0.273,2018,7.808700085,2.566900015,0.89186
Botswana,137.0,3.974,1.09426,0.89186,0.44089,0.10769,0.12425,2016,7.808700085,2.566900015,0.04776
Lithuania,60.0,5.813,1.2692,1.06411,0.18929,0.0182,0.02025,2016,7.808700085,2.566900015,0.73128
Benin,143.0,3.65700006484985,0.431085407733917,0.435299843549728,0.425962775945663,0.0609290152788162,0.207948461174965,2017,7.808700085,2.566900015,0.3191
Jamaica,56.0,5.89,0.831,1.478,0.49,0.028,0.107,2019,7.808700085,2.566900015,0.68741
Niger,114.0,4.628,0.138,0.774,0.318,0.102,0.188,2019,7.808700085,2.566900015,0.29707
Algeria,53.0,5.87200021743774,1.09186446666718,1.1462174654007,0.233335807919502,0.146096110343933,0.0694366469979286,2017,7.808700085,2.566900015,0.61766
Dominican Republic,,5.689199924,,0.882085383,0.866202772,0.755999923,-0.131263286,2020,7.808700085,2.566900015,0.66825
Bahrain,,6.227300167,,0.876342118,0.905855775,0.7393471,0.13372919,2020,7.808700085,2.566900015,0.74716
Estonia,73.0,5.429,1.15174,1.22791,0.44888,0.15184,0.0868,2015,7.808700085,2.566900015,0.77361
Benin,102.0,4.883,0.393,0.437,0.349,0.082,0.175,2019,7.808700085,2.566900015,0.3191
Iraq,112.0,4.677,0.98549,0.81889,0.0,0.13788,0.17922,2015,7.808700085,2.566900015,0.60237
Colombia,31.0,6.481,1.03032,1.02169,0.44735,0.05399,0.15626,2016,7.808700085,2.566900015,0.69077
Mali,128.0,4.39,0.385,1.105,0.327,0.052,0.153,2019,7.808700085,2.566900015,0.20583
Macedonia,95.0,5.121,1.0193,0.78236,0.27668,0.07047,0.23507,2016,7.808700085,2.566900015,0.73545
Kenya,,4.583000183,,0.702652037,0.829747558,0.831499159,0.294681519,2020,7.808700085,2.566900015,0.41435
Serbia,,5.77820015,,0.881475747,0.726495862,0.843509018,-0.073676221,2020,7.808700085,2.566900015,0.74836
Taiwan,26.0,6.441,1.365,1.436,0.418,0.078,0.151,2018,7.808700085,2.566900015,0.8753
Angola,142.0,3.795,0.73,1.125,0.0,0.061,0.079,2018,7.808700085,2.566900015,0.16683
Nigeria,95.0,5.07399988174438,0.783756256103516,1.21577048301697,0.394952565431595,0.0261215660721064,0.230947196483612,2017,7.808700085,2.566900015,0.16007
Japan,51.0,5.92000007629395,1.41691517829895,1.43633782863617,0.505625545978546,0.163760736584663,0.12057276815176,2017,7.808700085,2.566900015,0.99111
