Source.Name,OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
AdventureWorks-Sales-2017.csv,2017-04-07 00:00:00.000,2004-03-07 00:00:00.000,SO67804,535,16473,8,1,2
AdventureWorks-Sales-2017.csv,2017-03-18 00:00:00.000,2003-12-27 00:00:00.000,SO66415,580,15425,9,1,1
AdventureWorks-Sales-2017.csv,2017-05-20 00:00:00.000,2004-02-07 00:00:00.000,SO70953,375,15094,7,1,1
AdventureWorks-Sales-2016.csv,2016-12-03 00:00:00.000,2003-09-08 00:00:00.000,SO59248,477,12016,4,3,2
AdventureWorks-Sales-2017.csv,2017-01-13 00:00:00.000,2003-11-09 00:00:00.000,SO62004,486,15905,6,3,1
AdventureWorks-Sales-2016.csv,2016-12-31 00:00:00.000,2003-09-26 00:00:00.000,SO61111,485,17841,10,2,2
AdventureWorks-Sales-2017.csv,2017-05-31 00:00:00.000,2004-03-12 00:00:00.000,SO71719,477,21319,1,2,2
AdventureWorks-Sales-2016.csv,2016-11-13 00:00:00.000,2003-07-17 00:00:00.000,SO57860,541,26628,1,2,2
AdventureWorks-Sales-2017.csv,2017-04-19 00:00:00.000,2003-12-28 00:00:00.000,SO68569,462,28602,6,2,1
AdventureWorks-Sales-2016.csv,2016-08-17 00:00:00.000,2003-04-23 00:00:00.000,SO52672,535,13613,9,1,2
AdventureWorks-Sales-2016.csv,2016-08-28 00:00:00.000,2003-07-26 00:00:00.000,SO53285,604,22329,1,1,1
AdventureWorks-Sales-2016.csv,2016-12-08 00:00:00.000,2003-11-17 00:00:00.000,SO59607,538,25300,8,1,2
AdventureWorks-Sales-2016.csv,2016-08-13 00:00:00.000,2003-06-28 00:00:00.000,SO52505,528,17092,8,2,2
AdventureWorks-Sales-2016.csv,2016-11-05 00:00:00.000,2003-09-01 00:00:00.000,SO57462,485,13305,1,1,1
AdventureWorks-Sales-2015.csv,2015-06-08 00:00:00.000,2002-03-18 00:00:00.000,SO46443,314,15662,10,1,1
AdventureWorks-Sales-2017.csv,2017-01-19 00:00:00.000,2003-10-02 00:00:00.000,SO62363,528,15164,4,1,1
AdventureWorks-Sales-2017.csv,2017-06-19 00:00:00.000,2004-03-16 00:00:00.000,SO73275,528,11784,6,2,3
AdventureWorks-Sales-2016.csv,2016-10-29 00:00:00.000,2003-08-14 00:00:00.000,SO56888,537,12927,4,2,1
AdventureWorks-Sales-2016.csv,2016-09-15 00:00:00.000,2003-07-30 00:00:00.000,SO54415,477,12562,7,2,2
AdventureWorks-Sales-2017.csv,2017-03-24 00:00:00.000,2003-12-04 00:00:00.000,SO66780,536,17812,10,2,3
AdventureWorks-Sales-2016.csv,2016-08-18 00:00:00.000,2003-07-20 00:00:00.000,SO52772,214,21031,7,5,1
AdventureWorks-Sales-2017.csv,2017-03-29 00:00:00.000,2004-02-24 00:00:00.000,SO67103,475,27724,6,1,1
AdventureWorks-Sales-2016.csv,2016-07-23 00:00:00.000,2003-04-16 00:00:00.000,SO51530,379,19362,10,1,1
AdventureWorks-Sales-2017.csv,2017-02-09 00:00:00.000,2003-10-14 00:00:00.000,SO63855,536,21530,7,1,1
