device_fk,sensor_type_id,sensor_type,sensor,metric_id,metric,measure_type_id,measure_type,value,timeperiod_id,timeperiod,start_time,end_time,last_updated,percent_value,base_value
4681,2,MEMORY,memory,3,AVG,2,MEMORY_PHYSICAL,101.42,3,30 Days,2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 09:22:19.350,0.1,1.0
11995,2,MEMORY,memory,3,AVG,2,MEMORY_PHYSICAL,1879.07,3,30 Days,2021-10-13 02:00:00.000,2021-11-12 02:00:00.000,2021-11-12 02:00:07.090,0.92,2.0
16320,2,MEMORY,memory,1,MAX,2,MEMORY_PHYSICAL,8114.0,3,30 Days,2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 09:22:16.583,0.99,8.0
5564,2,MEMORY,memory,6,98TH,2,MEMORY_PHYSICAL,198.1,3,30 Days,2021-08-14 07:00:00.000,2021-09-13 07:00:00.000,2021-11-12 09:22:18.710,0.19,1.0
9557,2,MEMORY,memory,1,MAX,2,MEMORY_PHYSICAL,8247.0,3,30 Days,2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 09:22:16.370,1.01,8.0
5573,1,CPU,cpu,6,98TH,1,CPU_LOAD,4.48,3,30 Days,2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:19.043,4.48,4.0
16310,1,CPU,cpu,5,95TH,1,CPU_LOAD,38.64,3,30 Days,2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:18.826,38.64,4.0
16552,1,CPU,cpu,3,AVG,1,CPU_LOAD,34.59,3,30 Days,2021-08-14 07:00:00.000,2021-09-13 07:00:00.000,2021-11-12 08:48:19.196,34.59,2.0
13624,1,CPU,cpu,6,98TH,1,CPU_LOAD,5.1,3,30 Days,2021-08-14 07:00:00.000,2021-09-13 07:00:00.000,2021-11-12 08:48:18.666,5.1,8.0
14131,1,CPU,cpu,2,MIN,1,CPU_LOAD,0.69,3,30 Days,2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:16.436,0.69,1.0
16326,1,CPU,cpu,6,98TH,1,CPU_LOAD,1.33,3,30 Days,2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:16.973,1.33,1.0
13354,1,CPU,cpu,6,98TH,1,CPU_LOAD,2.18,3,30 Days,2021-08-14 07:00:00.000,2021-09-13 07:00:00.000,2021-11-12 08:48:18.103,2.18,4.0
