Database ID,appcomp_fk,Source Engine Type,Source Engine Version,Source Engine Edition,Version #,Server ID,Server Name,Database Owner Name,Database Owner Email,eol_info,eos_info
"DB_2251",2251,"MySQL","14.14","","14.14",5592,"autodisc-db","","",,
"DB_2274",2274,"MySQL","14.14","","14.14",10405,"s1-mysql-9062.device42.pvt","","",,
"DB_2285",2285,"MySQL","14.14","","14.14",5627,"racktables-001.device42.pvt","","",,
"DB_2301",2301,"SQL Server","2017","Standard Edition (64-bit)","14.0.1000.169",10489,"mssql-90925","","",,
"DB_2304",2304,"MariaDB","15.1","","15.1",11988,"ip-10-10-39-145.ec2.internal","","",,
"DB_2308",2308,"MySQL","14.14","","14.14",11982,"ip-10-10-19-177.ec2.internal","","",,
"DB_2322",2322,"DB2","11.1.3.3","","11.1.3.3",11983,"ip-10-10-99-142.ec2.internal","","",,
"DB_2332",2332,"Oracle Database","19c","Enterprise Edition","19c",12134,"oracle-901110","","",,
"DB_2347",2347,"DB2","11.1.4.4","","11.1.4.4",13274,"ip-10-10-18-118.ec2.internal","","",,
"DB_2351",2351,"Oracle Database","11g","","11g",13298,"WIN-9R1MMKJEVOI","","",,
"DB_2354",2354,"MySQL","5.6.42","","5.6.42",13297,"WIN-C6RWVD8M6JK","","",,
"DB_2357",2357,"MySQL","8.0.13","","8.0.13",13285,"EC2AMAZ-QLVQDTG","","",,
"DB_2363",2363,"MySQL","8.0.13","","8.0.13",13294,"WIN-AQJ324JR3Q8","","",,
"DB_2370",2370,"MySQL","14.14","","14.14",5558,"website-testing-001","","",,
"DB_2386",2386,"Oracle Database","18c","Enterprise Edition","18c",13807,"oracle-90119","","",,
"DB_2387",2387,"MySQL","8.0.17","","8.0.17",13845,"SA-Tomcat1","","",,
"DB_2390",2390,"MySQL","8.0.17","","8.0.17",13842,"SA-MySQL1","","",,
"DB_2391",2391,"SQL Server","2017","Enterprise Evaluation Edition (64-bit)","14.0.1000.169",10462,"WINDOWS-F60SK52","","",,
"DB_2392",2392,"Oracle Database","18c","Enterprise Edition","18c",14135,"oracle-90116","","",,
"DB_2393",2393,"Oracle Database","12c","Enterprise Edition","12c",14139,"oracle-90115","","",,
"DB_2394",2394,"Oracle Database","19c","Enterprise Edition","19c",14137,"oracle-90117","","",,
"DB_2400",2400,"MySQL","14.14","","14.14",7564,"jira-7-dev.device42.pvt","","",,
"DB_2402",2402,"MySQL","14.14","","14.14",13348,"ubu-f5db-14-4.device42.pvt","","",,
"DB_2403",2403,"MySQL","14.14","","14.14",13346,"ubu-f5db-14-3.device42.pvt","","",,
"DB_2411",2411,"Oracle Database","12c","Enterprise Edition","12c",14472,"WIN-DTBTKCPQ3A3","","",,
"DB_2420",2420,"MySQL","14.14","","14.14",5572,"ubuntu-1404-001.device42.pvt","","",2021-07-09 00:00:00.000,2022-01-31 00:00:00.000
"DB_2421",2421,"MySQL","14.14","","14.14",5618,"hadoop-001.device42.pvt","","",2021-07-09 00:00:00.000,2022-01-31 00:00:00.000
"DB_2424",2424,"SQL Server","2008 R2","Express Edition (64-bit)","10.52.4000.0",6559,"w08-mssql-2-216","","",,
"DB_2429",2429,"MySQL","14.14","","14.14",5564,"zabbix-01","","",,
"DB_2437",2437,"SQL Server","2014","Developer Edition (64-bit)","12.1.4100.1",13321,"win-104-73.d42-laps.local","","",,
"DB_2448",2448,"MySQL","14.14","","14.14",16374,"ip-10-10-0-22","","",,
"DB_2470",2470,"SQL Server","2017","Standard Edition (64-bit)","14.0.1000.169",16725,"cherwq01fl9016","","",,
