Row ID,Order ID,Order Date
1,"CA-2016-152156",2016-11-08 00:00:00.000
2,"CA-2016-152156",2016-11-08 00:00:00.000
3,"CA-2016-138688",2016-06-12 00:00:00.000
4,"US-2015-108966",2015-10-11 00:00:00.000
5,"US-2015-108966",2015-10-11 00:00:00.000
6,"CA-2014-115812",2014-06-09 00:00:00.000
7,"CA-2014-115812",2014-06-09 00:00:00.000
8,"CA-2014-115812",2014-06-09 00:00:00.000
9,"CA-2014-115812",2014-06-09 00:00:00.000
10,"CA-2014-115812",2014-06-09 00:00:00.000
11,"CA-2014-115812",2014-06-09 00:00:00.000
12,"CA-2014-115812",2014-06-09 00:00:00.000
13,"CA-2017-114412",2017-04-15 00:00:00.000
14,"CA-2016-161389",2016-12-05 00:00:00.000
15,"US-2015-118983",2015-11-22 00:00:00.000
16,"US-2015-118983",2015-11-22 00:00:00.000
17,"CA-2014-105893",2014-11-11 00:00:00.000
18,"CA-2014-167164",2014-05-13 00:00:00.000
19,"CA-2014-143336",2014-08-27 00:00:00.000
20,"CA-2014-143336",2014-08-27 00:00:00.000
21,"CA-2014-143336",2014-08-27 00:00:00.000
22,"CA-2016-137330",2016-12-09 00:00:00.000
23,"CA-2016-137330",2016-12-09 00:00:00.000
24,"US-2017-156909",2017-07-16 00:00:00.000
25,"CA-2015-106320",2015-09-25 00:00:00.000
26,"CA-2016-121755",2016-01-16 00:00:00.000
27,"CA-2016-121755",2016-01-16 00:00:00.000
28,"US-2015-150630",2015-09-17 00:00:00.000
29,"US-2015-150630",2015-09-17 00:00:00.000
30,"US-2015-150630",2015-09-17 00:00:00.000
31,"US-2015-150630",2015-09-17 00:00:00.000
32,"US-2015-150630",2015-09-17 00:00:00.000
33,"US-2015-150630",2015-09-17 00:00:00.000
34,"US-2015-150630",2015-09-17 00:00:00.000
35,"CA-2017-107727",2017-10-19 00:00:00.000
36,"CA-2016-117590",2016-12-08 00:00:00.000
37,"CA-2016-117590",2016-12-08 00:00:00.000
38,"CA-2015-117415",2015-12-27 00:00:00.000
39,"CA-2015-117415",2015-12-27 00:00:00.000
40,"CA-2015-117415",2015-12-27 00:00:00.000
41,"CA-2015-117415",2015-12-27 00:00:00.000
42,"CA-2017-120999",2017-09-10 00:00:00.000
43,"CA-2016-101343",2016-07-17 00:00:00.000
44,"CA-2017-139619",2017-09-19 00:00:00.000
45,"CA-2016-118255",2016-03-11 00:00:00.000
46,"CA-2016-118255",2016-03-11 00:00:00.000
47,"CA-2014-146703",2014-10-20 00:00:00.000
48,"CA-2016-169194",2016-06-20 00:00:00.000
49,"CA-2016-169194",2016-06-20 00:00:00.000
50,"CA-2015-115742",2015-04-18 00:00:00.000
51,"CA-2015-115742",2015-04-18 00:00:00.000
52,"CA-2015-115742",2015-04-18 00:00:00.000
53,"CA-2015-115742",2015-04-18 00:00:00.000
54,"CA-2016-105816",2016-12-11 00:00:00.000
55,"CA-2016-105816",2016-12-11 00:00:00.000
56,"CA-2016-111682",2016-06-17 00:00:00.000
57,"CA-2016-111682",2016-06-17 00:00:00.000
58,"CA-2016-111682",2016-06-17 00:00:00.000
