order_id,invoice_id,product_id,count,discount,Sum of price,Sales
2,3,91,76,1,"3.9",220.4
4,16,7,24,1,"43.57",1021.6800000000001
5,58,60,40,1,"71.64",2825.6
6,13,8,94,1,"21.14",1893.16
8,59,12,41,1,"53.5",2152.5
9,42,47,83,1,"25.9",2066.7
11,52,69,78,1,"59.75",4582.5
12,52,5,19,1,"37.11",686.09
13,11,79,38,1,"0.31",-26.22
14,98,61,87,1,"29.28",2460.36
16,2,80,35,1,"40.88",1395.8000000000002
18,9,45,46,1,"52.57",2372.22
19,100,97,93,1,"30.89",2779.77
21,32,26,24,1,"20.06",457.43999999999994
22,21,72,71,1,"16.1",1072.1000000000001
23,13,26,25,1,"20.06",476.49999999999994
31,22,32,21,1,"40.69",833.49
32,82,86,69,1,"23.74",1569.06
33,62,8,1,1,"21.14",20.14
37,75,100,67,1,"13.72",852.24
38,37,86,24,1,"23.74",545.76
39,73,53,42,1,"17.39",688.38
40,65,80,41,1,"40.88",1635.0800000000002
42,90,36,28,1,"77.49",2141.72
44,20,86,9,1,"23.74",204.66
47,76,35,43,1,"67.38",2854.3399999999997
49,57,1,12,1,"6.18",62.16
51,70,22,100,1,"1.03",3.0000000000000027
52,24,24,11,1,"44.87",482.57
53,97,18,12,1,"48.37",568.43999999999994
60,4,6,32,1,"31.81",985.92
61,11,79,51,1,"0.31",-35.19
67,51,40,34,1,"36.34",1201.5600000000002
68,69,40,5,1,"36.34",176.70000000000002
71,10,26,78,1,"20.06",1486.6799999999998
74,49,31,92,1,"3.77",254.84
77,72,96,26,1,"35.95",908.7
80,27,87,69,1,"15.7",1014.3
83,21,99,13,1,"16.22",197.85999999999999
87,21,28,42,1,"8.36",309.12
89,13,96,84,1,"35.95",2935.8
93,55,93,69,1,"45.26",3053.94
97,45,95,96,1,"82.8",7852.7999999999993
108,97,1,4,1,"6.18",20.72
112,80,20,83,1,"40.84",3306.7200000000003
116,67,94,23,1,"27.06",599.38
117,3,88,17,1,"69.95",1172.15
118,78,66,67,1,"16.12",1013.0400000000001
120,13,60,74,1,"71.64",5227.36
123,56,16,54,1,"73.22",3899.88
124,56,72,60,1,"16.1",906.00000000000011
