category_id,category_name,Target,Minimum,Needs Improvement,Satisfactory,Good,Very Good,Maximum,Target Value 2
1,"Produce",0.3,0,0.03,0.126,0.201,0.22499999999999998,0.44999999999999996,0.15
2,"Consumer",0.3,0,0.03,0.126,0.201,0.22499999999999998,0.44999999999999996,0.15
3,"Niche",0.1,0,0.010000000000000002,0.042,0.067,0.075000000000000011,0.15000000000000002,0.05
4,"Boutique",0.3,0,0.03,0.126,0.201,0.22499999999999998,0.44999999999999996,0.15
5,"Perishable",0.3,0,0.03,0.126,0.201,0.22499999999999998,0.44999999999999996,0.15
6,"Prepared",0.1,0,0.010000000000000002,0.042,0.067,0.075000000000000011,0.15000000000000002,0.05
7,"Packaged",0.1,0,0.010000000000000002,0.042,0.067,0.075000000000000011,0.15000000000000002,0.05
8,"Novelty",0.15,0,0.015,0.063,0.1005,0.11249999999999999,0.22499999999999998,0.075
9,"Bakery",0.15,0,0.015,0.063,0.1005,0.11249999999999999,0.22499999999999998,0.075
10,"Refrigerated",0.15,0,0.015,0.063,0.1005,0.11249999999999999,0.22499999999999998,0.075
