Interaction Name,Load Data
"ActivityContactBlocked",False
"ActivityContactBlockedConsent",False
"ActivityContactBlockedExternalConsent",False
"ActivityContactBlockedSuppression",False
"ActivityContactDispatched",False
"ActivityContactProcessingFailed",False
"ConfirmationRequest",False
"ConfirmationResponse",False
"ContactDeleted",False
"CreateCrmActivityContactProcessed",False
"CreateCustomChannelActivityContactProcessed",False
"CreateLeadActivityContactProcessed",False
"CustomChannelResponse",False
"CustomerJourneyContactRecordUpdated",False
"CustomerJourneyIterationStarted",False
"EmailBlockBounced",False
"EmailBlocked",False
"EmailBlockedByUser",False
"EmailBlockedDuplicateAddress",False
"EmailBlockedInactiveContact",False
"EmailBlockedMissingContactData",False
"EmailBlockedMissingRelatedData",False
"EmailClicked",True
"EmailContainsBlacklistedLinks",False
"EmailDelivered",False
"EmailFeedbackLoop",False
"EmailForwarded",False
"EmailHardBounced",False
"EmailHardRemoteBounced",False
"EmailOpened",True
"EmailSendingFailed",False
"EmailSent",True
"EmailSoftBounced",False
"EmailSoftRemoteBounced",False
"EmailSubscriptionSubmit",False
"EntityDeleted",False
"EventCheckIn",False
"EventRegistration",False
"EventRegistrationCanceled",False
"FormSubmitted",False
"FormVisited",False
"InvalidRecipientAddress",False
"InvalidReplyToAddress",False
"InvalidSenderAddress",False
"LeadScoreBoost",False
"LinkedInFormSubmission",False
"OutOfEmailCredits",False
"PassThroughActivityContactProcessed",False
"RedirectLinkClicked",False
"SchedulerActivityContactProcessed",False
"SegmentMembersCountChanged",False
"SegmentRelationshipEdited",False
"SegmentSubscribed",False
"SegmentUnsubscribed",False
"SplitterActivityContactProcessed",False
"SurveyResponse",False
"TriggerActivityContactProcessed",False
"TriggerCrmWorkflowActivityContactProcessed",False
"WebsiteClicked",False
"WebsiteVisited",False
