Interaction Type,Attribute Name,Attribute Type
"ActivityContactBlocked","InteractionType","string"
"ActivityContactBlockedConsent","InteractionType","string"
"ActivityContactBlockedExternalConsent","InteractionType","string"
"ActivityContactBlockedSuppression","InteractionType","string"
"ActivityContactDispatched","InteractionType","string"
"ActivityContactProcessingFailed","InteractionType","string"
"ConfirmationRequest","InteractionType","string"
"ConfirmationResponse","InteractionType","string"
"ContactDeleted","InteractionType","string"
"CreateCrmActivityContactProcessed","InteractionType","string"
"CreateCustomChannelActivityContactProcessed","InteractionType","string"
"CreateLeadActivityContactProcessed","InteractionType","string"
"CustomChannelResponse","InteractionType","string"
"CustomerJourneyContactRecordUpdated","InteractionType","string"
"CustomerJourneyIterationStarted","InteractionType","string"
"DomainNotOwnedByAnyone","InteractionType","string"
"DomainOwnedByDifferentOrganization","InteractionType","string"
"EmailBlockBounced","InteractionType","string"
"EmailBlocked","InteractionType","string"
"EmailBlockedByUnsubscription","InteractionType","string"
"EmailBlockedByUser","InteractionType","string"
"EmailBlockedDuplicateAddress","InteractionType","string"
"EmailBlockedExternalConsentFailure","InteractionType","string"
"EmailBlockedInactiveContact","InteractionType","string"
"EmailBlockedMissingContactData","InteractionType","string"
"EmailBlockedMissingRelatedData","InteractionType","string"
"EmailClicked","InteractionType","string"
"EmailContainsBlacklistedLinks","InteractionType","string"
"EmailDelivered","InteractionType","string"
"EmailFeedbackLoop","InteractionType","string"
"EmailForwarded","InteractionType","string"
"EmailHardBounced","InteractionType","string"
"EmailHardRemoteBounced","InteractionType","string"
"EmailOpened","InteractionType","string"
"EmailSendingFailed","InteractionType","string"
"EmailSent","InteractionType","string"
"EmailSoftBounced","InteractionType","string"
"EmailSoftRemoteBounced","InteractionType","string"
"EmailSubscriptionSubmit","InteractionType","string"
"EntityDeleted","InteractionType","string"
"EventCheckIn","InteractionType","string"
"EventRegistration","InteractionType","string"
"EventRegistrationCanceled","InteractionType","string"
"FormSubmitted","InteractionType","string"
"FormVisited","InteractionType","string"
"InvalidRecipientAddress","InteractionType","string"
"InvalidReplyToAddress","InteractionType","string"
"InvalidSenderAddress","InteractionType","string"
"LeadScoreBoost","InteractionType","string"
"LinkedInFormSubmission","InteractionType","string"
"OutOfEmailCredits","InteractionType","string"
"PassThroughActivityContactProcessed","InteractionType","string"
"RedirectLinkClicked","InteractionType","string"
"SchedulerActivityContactProcessed","InteractionType","string"
"SegmentMembersCountChanged","InteractionType","string"
"SegmentRelationshipEdited","InteractionType","string"
"SegmentSubscribed","InteractionType","string"
"SegmentUnsubscribed","InteractionType","string"
"SessionRegistrationCanceled","InteractionType","string"
"SplitterActivityContactProcessed","InteractionType","string"
"SurveyResponse","InteractionType","string"
"TriggerActivityContactProcessed","InteractionType","string"
"TriggerCrmWorkflowActivityContactProcessed","InteractionType","string"
"WebsiteClicked","InteractionType","string"
"WebsiteVisited","InteractionType","string"
"ActivityContactBlocked","OrganizationId","string"
"ActivityContactBlockedConsent","OrganizationId","string"
"ActivityContactBlockedExternalConsent","OrganizationId","string"
"ActivityContactBlockedSuppression","OrganizationId","string"
"ActivityContactDispatched","OrganizationId","string"
"ActivityContactProcessingFailed","OrganizationId","string"
"ConfirmationRequest","OrganizationId","string"
"ConfirmationResponse","OrganizationId","string"
"ContactDeleted","OrganizationId","string"
"CreateCrmActivityContactProcessed","OrganizationId","string"
"CreateCustomChannelActivityContactProcessed","OrganizationId","string"
"CreateLeadActivityContactProcessed","OrganizationId","string"
"CustomChannelResponse","OrganizationId","string"
"CustomerJourneyContactRecordUpdated","OrganizationId","string"
"CustomerJourneyIterationStarted","OrganizationId","string"
"DomainNotOwnedByAnyone","OrganizationId","string"
"DomainOwnedByDifferentOrganization","OrganizationId","string"
"EmailBlockBounced","OrganizationId","string"
"EmailBlocked","OrganizationId","string"
"EmailBlockedByUnsubscription","OrganizationId","string"
"EmailBlockedByUser","OrganizationId","string"
"EmailBlockedDuplicateAddress","OrganizationId","string"
"EmailBlockedExternalConsentFailure","OrganizationId","string"
"EmailBlockedInactiveContact","OrganizationId","string"
"EmailBlockedMissingContactData","OrganizationId","string"
"EmailBlockedMissingRelatedData","OrganizationId","string"
"EmailClicked","OrganizationId","string"
"EmailContainsBlacklistedLinks","OrganizationId","string"
"EmailDelivered","OrganizationId","string"
"EmailFeedbackLoop","OrganizationId","string"
"EmailForwarded","OrganizationId","string"
"EmailHardBounced","OrganizationId","string"
"EmailHardRemoteBounced","OrganizationId","string"
"EmailOpened","OrganizationId","string"
"EmailSendingFailed","OrganizationId","string"
"EmailSent","OrganizationId","string"
"EmailSoftBounced","OrganizationId","string"
"EmailSoftRemoteBounced","OrganizationId","string"
"EmailSubscriptionSubmit","OrganizationId","string"
"EntityDeleted","OrganizationId","string"
"EventCheckIn","OrganizationId","string"
"EventRegistration","OrganizationId","string"
"EventRegistrationCanceled","OrganizationId","string"
"FormSubmitted","OrganizationId","string"
"FormVisited","OrganizationId","string"
"InvalidRecipientAddress","OrganizationId","string"
"InvalidReplyToAddress","OrganizationId","string"
"InvalidSenderAddress","OrganizationId","string"
"LeadScoreBoost","OrganizationId","string"
"LinkedInFormSubmission","OrganizationId","string"
"OutOfEmailCredits","OrganizationId","string"
"PassThroughActivityContactProcessed","OrganizationId","string"
"RedirectLinkClicked","OrganizationId","string"
"SchedulerActivityContactProcessed","OrganizationId","string"
"SegmentMembersCountChanged","OrganizationId","string"
"SegmentRelationshipEdited","OrganizationId","string"
"SegmentSubscribed","OrganizationId","string"
"SegmentUnsubscribed","OrganizationId","string"
"SessionRegistrationCanceled","OrganizationId","string"
"SplitterActivityContactProcessed","OrganizationId","string"
"SurveyResponse","OrganizationId","string"
"TriggerActivityContactProcessed","OrganizationId","string"
"TriggerCrmWorkflowActivityContactProcessed","OrganizationId","string"
"WebsiteClicked","OrganizationId","string"
"WebsiteVisited","OrganizationId","string"
"ActivityContactBlocked","InternalMarketingInteractionId","string"
"ActivityContactBlockedConsent","InternalMarketingInteractionId","string"
"ActivityContactBlockedExternalConsent","InternalMarketingInteractionId","string"
"ActivityContactBlockedSuppression","InternalMarketingInteractionId","string"
"ActivityContactDispatched","InternalMarketingInteractionId","string"
"ActivityContactProcessingFailed","InternalMarketingInteractionId","string"
"ConfirmationRequest","InternalMarketingInteractionId","string"
"ConfirmationResponse","InternalMarketingInteractionId","string"
"ContactDeleted","InternalMarketingInteractionId","string"
"CreateCrmActivityContactProcessed","InternalMarketingInteractionId","string"
"CreateCustomChannelActivityContactProcessed","InternalMarketingInteractionId","string"
"CreateLeadActivityContactProcessed","InternalMarketingInteractionId","string"
"CustomChannelResponse","InternalMarketingInteractionId","string"
"CustomerJourneyContactRecordUpdated","InternalMarketingInteractionId","string"
"CustomerJourneyIterationStarted","InternalMarketingInteractionId","string"
"DomainNotOwnedByAnyone","InternalMarketingInteractionId","string"
"DomainOwnedByDifferentOrganization","InternalMarketingInteractionId","string"
"EmailBlockBounced","InternalMarketingInteractionId","string"
"EmailBlocked","InternalMarketingInteractionId","string"
"EmailBlockedByUnsubscription","InternalMarketingInteractionId","string"
"EmailBlockedByUser","InternalMarketingInteractionId","string"
"EmailBlockedDuplicateAddress","InternalMarketingInteractionId","string"
"EmailBlockedExternalConsentFailure","InternalMarketingInteractionId","string"
"EmailBlockedInactiveContact","InternalMarketingInteractionId","string"
"EmailBlockedMissingContactData","InternalMarketingInteractionId","string"
"EmailBlockedMissingRelatedData","InternalMarketingInteractionId","string"
"EmailClicked","InternalMarketingInteractionId","string"
"EmailContainsBlacklistedLinks","InternalMarketingInteractionId","string"
"EmailDelivered","InternalMarketingInteractionId","string"
"EmailFeedbackLoop","InternalMarketingInteractionId","string"
"EmailForwarded","InternalMarketingInteractionId","string"
"EmailHardBounced","InternalMarketingInteractionId","string"
"EmailHardRemoteBounced","InternalMarketingInteractionId","string"
"EmailOpened","InternalMarketingInteractionId","string"
"EmailSendingFailed","InternalMarketingInteractionId","string"
"EmailSent","InternalMarketingInteractionId","string"
"EmailSoftBounced","InternalMarketingInteractionId","string"
"EmailSoftRemoteBounced","InternalMarketingInteractionId","string"
"EmailSubscriptionSubmit","InternalMarketingInteractionId","string"
"EntityDeleted","InternalMarketingInteractionId","string"
"EventCheckIn","InternalMarketingInteractionId","string"
"EventRegistration","InternalMarketingInteractionId","string"
"EventRegistrationCanceled","InternalMarketingInteractionId","string"
"FormSubmitted","InternalMarketingInteractionId","string"
"FormVisited","InternalMarketingInteractionId","string"
"InvalidRecipientAddress","InternalMarketingInteractionId","string"
"InvalidReplyToAddress","InternalMarketingInteractionId","string"
"InvalidSenderAddress","InternalMarketingInteractionId","string"
"LeadScoreBoost","InternalMarketingInteractionId","string"
"LinkedInFormSubmission","InternalMarketingInteractionId","string"
"OutOfEmailCredits","InternalMarketingInteractionId","string"
"PassThroughActivityContactProcessed","InternalMarketingInteractionId","string"
"RedirectLinkClicked","InternalMarketingInteractionId","string"
"SchedulerActivityContactProcessed","InternalMarketingInteractionId","string"
"SegmentMembersCountChanged","InternalMarketingInteractionId","string"
"SegmentRelationshipEdited","InternalMarketingInteractionId","string"
"SegmentSubscribed","InternalMarketingInteractionId","string"
"SegmentUnsubscribed","InternalMarketingInteractionId","string"
"SessionRegistrationCanceled","InternalMarketingInteractionId","string"
"SplitterActivityContactProcessed","InternalMarketingInteractionId","string"
"SurveyResponse","InternalMarketingInteractionId","string"
"TriggerActivityContactProcessed","InternalMarketingInteractionId","string"
"TriggerCrmWorkflowActivityContactProcessed","InternalMarketingInteractionId","string"
"WebsiteClicked","InternalMarketingInteractionId","string"
"WebsiteVisited","InternalMarketingInteractionId","string"
"ActivityContactBlocked","ActivityId","string"
"ActivityContactBlocked","CustomerJourneyId","string"
"ActivityContactBlocked","ContactId","string"
"ActivityContactBlocked","AccountId","string"
"ActivityContactBlocked","WorkflowId","string"
"ActivityContactBlocked","CustomerJourneyIterationId","string"
"ActivityContactBlocked","Reason","string"
"ActivityContactBlockedConsent","ActivityId","string"
"ActivityContactBlockedConsent","CustomerJourneyId","string"
"ActivityContactBlockedConsent","ContactId","string"
"ActivityContactBlockedConsent","AccountId","string"
"ActivityContactBlockedConsent","WorkflowId","string"
"ActivityContactBlockedConsent","CustomerJourneyIterationId","string"
"ActivityContactBlockedExternalConsent","ActivityId","string"
"ActivityContactBlockedExternalConsent","CustomerJourneyId","string"
"ActivityContactBlockedExternalConsent","ContactId","string"
"ActivityContactBlockedExternalConsent","AccountId","string"
"ActivityContactBlockedExternalConsent","WorkflowId","string"
"ActivityContactBlockedExternalConsent","CustomerJourneyIterationId","string"
"ActivityContactBlockedSuppression","ActivityId","string"
"ActivityContactBlockedSuppression","CustomerJourneyId","string"
"ActivityContactBlockedSuppression","ContactId","string"
"ActivityContactBlockedSuppression","AccountId","string"
"ActivityContactBlockedSuppression","WorkflowId","string"
"ActivityContactBlockedSuppression","CustomerJourneyIterationId","string"
"ActivityContactDispatched","ActivityId","string"
"ActivityContactDispatched","CustomerJourneyId","string"
"ActivityContactDispatched","ContactId","string"
"ActivityContactDispatched","AccountId","string"
"ActivityContactDispatched","WorkflowId","string"
"ActivityContactDispatched","CustomerJourneyIterationId","string"
"ActivityContactProcessingFailed","ActivityId","string"
"ActivityContactProcessingFailed","CustomerJourneyId","string"
"ActivityContactProcessingFailed","ContactId","string"
"ActivityContactProcessingFailed","AccountId","string"
"ActivityContactProcessingFailed","WorkflowId","string"
"ActivityContactProcessingFailed","CustomerJourneyIterationId","string"
"ConfirmationRequest","ConfirmationRequestId","string"
"ConfirmationRequest","ContactId","string"
"ConfirmationRequest","AccountId","string"
"ConfirmationRequest","ChannelType","string"
