DayOfMonth,MonthNumberOfYear,Year,DayOfWeekNumber,MonthName,DayName,IsToday,Week Ending,DaysFromToday,Month-Year,MonthYearSortBy,Datestamp
1,1,2019,3,"January","Tuesday",False,2019-01-05 00:00:00.000,-274,"Jan-2019",201901,2019-01-01 00:00:00.000
2,1,2019,4,"January","Wednesday",False,2019-01-05 00:00:00.000,-273,"Jan-2019",201901,2019-01-02 00:00:00.000
3,1,2019,5,"January","Thursday",False,2019-01-05 00:00:00.000,-272,"Jan-2019",201901,2019-01-03 00:00:00.000
4,1,2019,6,"January","Friday",False,2019-01-05 00:00:00.000,-271,"Jan-2019",201901,2019-01-04 00:00:00.000
5,1,2019,7,"January","Saturday",False,2019-01-05 00:00:00.000,-270,"Jan-2019",201901,2019-01-05 00:00:00.000
6,1,2019,1,"January","Sunday",False,2019-01-12 00:00:00.000,-269,"Jan-2019",201901,2019-01-06 00:00:00.000
7,1,2019,2,"January","Monday",False,2019-01-12 00:00:00.000,-268,"Jan-2019",201901,2019-01-07 00:00:00.000
8,1,2019,3,"January","Tuesday",False,2019-01-12 00:00:00.000,-267,"Jan-2019",201901,2019-01-08 00:00:00.000
9,1,2019,4,"January","Wednesday",False,2019-01-12 00:00:00.000,-266,"Jan-2019",201901,2019-01-09 00:00:00.000
10,1,2019,5,"January","Thursday",False,2019-01-12 00:00:00.000,-265,"Jan-2019",201901,2019-01-10 00:00:00.000
11,1,2019,6,"January","Friday",False,2019-01-12 00:00:00.000,-264,"Jan-2019",201901,2019-01-11 00:00:00.000
12,1,2019,7,"January","Saturday",False,2019-01-12 00:00:00.000,-263,"Jan-2019",201901,2019-01-12 00:00:00.000
13,1,2019,1,"January","Sunday",False,2019-01-19 00:00:00.000,-262,"Jan-2019",201901,2019-01-13 00:00:00.000
14,1,2019,2,"January","Monday",False,2019-01-19 00:00:00.000,-261,"Jan-2019",201901,2019-01-14 00:00:00.000
15,1,2019,3,"January","Tuesday",False,2019-01-19 00:00:00.000,-260,"Jan-2019",201901,2019-01-15 00:00:00.000
16,1,2019,4,"January","Wednesday",False,2019-01-19 00:00:00.000,-259,"Jan-2019",201901,2019-01-16 00:00:00.000
17,1,2019,5,"January","Thursday",False,2019-01-19 00:00:00.000,-258,"Jan-2019",201901,2019-01-17 00:00:00.000
18,1,2019,6,"January","Friday",False,2019-01-19 00:00:00.000,-257,"Jan-2019",201901,2019-01-18 00:00:00.000
19,1,2019,7,"January","Saturday",False,2019-01-19 00:00:00.000,-256,"Jan-2019",201901,2019-01-19 00:00:00.000
20,1,2019,1,"January","Sunday",False,2019-01-26 00:00:00.000,-255,"Jan-2019",201901,2019-01-20 00:00:00.000
21,1,2019,2,"January","Monday",False,2019-01-26 00:00:00.000,-254,"Jan-2019",201901,2019-01-21 00:00:00.000
22,1,2019,3,"January","Tuesday",False,2019-01-26 00:00:00.000,-253,"Jan-2019",201901,2019-01-22 00:00:00.000
23,1,2019,4,"January","Wednesday",False,2019-01-26 00:00:00.000,-252,"Jan-2019",201901,2019-01-23 00:00:00.000
24,1,2019,5,"January","Thursday",False,2019-01-26 00:00:00.000,-251,"Jan-2019",201901,2019-01-24 00:00:00.000
