Row ID,Order ID,Order Date,Ship Date,Shipping Code,Customer ID,Postal Code,Product ID,Sales,Quantity,Discount,Profit,Ship Mode
1626,"CA-2015-157084",2015-12-19 00:00:00.000,2015-12-24 00:00:00.000,"D","JG-15160","90049","TEC-AC-10002049",1265.85,3,0,556.974,"Standard Class"
2060,"CA-2014-106439",2014-10-31 00:00:00.000,2014-11-04 00:00:00.000,"D","GG-14650","90049","OFF-FA-10002975",11.34,3,0,5.2164,"Standard Class"
2068,"CA-2014-106439",2014-10-31 00:00:00.000,2014-11-04 00:00:00.000,"D","GG-14650","90049","OFF-AR-10001419",12.39,3,0,3.717,"Standard Class"
2191,"CA-2016-118913",2016-06-25 00:00:00.000,2016-06-29 00:00:00.000,"D","AS-10240","90049","OFF-AP-10000692",60.81,3,0,17.0268,"Standard Class"
4338,"CA-2015-125234",2015-11-27 00:00:00.000,2015-12-01 00:00:00.000,"D","SN-20710","90049","TEC-AC-10000158",107.97,3,0,22.6737,"Standard Class"
4339,"CA-2015-125234",2015-11-27 00:00:00.000,2015-12-01 00:00:00.000,"D","SN-20710","90049","OFF-PA-10000482",113.82,3,0,53.4954,"Standard Class"
4484,"CA-2016-109365",2016-11-03 00:00:00.000,2016-11-08 00:00:00.000,"D","XP-21865","90049","OFF-PA-10001725",116.28,3,0,56.9772,"Standard Class"
4486,"CA-2016-109365",2016-11-03 00:00:00.000,2016-11-08 00:00:00.000,"D","XP-21865","90049","OFF-PA-10000477",19.44,3,0,9.3312,"Standard Class"
4487,"CA-2016-109365",2016-11-03 00:00:00.000,2016-11-08 00:00:00.000,"D","XP-21865","90049","OFF-PA-10004359",314.55,3,0,150.984,"Standard Class"
5896,"CA-2014-168305",2014-11-01 00:00:00.000,2014-11-08 00:00:00.000,"D","PL-18925","90049","OFF-LA-10003498",44.4,3,0,22.2,"Standard Class"
6009,"CA-2015-135580",2015-12-30 00:00:00.000,2016-01-03 00:00:00.000,"D","CL-12565","90049","OFF-PA-10000595",68.52,3,0,31.5192,"Standard Class"
6010,"CA-2015-135580",2015-12-30 00:00:00.000,2016-01-03 00:00:00.000,"D","CL-12565","90049","OFF-ST-10000798",74.94,3,0,14.2386,"Standard Class"
6012,"CA-2015-135580",2015-12-30 00:00:00.000,2016-01-03 00:00:00.000,"D","CL-12565","90049","OFF-EN-10003296",271.44,3,0,122.148,"Standard Class"
6018,"CA-2014-102652",2014-04-06 00:00:00.000,2014-04-12 00:00:00.000,"D","AY-10555","90049","OFF-PA-10003309",19.44,3,0,9.3312,"Standard Class"
8548,"CA-2015-149566",2015-12-05 00:00:00.000,2015-12-10 00:00:00.000,"D","GB-14530","90049","TEC-AC-10001266",39,3,0,17.55,"Standard Class"
65,"CA-2015-135545",2015-11-24 00:00:00.000,2015-11-30 00:00:00.000,"D","KM-16720","90004","OFF-PA-10003892",146.73,3,0,68.9631,"Standard Class"
90,"CA-2016-109806",2016-09-17 00:00:00.000,2016-09-22 00:00:00.000,"D","JS-15685","90036","OFF-AR-10004930",20.1,3,0,6.633,"Standard Class"
