Rank,Location,Species,Weight,URL,Date,Peak Season.1,Peak Season.2,Catch Qty,Combined
1,"au","Black Marlin",1000,"http://www.kingsailfishmounts.com/UserFiles/Black%20marlin%20shot%20gibson.jpg",2017-01-01 00:00:00.000,"January"," March",1,"january 2017"
2,"ca","Salmon",30,"https://scontent.fsnc1-1.fna.fbcdn.net/v/t31.0-8/338653_10150355647644810_3344069_o.jpg?oh=c6dd7dde6e3145ad5c2ff8d63f0535bb&oe=59B7DB69",2017-02-01 00:00:00.000,"February"," June",2,"february 2017"
3,"de","Catfish",30,"https://brslifestyle.files.wordpress.com/2012/09/wpid-giant_catfish.jpg",2017-03-01 00:00:00.000,"March"," July",4,"march 2017"
4,"uk","Hake",5,"http://i.dailymail.co.uk/i/pix/2015/07/16/17/2A971F4600000578-3164139-image-a-8_1437062471179.jpg",2017-04-01 00:00:00.000,"April"," October",32,"april 2017"
5,"lv","Ide",15,"https://lauris.github.io/images/blog/zander-record-latvia.jpg",2017-05-01 00:00:00.000,"May"," February",14,"may 2017"
6,"no","Cod",20,"https://www.sportquestholidays.com/wp-content/uploads/2015/12/norway-sea-fishing-soroya-h-3.jpg",2017-06-01 00:00:00.000,"June"," December",5,"june 2017"
7,"ch","Carp",15,"https://chinaflyfisherman.files.wordpress.com/2010/03/trip-134.jpg",2017-07-01 00:00:00.000,"July"," December",26,"july 2017"
8,"Br","Peacock Bass",16,"http://www.flyfishingbolivia.com/brazil-flyfishing/images/Azreynoldspeacock_t.jpg",2017-08-01 00:00:00.000,"August"," October",3,"august 2017"
9,"us","Tuna",43,"https://msdnshared.blob.core.windows.net/media/MSDNBlogsFS/prod.evol.blogs.msdn.com/CommunityServer.Blogs.Components.WeblogFiles/00/00/00/43/11/metablogapi/6064.clip_image004_thumb.jpg",2017-09-01 00:00:00.000,"September"," February",65,"september 2017"
10,"nz","Snapper",36,"https://msdnshared.blob.core.windows.net/media/TNBlogsFS/BlogFileStorage/blogs_msdn/charles_sterling/WindowsLiveWriter/Flubringsgoodluckfishing_E1C6/S8001865.jpg",2017-10-01 00:00:00.000,"October"," December",10,"october 2017"
