Rank,Location,Species,Weight,Catch Qty,URL,Peak Season.1,Peak Season.2,Date
9,us,Tuna,43,65,https://msdnshared.blob.core.windows.net/media/MSDNBlogsFS/prod.evol.blogs.msdn.com/CommunityServer.Blogs.Components.WeblogFiles/00/00/00/43/11/metablogapi/6064.clip_image004_thumb.jpg,September,February,2017-09-01 00:00:00.000
2,ca,Salmon,30,2,https://scontent.fsnc1-1.fna.fbcdn.net/v/t31.0-8/338653_10150355647644810_3344069_o.jpg?oh=c6dd7dde6e3145ad5c2ff8d63f0535bb&oe=59B7DB69,February,June,2017-02-01 00:00:00.000
6,no,Cod,20,5,https://www.sportquestholidays.com/wp-content/uploads/2015/12/norway-sea-fishing-soroya-h-3.jpg,June,December,2017-06-01 00:00:00.000
1,au,Black Marlin,1000,1,http://www.kingsailfishmounts.com/UserFiles/Black%20marlin%20shot%20gibson.jpg,January,March,2017-01-01 00:00:00.000
8,Br,Peacock Bass,16,3,http://www.flyfishingbolivia.com/brazil-flyfishing/images/Azreynoldspeacock_t.jpg,August,October,2017-08-01 00:00:00.000
3,de,Catfish,30,4,https://brslifestyle.files.wordpress.com/2012/09/wpid-giant_catfish.jpg,March,July,2017-03-01 00:00:00.000
10,nz,Snapper,36,10,https://msdnshared.blob.core.windows.net/media/TNBlogsFS/BlogFileStorage/blogs_msdn/charles_sterling/WindowsLiveWriter/Flubringsgoodluckfishing_E1C6/S8001865.jpg,October,December,2017-10-01 00:00:00.000
5,lv,Ide,15,14,https://lauris.github.io/images/blog/zander-record-latvia.jpg,May,February,2017-05-01 00:00:00.000
4,uk,Hake,5,32,http://i.dailymail.co.uk/i/pix/2015/07/16/17/2A971F4600000578-3164139-image-a-8_1437062471179.jpg,April,October,2017-04-01 00:00:00.000
7,ch,Carp,15,26,https://chinaflyfisherman.files.wordpress.com/2010/03/trip-134.jpg,July,December,2017-07-01 00:00:00.000
