State,Year,Miles (millions),Fatalities
"Alabama",2015,67257.00465,850
"Alaska",2015,5045.390231,65
"Arizona",2015,65044.85807,897
"Arkansas",2015,34897.33423,550
"California",2015,335538.5566,3387
"Colorado",2015,50437.33835,547
"Connecticut",2015,31591.79366,270
"Delaware",2015,9930.610378,131
"District of Columbia",2015,3557.192653,23
"Florida",2015,206982.4642,2938
"Georgia",2015,118106.5611,1432
"Hawaii",2015,10300.52988,93
"Idaho",2015,16661.94971,216
"Illinois",2015,105223.406,998
"Indiana",2015,78818.67261,817
"Iowa",2015,33160.97573,320
"Kansas",2015,31379.12459,355
"Kentucky",2015,48674.69601,761
"Louisiana",2015,48180.25257,752
"Maine",2015,14629.43917,156
"Maryland",2015,57515.82372,520
"Massachusetts",2015,59257.48057,344
"Michigan",2015,97843.1965,967
"Minnesota",2015,57394.87167,411
"Mississippi",2015,39890.36248,677
"Missouri",2015,71917.51859,870
"Montana",2015,12345.07126,224
"Nebraska",2015,20100.95861,246
"Nevada",2015,25925.4421,326
"New Hampshire",2015,13093.74176,114
"New Jersey",2015,75393.41931,561
"New Mexico",2015,27435.41838,298
"New York",2015,127230.2144,1136
"North Carolina",2015,111878.5688,1379
"North Dakota",2015,10036.21684,131
"Ohio",2015,113672.5052,1110
"Oklahoma",2015,47713.00021,645
"Oregon",2015,35998.50454,446
"Pennsylvania",2015,100945.0602,1200
"Rhode Island",2015,7832.561416,45
"South Carolina",2015,51726.04848,979
"South Dakota",2015,9324.353332,134
"Tennessee",2015,76670.31841,962
"Texas",2015,258122.3092,3582
"Utah",2015,29603.66349,278
"Vermont",2015,7313.841852,57
"Virginia",2015,82624.52764,754
"Washington",2015,59652.50424,551
"West Virginia",2015,19826.64297,268
"Wisconsin",2015,62073.36822,566
"Wyoming",2015,9597.036265,145
"Alabama",2016,69226.97081,1083
"Alaska",2016,5258.555818,84
"Arizona",2016,65785.73004,952
"Arkansas",2016,35754.7969,561
"California",2016,340114.9368,3837
"Colorado",2016,52151.61111,608
"Connecticut",2016,31638.569,304
"Delaware",2016,10177.58523,119
"District of Columbia",2016,3621.959298,27
"Florida",2016,215550.7493,3176
"Georgia",2016,122802.1859,1556
"Hawaii",2016,10635.42844,120
"Idaho",2016,17198.71536,253
"Illinois",2016,107314.1027,1078
"Indiana",2016,83182.77568,829
"Iowa",2016,33336.97203,402
"Kansas",2016,32102.60971,429
"Kentucky",2016,49312.718,834
"Louisiana",2016,49155.61297,757
"Maine",2016,14838.25752,160
"Maryland",2016,59137.32716,522
"Massachusetts",2016,61824.85135,387
"Michigan",2016,99432.53809,1065
"Minnesota",2016,59028.80169,392
"Mississippi",2016,40754.70886,687
"Missouri",2016,74018.57646,947
"Montana",2016,12598.72287,190
