Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity
"AX10030","ENX2028","A124","EMP1017","C1495",2017-06-22 00:00:00.000,1
"AX10091","ENX2051","A149","EMP1017","C1707",2018-04-18 00:00:00.000,1
"AX10237","ENX2080","A169","EMP1017","C1578",2019-04-10 00:00:00.000,1
"AX10370","ENX2011","A131","EMP1017","C1419",2016-11-24 00:00:00.000,1
"AX10395","ENX2085","A109","EMP1017","C1402",2019-06-17 00:00:00.000,1
"AX10413","ENX2000","A137","EMP1017","C1345",2016-07-06 00:00:00.000,1
"AX10488","ENX2028","A175","EMP1017","C1169",2017-06-27 00:00:00.000,1
"AX10534","ENX2077","A193","EMP1017","C1479",2019-03-12 00:00:00.000,1
"AX10545","ENX2079","A128","EMP1017","C1695",2019-04-08 00:00:00.000,1
"AX10556","ENX2097","A101","EMP1017","C1010",2019-11-15 00:00:00.000,1
"AX10568","ENX2051","A196","EMP1017","C1532",2018-04-13 00:00:00.000,1
"AX10612","ENX2006","A141","EMP1017","C1181",2016-09-16 00:00:00.000,1
"AX10629","ENX2011","A146","EMP1017","C1034",2016-11-27 00:00:00.000,1
"AX10708","ENX2087","A157","EMP1017","C1297",2019-07-15 00:00:00.000,1
"AX10728","ENX2033","A136","EMP1017","C1027",2017-08-22 00:00:00.000,1
"AX10739","ENX2015","A168","EMP1017","C1269",2017-01-12 00:00:00.000,1
"AX10751","ENX2065","A113","EMP1017","C1487",2018-10-03 00:00:00.000,1
"AX10783","ENX2061","A164","EMP1017","C1521",2018-08-22 00:00:00.000,1
"AX10785","ENX2037","A146","EMP1017","C1195",2017-10-13 00:00:00.000,1
"AX10819","ENX2050","A174","EMP1017","C1600",2018-03-30 00:00:00.000,1
"AX10851","ENX2051","A105","EMP1017","C1450",2018-04-17 00:00:00.000,1
"AX10995","ENX2047","A114","EMP1017","C1688",2018-02-26 00:00:00.000,1
"AX11030","ENX2061","A126","EMP1017","C1197",2018-08-13 00:00:00.000,1
"AX11071","ENX2061","A196","EMP1017","C1714",2018-08-15 00:00:00.000,1
"AX11077","ENX2089","A177","EMP1017","C1400",2019-08-12 00:00:00.000,1
