Location ID,Name,County,State Code,State,Type,Latitude,Longitude,Area Code,Population,Households,Median Income,Land Area,Water Area,Time Zone
"A100","Bridgeport","Fairfield County","CT","Connecticut","City",41.16704,-73.20483,203,147629,50367,41801,41591056,8721419,"America/New York"
"A102","Hartford","Hartford County","CT","Connecticut","City",41.76371,-72.68509,959,124006,45239,30630,45016120,1748078,"America/New York"
"A104","New Haven","New Haven County","CT","Connecticut","City",41.30815,-72.92816,203,130322,49771,37192,48407373,3739487,"America/New York"
"A106","Stamford","Fairfield County","CT","Connecticut","City",41.05343,-73.53873,203,128874,46974,79359,97430571,37323740,"America/New York"
"A108","Waterbury","New Haven County","CT","Connecticut","City",41.55815,-73.0515,203,108802,40213,40467,73880017,1086045,"America/New York"
"A111","Cape Coral","Lee County","FL","Florida","City",26.56285,-81.94953,941,175229,58967,50536,273544395,35010453,"America/New York"
"A112","Clearwater","Pinellas County","FL","Florida","City",27.97895,-82.76657,727,113003,46234,44198,67027321,36469162,"America/New York"
"A113","Coral Springs","Broward County","FL","Florida","City",26.27119,-80.2706,954,129485,40571,66430,61625913,520928,"America/New York"
"A115","Fort Lauderdale","Broward County","FL","Florida","City",26.12231,-80.14338,954,178590,73446,50778,89672308,4372775,"America/New York"
"A116","Gainesville","Alachua County","FL","Florida","City",29.65163,-82.32483,352,130128,47968,31818,161411152,3017660,"America/New York"
"A117","Hialeah","Miami-Dade County","FL","Florida","City",25.8576,-80.27811,305,237069,69219,29249,55623172,3481216,"America/New York"
"A118","Hollywood","Broward County","FL","Florida","City",26.0112,-80.14949,954,149728,55823,46791,70639073,8937087,"America/New York"
"A119","Jacksonville","Duval County","FL","Florida","City",30.33218,-81.65565,904,868031,318575,46764,1935873371,329424471,"America/New York"
"A120","Lakeland","Polk County","FL","Florida","City",28.03947,-81.9498,863,104401,39376,39706,170700664,23355418,"America/New York"
"A122","Miami","Miami-Dade County","FL","Florida","City",25.77427,-80.19366,305,441003,157347,31051,93204587,51995800,"America/New York"
"A123","Miami Gardens","Miami-Dade County","FL","Florida","City",25.94204,-80.2456,305,113187,31003,38253,47236363,2016214,"America/New York"
"A124","Miramar","Broward County","FL","Florida","City",25.98731,-80.23227,954,137132,38474,65282,76095016,4917826,"America/New York"
"A125","Orlando","Orange County","FL","Florida","City",28.53834,-81.37924,407,270934,105359,42318,272512582,22100434,"America/New York"
"A126","Palm Bay","Brevard County","FL","Florida","City",28.03446,-80.58866,321,107888,37821,43163,170217927,8124203,"America/New York"
"A127","Pembroke Pines","Broward County","FL","Florida","City",26.00315,-80.22394,954,166611,56171,61279,85539498,5033092,"America/New York"
"A128","Pompano Beach","Broward County","FL","Florida","City",26.23786,-80.12477,954,107762,41422,41321,62261002,1737713,"America/New York"
"A129","Port St. Lucie","St. Lucie County","FL","Florida","City",27.29393,-80.35033,772,179413,59221,49813,307920898,4193519,"America/New York"
