Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,Month & Year,Quarter & Year,DayInWeek,Day of Week,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY,Year & Week,YearWeekSort,Quarters
2015-07-01 00:00:00.000,2015,3,7,1,20150701,"July","Jul 2015","Q3 2015",3,"Wednesday",2015-07-04 00:00:00.000,27,20150700,20150300,"15","FY16","2015-27",201527,"Q3"
2015-07-02 00:00:00.000,2015,3,7,2,20150702,"July","Jul 2015","Q3 2015",4,"Thursday",2015-07-04 00:00:00.000,27,20150700,20150300,"15","FY16","2015-27",201527,"Q3"
2015-07-03 00:00:00.000,2015,3,7,3,20150703,"July","Jul 2015","Q3 2015",5,"Friday",2015-07-04 00:00:00.000,27,20150700,20150300,"15","FY16","2015-27",201527,"Q3"
2015-07-04 00:00:00.000,2015,3,7,4,20150704,"July","Jul 2015","Q3 2015",6,"Saturday",2015-07-04 00:00:00.000,27,20150700,20150300,"15","FY16","2015-27",201527,"Q3"
2015-07-05 00:00:00.000,2015,3,7,5,20150705,"July","Jul 2015","Q3 2015",0,"Sunday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","2015-28",201528,"Q3"
2015-07-06 00:00:00.000,2015,3,7,6,20150706,"July","Jul 2015","Q3 2015",1,"Monday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","2015-28",201528,"Q3"
2015-07-07 00:00:00.000,2015,3,7,7,20150707,"July","Jul 2015","Q3 2015",2,"Tuesday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","2015-28",201528,"Q3"
2015-07-08 00:00:00.000,2015,3,7,8,20150708,"July","Jul 2015","Q3 2015",3,"Wednesday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","2015-28",201528,"Q3"
2015-07-09 00:00:00.000,2015,3,7,9,20150709,"July","Jul 2015","Q3 2015",4,"Thursday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","2015-28",201528,"Q3"
2015-07-10 00:00:00.000,2015,3,7,10,20150710,"July","Jul 2015","Q3 2015",5,"Friday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","2015-28",201528,"Q3"
2015-07-11 00:00:00.000,2015,3,7,11,20150711,"July","Jul 2015","Q3 2015",6,"Saturday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","2015-28",201528,"Q3"
2015-07-12 00:00:00.000,2015,3,7,12,20150712,"July","Jul 2015","Q3 2015",0,"Sunday",2015-07-18 00:00:00.000,29,20150700,20150300,"15","FY16","2015-29",201529,"Q3"
