Product ID,Product Name,Cost,Original Sale Price,Discount Code,Discount,Current Price,Taxes,Product Groups
"ENX2000","Product 1",1367,2241,"",0,2241,336.15,"High Price"
"ENX2001","Product 2",504,951,"",0,951,142.65,"Low Price"
"ENX2002","Product 3",534,847,"",0,847,127.05,"Low Price"
"ENX2003","Product 4",1516,1783,"",0,1783,267.45,"Mid Range"
"ENX2004","Product 5",665,1278,"",0,1278,191.7,"Mid Range"
"ENX2005","Product 6",561,684,"",0,684,102.6,"Low Price"
"ENX2006","Product 7",1443,1826,"",0,1826,273.9,"Mid Range"
"ENX2007","Product 8",1054,1405,"",0,1405,210.75,"Mid Range"
"ENX2008","Product 9",208,315,"",0,315,47.25,"Low Price"
"ENX2009","Product 10",420,584,"",0,584,87.6,"Low Price"
"ENX2010","Product 11",1305,1812,"",0,1812,271.8,"Mid Range"
"ENX2011","Product 12",435,530,"",0,530,79.5,"Low Price"
"ENX2012","Product 13",947,1353,"",0,1353,202.95,"Mid Range"
"ENX2013","Product 14",269,368,"",0,368,55.199999999999996,"Low Price"
"ENX2014","Product 15",1067,1809,"",0,1809,271.34999999999997,"Mid Range"
"ENX2015","Product 16",389,637,"",0,637,95.55,"Low Price"
"ENX2016","Product 17",1108,1351,"",0,1351,202.65,"Mid Range"
"ENX2017","Product 18",22,35,"",0,35,5.25,"Low Price"
"ENX2018","Product 19",1321,1972,"",0,1972,295.8,"Mid Range"
"ENX2019","Product 20",536,800,"",0,800,120,"Low Price"
"ENX2020","Product 21",1223,2005,"",0,2005,300.75,"High Price"
"ENX2021","Product 22",171,217,"",0,217,32.55,"Low Price"
"ENX2022","Product 23",421,561,"",0,561,84.149999999999991,"Low Price"
"ENX2023","Product 24",450,818,"",0,818,122.69999999999999,"Low Price"
"ENX2024","Product 25",292,356,"",0,356,53.4,"Low Price"
"ENX2025","Product 26",387,667,"",0,667,100.05,"Low Price"
"ENX2026","Product 27",786,947,"",0,947,142.04999999999998,"Low Price"
"ENX2027","Product 28",1473,2497,"",0,2497,374.55,"High Price"
"ENX2028","Product 29",1484,2283,"",0,2283,342.45,"High Price"
"ENX2029","Product 30",1294,1848,"",0,1848,277.2,"Mid Range"
"ENX2030","Product 31",1044,1899,"",0,1899,284.84999999999997,"Mid Range"
"ENX2031","Product 32",1261,1638,"",0,1638,245.7,"Mid Range"
"ENX2032","Product 33",1397,1967,"",0,1967,295.05,"Mid Range"
"ENX2033","Product 34",1200,2182,"",0,2182,327.3,"High Price"
"ENX2034","Product 35",540,871,"",0,871,130.65,"Low Price"
"ENX2035","Product 36",376,458,"",0,458,68.7,"Low Price"
"ENX2036","Product 37",1234,1582,"",0,1582,237.29999999999998,"Mid Range"
"ENX2037","Product 38",634,880,"",0,880,132,"Low Price"
"ENX2038","Product 39",255,392,"",0,392,58.8,"Low Price"
"ENX2039","Product 40",409,817,"",0,817,122.55,"Low Price"
"ENX2040","Product 41",945,1889,"",0,1889,283.34999999999997,"Mid Range"
"ENX2041","Product 42",1090,1380,"",0,1380,207,"Mid Range"
"ENX2042","Product 43",154,203,"",0,203,30.45,"Low Price"
"ENX2043","Product 44",425,545,"",0,545,81.75,"Low Price"
"ENX2044","Product 45",478,886,"",0,886,132.9,"Low Price"
"ENX2045","Product 46",395,556,"",0,556,83.399999999999991,"Low Price"
"ENX2046","Product 47",1518,2410,"",0,2410,361.5,"High Price"
"ENX2047","Product 48",200,290,"",0,290,43.5,"Low Price"
"ENX2048","Product 49",296,502,"",0,502,75.3,"Low Price"
"ENX2049","Product 50",562,826,"",0,826,123.89999999999999,"Low Price"
"ENX2050","Product 51",1291,2391,"",0,2391,358.65,"High Price"
"ENX2051","Product 52",732,1077,"",0,1077,161.54999999999998,"Mid Range"
"ENX2052","Product 53",1251,1526,"",0,1526,228.9,"Mid Range"
"ENX2053","Product 54",358,596,"",0,596,89.399999999999991,"Low Price"
"ENX2054","Product 55",79,127,"",0,127,19.05,"Low Price"
"ENX2055","Product 56",1896,2495,"",0,2495,374.25,"High Price"
"ENX2056","Product 57",1046,1635,"",0,1635,245.25,"Mid Range"
"ENX2057","Product 58",130,181,"",0,181,27.15,"Low Price"
"ENX2058","Product 59",1535,2257,"",0,2257,338.55,"High Price"
"ENX2059","Product 60",971,1494,"",0,1494,224.1,"Mid Range"
"ENX2060","Product 61",807,1467,"",0,1467,220.04999999999998,"Mid Range"
"ENX2061","Product 62",584,913,"",0,913,136.95,"Low Price"
"ENX2062","Product 63",1774,2464,"",0,2464,369.59999999999997,"High Price"
"ENX2063","Product 64",871,1708,"",0,1708,256.2,"Mid Range"
"ENX2064","Product 65",962,1414,"",0,1414,212.1,"Mid Range"
"ENX2065","Product 66",1965,2396,"",0,2396,359.4,"High Price"
"ENX2066","Product 67",1485,2091,"",0,2091,313.65,"High Price"
"ENX2067","Product 68",683,1119,"",0,1119,167.85,"Mid Range"
"ENX2068","Product 69",900,1500,"",0,1500,225,"Mid Range"
"ENX2069","Product 70",291,378,"",0,378,56.699999999999996,"Low Price"
"ENX2070","Product 71",1220,1671,"",0,1671,250.64999999999998,"Mid Range"
"ENX2071","Product 72",72,136,"",0,136,20.4,"Low Price"
"ENX2072","Product 73",1378,1887,"",0,1887,283.05,"Mid Range"
"ENX2073","Product 74",61,95,"",0,95,14.25,"Low Price"
"ENX2074","Product 75",408,504,"",0,504,75.6,"Low Price"
"ENX2075","Product 76",208,400,"",0,400,60,"Low Price"
"ENX2076","Product 77",791,1522,"",0,1522,228.29999999999998,"Mid Range"
"ENX2077","Product 78",424,530,"",0,530,79.5,"Low Price"
