FiscalYearQuarter,Category,Name,Value
FY2019-Q1,SP,GROSS MARGIN,-6.551410852
FY2019-Q4,SR,REVENUE,15489.45227
FY2019-Q4,SR,REVENUE,6774.93758
FY2019-Q2,SR,REVENUE,15106.91499
FY2019-Q1,SR,REVENUE,9961.07052
FY2019-Q1,SR,GROSS MARGIN,1935.67778
FY2019-Q3,SR,GROSS MARGIN,607.69758
FY2019-Q1,SR,REVENUE,15397.62455
FY2019-Q2,SP,REVENUE,12.54936907
FY2020-Q1,HD,REVENUE,19248.17833
FY2019-Q1,SP,COS,40.27194985
FY2019-Q1,SP,GROSS MARGIN,-13.92868535
FY2019-Q4,SR,COS,11405.31612
FY2019-Q2,SR,GROSS MARGIN,4684.69075
FY2019-Q2,SR,COS,12146.70244
FY2020-Q1,HD,GROSS MARGIN,-1850.785879
FY2019-Q3,SR,COS,961.30466
FY2019-Q2,SP,GROSS MARGIN,-1.372609142
FY2019-Q3,SP,REVENUE,44.61768385
FY2019-Q3,SP,COS,63.22850634
FY2019-Q2,SR,GROSS MARGIN,3357.57152
FY2019-Q3,SR,REVENUE,9442.33904
FY2019-Q2,SP,COS,24.04584454
FY2019-Q2,SR,COS,2537.19645
FY2019-Q1,SR,REVENUE,1044.40204
FY2019-Q2,SR,COS,5932.85113
FY2019-Q4,SP,REVENUE,59.29851815
FY2019-Q1,SR,REVENUE,9263.22274
FY2019-Q4,SP,GROSS MARGIN,-14.78767149
FY2019-Q2,SP,REVENUE,41.815856
FY2019-Q4,SR,COS,6383.59098
FY2019-Q2,SP,REVENUE,53.35
FY2019-Q3,SR,GROSS MARGIN,3028.27001
FY2019-Q3,SR,COS,7001.2693
FY2019-Q4,SP,COS,29.27767149
FY2019-Q3,SR,COS,6414.06903
FY2020-Q1,HD,GROSS MARGIN,-2123.740474
FY2019-Q4,SR,REVENUE,1303.76539
FY2019-Q3,SR,REVENUE,1569.00224
FY2019-Q4,SP,GROSS MARGIN,12.6726049
FY2019-Q2,SP,GROSS MARGIN,-13.78616611
FY2019-Q4,SP,REVENUE,14.49
FY2019-Q1,SR,COS,6017.1622
FY2019-Q2,SP,GROSS MARGIN,-11.49647547
FY2019-Q1,SP,REVENUE,11.062
FY2019-Q1,SR,REVENUE,9856.85039
FY2019-Q1,SR,COS,652.98564
FY2019-Q1,SR,COS,7229.99749
FY2019-Q4,SP,COS,46.62591325
FY2019-Q1,SP,COS,24.99068535
FY2019-Q4,SR,COS,9010.32772
FY2019-Q3,SP,COS,30.05502872
FY2019-Q2,SR,COS,6843.40647
FY2019-Q2,SR,REVENUE,9650.35561
FY2019-Q3,SP,REVENUE,12.32861059
FY2019-Q3,SP,COS,38.76822477
FY2020-Q1,HD,COS,71634.98441
FY2019-Q4,SP,REVENUE,55.30147587
FY2019-Q3,SP,GROSS MARGIN,-7.210506338
FY2019-Q1,SP,REVENUE,57.285
FY2019-Q3,SR,COS,7150.13421
FY2019-Q1,SP,REVENUE,33.720539
FY2019-Q1,SR,COS,6012.29595
FY2019-Q3,SP,GROSS MARGIN,5.849459088
FY2019-Q1,SR,GROSS MARGIN,3844.55444
FY2019-Q3,SR,COS,11804.54292
FY2019-Q3,SR,REVENUE,11657.17065
FY2019-Q2,SR,REVENUE,1318.04654
FY2019-Q1,SR,COS,3155.3196
FY2019-Q1,SR,REVENUE,5090.99738
FY2019-Q2,SR,GROSS MARGIN,2427.5657
FY2019-Q4,SR,REVENUE,9592.67143
FY2019-Q2,SR,GROSS MARGIN,2960.21255
FY2019-Q2,SR,GROSS MARGIN,2806.94914
FY2019-Q4,SP,GROSS MARGIN,-5.600127511
FY2019-Q3,SR,REVENUE,5280.13229
FY2019-Q2,SR,REVENUE,10617.54188
FY2019-Q1,SR,GROSS MARGIN,3246.06054
FY2019-Q3,SR,REVENUE,10371.73542
FY2019-Q2,SR,COS,6997.31602
FY2019-Q1,SP,GROSS MARGIN,-7.94038534
FY2019-Q2,SR,GROSS MARGIN,293.67539
FY2019-Q3,SR,REVENUE,15550.49053
FY2019-Q4,SR,REVENUE,10372.79257
FY2019-Q4,SR,COS,5023.22128
FY2019-Q3,SP,GROSS MARGIN,-17.72641814
FY2019-Q4,SP,COS,60.90160338
FY2019-Q1,SR,GROSS MARGIN,2731.07303
FY2020-Q1,HD,REVENUE,69511.24394
FY2019-Q2,SR,REVENUE,4964.76215
FY2019-Q2,SP,COS,43.18846514
FY2020-Q1,HD,COS,21098.96421
FY2019-Q2,SP,COS,67.13616611
FY2019-Q4,SR,COS,5346.00202
FY2019-Q1,SR,GROSS MARGIN,2569.08869
FY2019-Q2,SR,COS,1024.37115
FY2019-Q4,SR,COS,816.67253
FY2019-Q3,SR,COS,3745.79191
FY2019-Q1,SP,COS,65.22538534
FY2019-Q4,SR,REVENUE,12471.57063
