IMDB ID,Title,Date Published,Genre,Minutes,Directors,Production Company,Description,Viewers Score,Budget,USA Gross,Worldwide Gross,Critics Score
tt2828996,A Haunted House 2,2014-05-15 00:00:00.000,Comedy,86,Michael Tiddes,Baby Way Productions,"Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.",4.7,4000000,17329486,25358716,1.7
tt4572792,The Book of Henry,2017-11-23 00:00:00.000,Crime,105,Colin Trevorrow,Double Nickel Entertainment,"With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather.",6.6,10000000,4504974,4596705,3.1
tt1858481,Last Passenger,2013-10-18 00:00:00.000,Action,97,Omid Nooshin,NDF International,A small group of everyday passengers on a speeding London commuter train battle their warped driver who has a dark plan for everyone on-board.,5.7,2500000,14806,54110,6.6
tt1532958,Battle of the Year,2013-12-05 00:00:00.000,Drama,110,Benson Lee,Contrafilm,"Battle of the Year attracts all the best teams from around the world, but the Americans haven't won in fifteen years. Dante enlists Blake to assemble a team of the best dancers and bring the Trophy back to America where it started.",5.0,20000000,8888355,16549477,2.9
tt2975590,Batman v Superman: Dawn of Justice,2016-03-23 00:00:00.000,Action,152,Zack Snyder,Warner Bros.,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.4,250000000,330360194,873637528,4.4
tt0434409,V for Vendetta,2006-03-17 00:00:00.000,Action,132,James McTeigue,Warner Bros.,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",8.2,54000000,70511035,132511035,6.2
tt0103924,Captain Ron,1993-05-20 00:00:00.000,Adventure,90,Thom Eberhardt,Touchstone Pictures,"A Chicagoan inherits an old yacht. He, his wife, daughter and son fly to a Caribbean island and hire a dubious Captain Ron to sail them on an adventure to Miami.",5.8,24000000,22518097,22518097,3.9
tt1284575,Bad Teacher,2011-08-31 00:00:00.000,Comedy,92,Jake Kasdan,Columbia Pictures,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fianc̩ dumps her.",5.6,20000000,100292856,216197492,4.7
tt0210567,Beautiful,2000-09-29 00:00:00.000,Comedy,112,Sally Field,Destination Films,"Mona sacrifices everything, including family, in pursuit of a beauty pageant victory. Her friend Ruby helps her to an amazing degree.",5.6,14000000,3157348,3169930,2.3
tt0491152,Something Borrowed,2011-05-06 00:00:00.000,Comedy,112,Luke Greenfield,Alcon Entertainment,"Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fianc̩.",5.9,35000000,39046489,65100369,3.6
tt1700841,Sausage Party,2016-10-31 00:00:00.000,Animation,89,Greg Tiernan,Annapurna Pictures,A sausage strives to discover the truth about his existence.,6.1,19000000,97685686,140705322,6.6
tt1876451,Sparkle,2012-08-17 00:00:00.000,Drama,116,Salim Akil,Akil Production Company,"In the 1960s, three sisters form a girl group and soon become local sensations with major label interest, but fame becomes a challenge as the close-knit family begins to fall apart.",5.7,14000000,24397469,24637800,5.4
tt0366627,The Jacket,2005-04-01 00:00:00.000,Drama,103,John Maybury,Mandalay Pictures,"A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them.",7.1,29000000,6303762,21733230,4.4
tt1483324,At Middleton,2018-01-01 00:00:00.000,Comedy,99,Adam Rodgers,8th Day Pictures,Two parents fall in love over the course of a single day while playing hooky from their children's college tour.,6.5,2500000,53837,82993,6.0
tt0421206,Gridiron Gang,2006-09-15 00:00:00.000,Biography,125,Phil Joanou,Columbia Pictures Industries,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",6.9,30000000,38432823,41480851,5.2
tt0361467,Confessions of a Teenage Drama Queen,2004-07-09 00:00:00.000,Comedy,89,Sara Sugarman,Walt Disney Pictures,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",4.7,15000000,29331068,33251890,3.3
tt0097481,Harlem Nights,1989-11-17 00:00:00.000,Comedy,116,Eddie Murphy,Eddie Murphy Productions,"During the 1930s, a New York City illegal gambling house owner and his associates must deal with strong competition, gangsters, and corrupt cops in order to stay in business.",6.1,30000000,60864870,60864870,1.6
tt3715320,Irrational Man,2015-12-16 00:00:00.000,Comedy,95,Woody Allen,Gravier Productions,A tormented philosophy professor finds a will to live when he commits an existential act.,6.6,11000000,4030360,27391084,5.3
tt0841032,The Perfect Holiday,2007-12-12 00:00:00.000,Comedy,96,Lance Rivera,Capital Arts Entertainment,A young girl turns to a department store Santa in the hopes that he will help find a new husband for her divorced mother.,4.5,20000000,5812781,5812781,3.2
tt0158622,The Flintstones in Viva Rock Vegas,2000-08-25 00:00:00.000,Comedy,90,Brian Levant,Universal Pictures,"In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople (Kristen Johnston) is pursued by playboy Chip Rockefeller (Thomas Gibson).",3.6,83000000,35268275,59468275,2.7
tt0780492,Canvas,2008-12-12 00:00:00.000,Drama,101,Joseph Greco,LMG Pictures,A woman's schizophrenia affects her relationships with her husband and son.,6.5,1500000,35630,41010,6.7
tt0497972,Sex and Death 101,2008-03-14 00:00:00.000,Comedy,117,Daniel Waters,Avenue Pictures,"A guy's life is turned around by an email, which includes the names of everyone he's had sex with and ever will have sex with. His situation gets worse when he encounters a femme fatale (Ryder) who targets men guilty of sex crime.",6.0,5000000,23624,1229330,2.4
tt0120746,The Mask of Zorro,1998-12-18 00:00:00.000,Action,136,Martin Campbell,TriStar Pictures,"A young thief, seeking revenge for the death of his brother, is trained by the once great, but aged Zorro, who also pursues vengeance of his own.",6.7,95000000,94095523,250288523,6.3
tt3322364,Concussion,2016-04-21 00:00:00.000,Biography,123,Peter Landesman,LStar Capital,"In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.",7.1,35000000,34542474,48623572,5.5
