Date,Year,YearOffset,YearCompleted,QuarterOfYear,Quarter & Year,QuarternYear,QuarterOffset,QuarterCompleted,MonthOfYear,DayOfMonth,Month Name,MonthShortName,Month Initial,Month & Year,MonthnYear,MonthOffset,MonthCompleted,MonthEnding,DateInt,DayOfWeek,DayOfWeekName,Weekday Initial,Day Type,ISO Year,ISO YearOffset,ISO QuarterOfYear,ISO Quarter,ISO Quarter & Year,ISO QuarternYear,ISO QuarterOffset,ISO Weeknumber,Week & Year,WeeknYear,WeekOffset,WeekCompleted,WeekEnding,Fiscal Year,FiscalYearOffset,Fiscal Quarter,FQuarternYear,IsCurrentFQ,Fiscal Period,FPeriodnYear,IsCurrentFP,Fiscal Week,Fiscal Year & Week,FWeeknYear,IsCurrentFW,IsAfterToday,IsWorkingDay,IsHoliday,IsBusinessDay,IsPYTD,IsPFYTD
1960-10-07 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,10,7,"October","Oct","O​​​​​​​​​​","Oct 1960",19601000,-730,True,1960-10-31 00:00:00.000,19601007,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,40,"1960-40",19604000,-3175,True,1960-10-09 00:00:00.000,"FY61",-61,"FQ2",19610200,False,4,19610400,False,15,"1961-15",19611500,False,False,True,"Unknown",True,False,False
1960-10-14 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,10,14,"October","Oct","O​​​​​​​​​​","Oct 1960",19601000,-730,True,1960-10-31 00:00:00.000,19601014,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,41,"1960-41",19604100,-3174,True,1960-10-16 00:00:00.000,"FY61",-61,"FQ2",19610200,False,4,19610400,False,16,"1961-16",19611600,False,False,True,"Unknown",True,False,False
1960-10-21 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,10,21,"October","Oct","O​​​​​​​​​​","Oct 1960",19601000,-730,True,1960-10-31 00:00:00.000,19601021,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,42,"1960-42",19604200,-3173,True,1960-10-23 00:00:00.000,"FY61",-61,"FQ2",19610200,False,4,19610400,False,17,"1961-17",19611700,False,False,True,"Unknown",True,False,False
1960-10-28 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,10,28,"October","Oct","O​​​​​​​​​​","Oct 1960",19601000,-730,True,1960-10-31 00:00:00.000,19601028,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,43,"1960-43",19604300,-3172,True,1960-10-30 00:00:00.000,"FY61",-61,"FQ2",19610200,False,4,19610400,False,18,"1961-18",19611800,False,False,True,"Unknown",True,False,False
1960-11-04 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,11,4,"November","Nov","N​​​​​​​​​​​","Nov 1960",19601100,-729,True,1960-11-30 00:00:00.000,19601104,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,44,"1960-44",19604400,-3171,True,1960-11-06 00:00:00.000,"FY61",-61,"FQ2",19610200,False,5,19610500,False,19,"1961-19",19611900,False,False,True,"Unknown",True,False,False
1960-11-11 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,11,11,"November","Nov","N​​​​​​​​​​​","Nov 1960",19601100,-729,True,1960-11-30 00:00:00.000,19601111,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,45,"1960-45",19604500,-3170,True,1960-11-13 00:00:00.000,"FY61",-61,"FQ2",19610200,False,5,19610500,False,20,"1961-20",19612000,False,False,True,"Unknown",True,False,False
1960-11-18 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,11,18,"November","Nov","N​​​​​​​​​​​","Nov 1960",19601100,-729,True,1960-11-30 00:00:00.000,19601118,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,46,"1960-46",19604600,-3169,True,1960-11-20 00:00:00.000,"FY61",-61,"FQ2",19610200,False,5,19610500,False,21,"1961-21",19612100,False,False,True,"Unknown",True,False,False
1960-11-25 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,11,25,"November","Nov","N​​​​​​​​​​​","Nov 1960",19601100,-729,True,1960-11-30 00:00:00.000,19601125,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,47,"1960-47",19604700,-3168,True,1960-11-27 00:00:00.000,"FY61",-61,"FQ2",19610200,False,5,19610500,False,22,"1961-22",19612200,False,False,True,"Unknown",True,False,False
1960-12-02 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,12,2,"December","Dec","D​​​​​​​​​​​​","Dec 1960",19601200,-728,True,1960-12-31 00:00:00.000,19601202,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,48,"1960-48",19604800,-3167,True,1960-12-04 00:00:00.000,"FY61",-61,"FQ2",19610200,False,6,19610600,False,23,"1961-23",19612300,False,False,True,"Unknown",True,False,False
1960-12-09 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,12,9,"December","Dec","D​​​​​​​​​​​​","Dec 1960",19601200,-728,True,1960-12-31 00:00:00.000,19601209,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,49,"1960-49",19604900,-3166,True,1960-12-11 00:00:00.000,"FY61",-61,"FQ2",19610200,False,6,19610600,False,24,"1961-24",19612400,False,False,True,"Unknown",True,False,False
1960-12-16 00:00:00.000,1960,-61,True,4,"Q4 1960",19600400,-243,True,12,16,"December","Dec","D​​​​​​​​​​​​","Dec 1960",19601200,-728,True,1960-12-31 00:00:00.000,19601216,5,"Friday","F​​​​​","Weekday",1960,-61,4,"Q4","Q4 1960",19600400,-243,50,"1960-50",19605000,-3165,True,1960-12-18 00:00:00.000,"FY61",-61,"FQ2",19610200,False,6,19610600,False,25,"1961-25",19612500,False,False,True,"Unknown",True,False,False
