Pool Name,Storrage Array Name,Poole Capacity (TB),Pool Used Capacity (TB),Pool Free Capacity (TB),LUN Count,Capacity (TB),Free Capacity (TB),Used Capacity (TB)
"Pool1","Oraclezfs",0.0339658185839653,"1.17187501018634e-05",0.0339540988206863,1,0.034,0.034,0
"Unity_Pool_01","CKM00164000536",1.5048828125,"0.098876953125",1.406005859375,10,1.505,1.406,0.099
"Extreme","",0.04541015625,"0.00367578119039536",0.0417343750596046,5,0.136,0.115,0.021
"Performance","",0.04541015625,"0.00244140625",0.04296875,5,0.136,0.115,0.021
"Capacity","",0.04541015625,"0.0149775389581919",0.0304326172918081,5,0.136,0.115,0.021
"Pool1","Infinidate1",214.74836730957,"0.9775390625",213.77082824707,1,278.65,63.797,214.748
"all-FC","Device42_3Par_Sim",28.79296875,"1.890625",26.90234375,4,67.336,62.756,4.58
"all-NL","Device42_3Par_Sim",21.15234375,"1.92578125",19.2265625,4,67.336,62.756,4.58
"all-SSD","Device42_3Par_Sim",17.390625,"0.763671875",16.626953125,4,67.336,62.756,4.58
"FC_r1","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"FC_r5","Device42_3Par_Sim",0.046875,"0.00048828125",0.04638671875,4,67.336,62.756,4.58
"FC_r6","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"SSD_r1","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"SSD_r5","Device42_3Par_Sim",0.01953125,"0.0009765625",0.0185546875,4,67.336,62.756,4.58
"SSD_r6","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"NL_r6","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"aggr0_cluster1_01","cluster1",0.00652343733236194,"0.00212109368294477",0.00440234364941716,,0.151,0.122,0.029
"cluster1_01_FC_1","cluster1",0.144195318222046,"0.026643555611372",0.117551758885384,,0.151,0.122,0.029
"Concrete storage pool 0000 for APM00125186274 storage system","dev42vnx5100",1.03125,"0.1484375",0.8828125,10,1.209,1.012,0.197
"Concrete storage pool 0001 for APM00125186274 storage system","dev42vnx5100",0.177734375,"0.048828125",0.12890625,10,1.209,1.012,0.197
"dg0","wbd42ddc03.device42.pvt",10.8000001907349,"10.8000001907349",0,,6.803,6.77,0.032
"Extreme","",0.04541015625,"0.00367578119039536",0.0417343750596046,5,0.136,0.115,0.021
"Performance","",0.04541015625,"0.00244140625",0.04296875,5,0.136,0.115,0.021
"Capacity","",0.04541015625,"0.0149775389581919",0.0304326172918081,5,0.136,0.115,0.021
"all-FC","Device42_3Par_Sim",28.79296875,"1.890625",26.90234375,4,67.336,62.756,4.58
"all-NL","Device42_3Par_Sim",21.15234375,"1.92578125",19.2265625,4,67.336,62.756,4.58
"all-SSD","Device42_3Par_Sim",17.390625,"0.763671875",16.626953125,4,67.336,62.756,4.58
"SSD_r5","Device42_3Par_Sim",,"",,4,67.336,62.756,4.58
"x200_12tb_24gb","wbd42isilon1",32.439998626709,"0.0393115244805813",32.4006881713867,,32.44,32.401,0.039
"aggr0","WH-NETAPP-01",5.09211730957031,"4.57254981994629",0.519567489624023,15,5.092,0.52,4.573
"FC_r1","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"FC_r5","Device42_3Par_Sim",0.046875,"0.00048828125",0.04638671875,4,67.336,62.756,4.58
"FC_r6","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"SSD_r1","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"SSD_r5","Device42_3Par_Sim",0.01953125,"0.0009765625",0.0185546875,4,67.336,62.756,4.58
"SSD_r6","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"NL_r6","Device42_3Par_Sim",0,"0",0,4,67.336,62.756,4.58
"dg0","wbd42ddc03.device42.pvt",10.8000001907349,"10.8000001907349",0,,6.803,6.77,0.032
"aggr0","WH-NETAPP-01",5.09211730957031,"4.57254981994629",0.519567489624023,15,5.092,0.52,4.573
"default","AF1000",3.36739754676819,"0.00827148463577032",3.35912609100342,3,3.367,3.359,0.008
"Pool1","Oraclezfs",0.0339658185839653,"1.17187501018634e-05",0.0339540988206863,1,0.034,0.034,0
"aggr0_NetApp_Cluster_1_0","NetApp_Cluster",0.0163076166063547,"0.00310253910720348",0.0132050774991512,,0.033,0.021,0.013
"d42do_904","NetApp_Cluster",0.0171660147607327,"0.00983984395861626",0.00732617080211639,,0.033,0.021,0.013
