storagearrayfs_pk,resource_fk,name,identifier,category,element_type,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,storagearraypool_fk,storagearraypool_name,access_policy,block_size,canonical_name,can_set_time,case_preserving,checkum,compression_ratio,dedup_enabled,description,directory_transfer_size,fs_encoding,fs_encrypted,fs_exported,export_path,format,host_io_size,cifs_notify_access,cifs_notify_write,cifs_opslock,cifs_sync_writes,smbca,thin_enabled,link_max,max_block_size,mount_point,name_max_size,num_copies,full_pool_policy,pool_name,project_name,quota,read_only,read_transfer_size,record_size,security_flavors,share_ftp,share_nfs,share_sftp,share_tftp,share_smb,snap_count,space_data,supported_protocols,sym_links,tiering_polcy,write_transfer_size,auto_grow_protection,nfs_id,root_hosts,root_mode,ssd_enabled,capacity,used_capacity,free_capacity,allocated_capacity,snap_capacity,snap_allocated_capacity,metadata_allocated_capacity,metadata_capacity,unused_res_capacity,unused_res_shares_capacity,percent_free,percent_used,total_reduction_ratio,total_reduction_savings,fs_type,fs_zone,status,first_added,last_edited,last_changed,protocol,technology,raid_type
2545,2545,"/ifs","fs|1|array|000c29c7bf33cd753d5f461e3eff5fb4a8c3","{fs}","fs","File System",2490,"d42dev","Array (ISILON)","array|000c29c7bf33cd753d5f461e3eff5fb4a8c3",,"",,8192,"","true",True,"",,,"Default export",131072,"DEFAULT",,,"",,"","","","","",,,32767,,"",255,,"","","",,False,131072,,"unix","","","","","","",,,"","",524288,"",,"","",,,,,,,,,,,,,,,,"","System","ok",2021-02-12 21:00:05.556,2021-11-11 23:01:12.766,2021-08-24 14:47:11.923,"nfs","sas",""
2383,2383,"ArrayIQ01","fs|ArrayIQ01|project|default|pool|Pool1|array|Oraclezfs","{fs}","fs","File System",2317,"Oraclezfs","Array (ZFS)","array|Oraclezfs",2371,"Pool1",,,"Pool1/local/default/ArrayIQ01","",,"fletcher4",1,False,"",,"",False,True,"",,"","","","","",,,,1048576,"/export/ArrayIQ01",,1,"","Pool1","default",2,,,0.125,"","false","false","false","false","false","",0,,"","",,"",,"","",,2,0,2,,,,,,0,0,100,0,,,"","","ok",2021-02-11 21:04:05.466,2021-11-07 21:02:12.256,2021-07-27 20:02:25.180,"nfs","",""
6456,6456,"d42do_904","fs|d42do_904|array|0142255929","{fs}","fs","File System",2042,"WH-NETAPP-01","Array (NETAPP)","array|0142255929",2055,"aggr0",,,"","",,"",,,"test file system",,"",,,"",,"","","","","",,,,,"/vol/d42do_904",,,"","","",,,,,"","","","","","","",,,"","",,"",,"","",,0.02,0,0.019,,,,,,,,,1,,,"flex","","online",2021-06-29 00:01:08.820,2021-11-12 01:01:12.526,2021-07-27 15:02:25.490,"cifs","sata","raid_dp"
2078,2078,"C$","fs|C$|array|0142255929","{fs}","fs","File System",2042,"WH-NETAPP-01","Array (NETAPP)","array|0142255929",2055,"aggr0",,,"","",,"",,,"Remote Administration",,"",,,"",,"","","","","",,,,,"/vol/root",,,"","","",,,,,"","","","","","","",,,"","",,"",,"","",,135,6.42,128.58,,,,,,,,,5,,,"flex","","online",2021-01-26 19:07:55.233,2021-11-12 01:01:12.520,2021-11-12 01:01:12.516,"cifs","sata","raid_dp"
2786,2786,"/data/col1/d42do-530","mtree|%2Fdata%2Fcol1%2Fd42do-530|array|APM00165258704","{mtree}","mtree","MTree",2288,"wbd42ddc03.device42.pvt","Array (DATA-DOMAIN)","array|APM00165258704",,"",,,"","",,"",,,"",,"",,,"",,"","","","","",,,,,"",,,"","","",,,,,"","","","","","","",,,"","",,"",,"","",,5,4.227,0.773,,,,,,,,15.46,84.54,,,"","","ok",2021-02-26 20:17:13.186,2021-11-11 20:18:12.336,2021-10-21 01:48:30.183,"mtree","sas",""
6459,6459,"/data/col1/test","mtree|%2Fdata%2Fcol1%2Ftest|array|APM00165258704","{mtree}","mtree","MTree",2288,"wbd42ddc03.device42.pvt","Array (DATA-DOMAIN)","array|APM00165258704",,"",,,"","",,"",,,"",,"",,,"",,"","","","","",,,,,"",,,"","","",,,,,"","","","","","","",,,"","",,"",,"","",,16252.6,0,16252.6,,,,,,,,100,0,,,"","","ok",2021-06-29 19:19:08.686,2021-11-11 20:18:12.346,2021-10-21 01:48:30.193,"mtree","sas",""
2379,2379,"demo","fs|demo|project|default|pool|Pool1|array|Oraclezfs","{fs}","fs","File System",2317,"Oraclezfs","Array (ZFS)","array|Oraclezfs",2371,"Pool1",,,"Pool1/local/default/demo","",,"fletcher4",1,False,"",,"",False,True,"",,"","","","","",,,,1048576,"/export/demo",,1,"","Pool1","default",2,,,0.125,"","false","false","false","false","false","",0,,"","",,"",,"","",,2,0,2,,,,,,0,0,100,0,,,"","","ok",2021-02-11 21:04:05.456,2021-11-07 21:02:12.250,2021-07-27 20:02:25.166,"nfs","",""
2077,2077,"ETC$","fs|ETC$|array|0142255929","{fs}","fs","File System",2042,"WH-NETAPP-01","Array (NETAPP)","array|0142255929",2055,"aggr0",,,"","",,"",,,"Remote Administration",,"",,,"",,"","","","","",,,,,"/vol/root/etc",,,"","","",,,,,"","","","","","","",,,"","",,"",,"","",,135,6.42,128.58,,,,,,,,,5,,,"flex","","online",2021-01-26 19:07:55.230,2021-11-12 01:01:12.510,2021-11-12 01:01:12.506,"cifs","sata","raid_dp"
6187,6187,"/ifs/vmzone/TP-Storage/TP-Storage-wbd42isilon1-s1","fs|2|array|0007430adbc0bda7ce5fc816b9df16b7bcb0","{fs}","fs","File System",6108,"wbd42isilon1","Array (ISILON)","array|0007430adbc0bda7ce5fc816b9df16b7bcb0",,"",,8192,"","true",True,"",,,"TP-Storage Share 1",131072,"DEFAULT",,,"",,"","","","","",,,32767,,"",255,,"","","",,False,131072,,"unix","","","","","","",,,"","",524288,"",,"","",,,,,,,,,,,,,,,,"","System","ok",2021-06-07 18:25:09.536,2021-11-11 23:01:13.390,2021-07-27 15:01:30.820,"nfs","sata",""
6186,6186,"/ifs","fs|1|array|0007430adbc0bda7ce5fc816b9df16b7bcb0","{fs}","fs","File System",6108,"wbd42isilon1","Array (ISILON)","array|0007430adbc0bda7ce5fc816b9df16b7bcb0",,"",,8192,"","true",True,"",,,"Default export",131072,"DEFAULT",,,"",,"","","","","",,,32767,,"",255,,"","","",,False,131072,,"unix","","","","","","",,,"","",524288,"",,"","",,,,,,,,,,,,,,,,"","System","ok",2021-06-07 18:25:09.526,2021-11-11 23:01:13.383,2021-07-27 15:01:30.810,"nfs","sata",""
