Country,Value,Category,Category order,Product,SKU
"US",80458,"2018",1,"Baby Food","SKU01"
"US",4567,"Price",2,"Baby Food","SKU01"
"US",12745,"Vol",3,"Baby Food","SKU01"
"US",2828,"Mix",4,"Baby Food","SKU01"
"US",100598,"2019",5,"Baby Food","SKU01"
"US",82185,"2018",1,"Baked Goods","SKU02"
"US",9873,"Price",2,"Baked Goods","SKU02"
"US",13096,"Vol",3,"Baked Goods","SKU02"
"US",3452,"Mix",4,"Baked Goods","SKU02"
"US",108606,"2019",5,"Baked Goods","SKU02"
"UK",24132,"2018",1,"Cereals","SKU03"
"UK",5279,"Price",2,"Cereals","SKU03"
"UK",9231,"Vol",3,"Cereals","SKU03"
"UK",4503,"Mix",4,"Cereals","SKU03"
"UK",43145,"2019",5,"Cereals","SKU03"
"UK",32052,"2018",1,"Canned Food","SKU04"
"UK",2310,"Price",2,"Canned Food","SKU04"
"UK",6328,"Vol",3,"Canned Food","SKU04"
"UK",2433,"Mix",4,"Canned Food","SKU04"
"UK",43123,"2019",5,"Canned Food","SKU04"
"Germany",116809,"2018",1,"Dairy Products","SKU05"
"Germany",-22374,"Price",2,"Dairy Products","SKU05"
"Germany",10317,"Vol",3,"Dairy Products","SKU05"
"Germany",4089,"Mix",4,"Dairy Products","SKU05"
"Germany",108841,"2019",5,"Dairy Products","SKU05"
"Italy",8130,"2018",1,"Desserts","SKU06"
"Italy",1897,"Price",2,"Desserts","SKU06"
"Italy",-813,"Vol",3,"Desserts","SKU06"
"Italy",-4176,"Mix",4,"Desserts","SKU06"
"Italy",5038,"2019",5,"Desserts","SKU06"
"Italy",22018,"2018",1,"Fish and Seafood","SKU07"
"Italy",3174,"Price",2,"Fish and Seafood","SKU07"
"Italy",-2018,"Vol",3,"Fish and Seafood","SKU07"
"Italy",2210,"Mix",4,"Fish and Seafood","SKU07"
"Italy",25384,"2019",5,"Fish and Seafood","SKU07"
"Spain",62270,"2018",1,"Frozen Food","SKU08"
"Spain",-12058,"Price",2,"Frozen Food","SKU08"
"Spain",15502,"Vol",3,"Frozen Food","SKU08"
"Spain",2616,"Mix",4,"Frozen Food","SKU08"
"Spain",68330,"2019",5,"Frozen Food","SKU08"
"Spain",113370,"2018",1,"Fruit and Vegetables","SKU09"
"Spain",-12778,"Price",2,"Fruit and Vegetables","SKU09"
"Spain",14579,"Vol",3,"Fruit and Vegetables","SKU09"
"Spain",7135,"Mix",4,"Fruit and Vegetables","SKU09"
"Spain",122306,"2019",5,"Fruit and Vegetables","SKU09"
"France",74930,"2018",1,"Meat","SKU10"
"France",-6406,"Price",2,"Meat","SKU10"
"France",-2413,"Vol",3,"Meat","SKU10"
"France",3754,"Mix",4,"Meat","SKU10"
"France",69865,"2019",5,"Meat","SKU10"
"France",54350,"2018",1,"Oils and Fats","SKU11"
"France",-13150,"Price",2,"Oils and Fats","SKU11"
"France",-4983,"Vol",3,"Oils and Fats","SKU11"
"France",5045,"Mix",4,"Oils and Fats","SKU11"
"France",41262,"2019",5,"Oils and Fats","SKU11"
"Canada",30683,"2018",1,"Organic Foods","SKU12"
"Canada",5923,"Price",2,"Organic Foods","SKU12"
"Canada",2683,"Vol",3,"Organic Foods","SKU12"
"Canada",432,"Mix",4,"Organic Foods","SKU12"
"Canada",39721,"2019",5,"Organic Foods","SKU12"
"China",12388,"2018",1,"Pasta","SKU13"
"China",-2236,"Price",2,"Pasta","SKU13"
"China",730,"Vol",3,"Pasta","SKU13"
"China",2404,"Mix",4,"Pasta","SKU13"
"China",13286,"2019",5,"Pasta","SKU13"
"Japan",147348,"2018",1,"Pizza","SKU14"
"Japan",-13838,"Price",2,"Pizza","SKU14"
"Japan",-9388,"Vol",3,"Pizza","SKU14"
"Japan",5516,"Mix",4,"Pizza","SKU14"
"Japan",129638,"2019",5,"Pizza","SKU14"
"Netherlands",52284,"2018",1,"Snacks","SKU15"
"Netherlands",-2810,"Price",2,"Snacks","SKU15"
"Netherlands",-5284,"Vol",3,"Snacks","SKU15"
"Netherlands",755,"Mix",4,"Snacks","SKU15"
"Netherlands",44945,"2019",5,"Snacks","SKU15"
