BusinessUnitID,BusinessUnit,Division,Group
1,"Baby Care BU","Personal care","Baby Care"
4,"Hair Care BU","Personal care","Hair Care"
5,"Oral Care BU","Personal care","Oral Care"
6,"Skin Care BU","Personal care","Skin Care"
7,"Accessories","Electronics","Comp"
8,"Desktop PC","Electronics","Comp"
9,"Laptops","Electronics","Comp"
10,"Monitors","Electronics","Comp"
16,"Cameras","Electronics","Video"
17,"TV","Electronics","Video"
19,"Lighting","Electronics","Video"
20,"Recorders","Electronics","Video"
21,"Tablets","Electronics","Mobile"
22,"Smartphones","Electronics","Mobile"
24,"Games","Electronics","Video"
27,"Wearables","Electronics","Wearable"
28,"Speakers","Electronics","Audio"
