Customer Number,Product Number,Year,Trimester,Month,Value Sales,Volume Sales,Actual Sales Converted,CLM Calculating Sales Allocation
50000175,202002300025,2018,T2,2018-07-01 00:00:00.000,1444.79,18,,0.0
50003024,202000200007,2018,T3,2018-12-01 00:00:00.000,114.0,12,2.64,0.0
50231231,202000200006,2018,T2,2018-08-01 00:00:00.000,1054.94,120,28.44,0.0
31570022,202000200006,2018,T3,2018-09-01 00:00:00.000,2771.93,840,199.08,0.0
50230556,202000200007,2018,T3,2018-11-01 00:00:00.000,285.0,30,6.6,0.0
31752007,202002400003,2018,T2,2018-06-01 00:00:00.000,1627.19,180,39.6,0.0
50000029,202000200006,2018,T3,2018-09-01 00:00:00.000,506.13,72,17.064,0.0
33440092,202000200005,2018,T3,2018-11-01 00:00:00.000,748.87,240,56.88,0.0
50020019,202002400004,2018,T2,2018-07-01 00:00:00.000,236.87,30,129.60000000000002,0.0
50230327,202001300002,2018,T3,2018-09-01 00:00:00.000,560.7,30,6.6,0.0
50000035,202000200004,2018,T3,2018-11-01 00:00:00.000,506.36,72,17.064,0.0
50000132,202000200006,2018,T3,2018-12-01 00:00:00.000,70.32,10,2.37,0.0
31770232,202000200005,2018,T3,2018-10-01 00:00:00.000,1824.19,480,113.76,0.0
50000078,202000200007,2018,T2,2018-08-01 00:00:00.000,256.58,30,6.6,0.0
50000121,202002400003,2018,T2,2018-08-01 00:00:00.000,-395.85,-29,-6.38,0.0
31670019,202000200007,2018,T2,2018-08-01 00:00:00.000,541.18,60,13.2,0.0
50000121,202000200005,2018,T2,2018-05-01 00:00:00.000,1630.96,232,54.984,0.0
50000162,202000200005,2018,T2,2018-06-01 00:00:00.000,42.13,6,1.422,0.0
50230056,202000200005,2018,T2,2018-07-01 00:00:00.000,210.96,24,5.688,0.0
50000006,202001300002,2018,T2,2018-07-01 00:00:00.000,93.58,5,1.1,0.0
31110001,202000600006,2018,T3,2018-09-01 00:00:00.000,76728.0,3336,3336.0,2805087.2041600053
31610040,202002400002,2018,T3,2018-11-01 00:00:00.000,465.14,60,13.2,0.0
50000161,202000200004,2018,T3,2018-12-01 00:00:00.000,168.57,24,5.688,0.0
50000165,202001300002,2018,T2,2018-05-01 00:00:00.000,-93.45,-5,-1.1,0.0
50230647,202000200005,2018,T3,2018-11-01 00:00:00.000,210.96,24,5.688,0.0
31770154,202002300030,2018,T2,2018-07-01 00:00:00.000,3433.69,296,296.0,0.0
50000016,202002300025,2018,T2,2018-08-01 00:00:00.000,642.15,8,,0.0
50000068,202000200006,2018,T3,2018-12-01 00:00:00.000,506.24,72,17.064,0.0
50230392,202000200005,2018,T2,2018-06-01 00:00:00.000,1054.8,120,28.44,0.0
205050270,202000200004,2018,T3,2018-11-01 00:00:00.000,160.68,40,9.48,0.0
50030003,202002300025,2018,T3,2018-10-01 00:00:00.000,722.4,12,,0.0
33440078,202000200005,2018,T2,2018-07-01 00:00:00.000,911.97,240,56.88,0.0
50000116,202000200006,2018,T2,2018-07-01 00:00:00.000,309.67,44,10.428,0.0
31770244,202000200005,2018,T2,2018-07-01 00:00:00.000,1823.84,480,113.76,0.0
50003056,202000200005,2018,T3,2018-09-01 00:00:00.000,210.96,24,5.688,0.0
50020015,202000200006,2018,T2,2018-07-01 00:00:00.000,3325.68,744,176.328,0.0
50000197,202002400004,2018,T2,2018-05-01 00:00:00.000,254.72,30,129.60000000000002,0.0
50000025,202000200004,2018,T3,2018-11-01 00:00:00.000,168.75,24,5.688,0.0
50000040,202000200004,2018,T2,2018-07-01 00:00:00.000,147.54,21,4.977,0.0
33440132,202000200005,2018,T3,2018-12-01 00:00:00.000,748.71,240,56.88,0.0
31520010,202002400002,2018,T3,2018-11-01 00:00:00.000,4799.91,600,132.0,0.0
31620060,202000200005,2018,T2,2018-05-01 00:00:00.000,475.08,144,34.128,0.0
31770034,202002400006,2018,T3,2018-11-01 00:00:00.000,7535.82,240,120.0,0.0
50030077,202000200006,2018,T2,2018-06-01 00:00:00.000,214.56,48,11.376,0.0
31670032,202002300030,2018,T3,2018-09-01 00:00:00.000,511.25,40,40.0,0.0
50003087,202000200006,2018,T2,2018-06-01 00:00:00.000,843.84,96,22.752,0.0
31770132,202000200005,2018,T2,2018-05-01 00:00:00.000,599.07,192,45.504,0.0
50000029,202000200004,2018,T3,2018-10-01 00:00:00.000,224.8,32,7.584,0.0
50000076,202002400006,2018,T2,2018-07-01 00:00:00.000,-169.5,-5,-2.5,0.0
50020003,202000200006,2018,T2,2018-05-01 00:00:00.000,321.84,72,17.064,0.0
31691202,202002300029,2018,T3,2018-10-01 00:00:00.000,6399.12,400,400.0,2805087.2041600053
50020046,202000200005,2018,T3,2018-09-01 00:00:00.000,5544.0,1584,375.408,0.0
31699537,202002400002,2018,T3,2018-12-01 00:00:00.000,660.0,60,13.2,0.0
50020022,202000200006,2018,T3,2018-11-01 00:00:00.000,3003.84,672,159.26399999999998,0.0
REPS-ABO-1001,202002300029,2018,T2,2018-07-01 00:00:00.000,0.0,3,3.0,0.0
31520010,202002400003,2018,T3,2018-10-01 00:00:00.000,479.97,60,13.2,0.0
50000080,202000200004,2018,T3,2018-10-01 00:00:00.000,168.69,24,5.688,0.0
208010026,202000200006,2018,T3,2018-10-01 00:00:00.000,20.14,5,1.185,0.0
50030069,202000200004,2018,T2,2018-06-01 00:00:00.000,750.96,168,39.816,0.0
50003045,202000200006,2018,T3,2018-11-01 00:00:00.000,632.88,72,17.064,0.0
50000168,202000200004,2018,T3,2018-09-01 00:00:00.000,168.66,24,5.688,0.0
31670001,202002300029,2018,T3,2018-10-01 00:00:00.000,2121.18,144,144.0,0.0
50020007,202001300002,2018,T3,2018-10-01 00:00:00.000,8068.8,480,105.6,0.0
50000030,202000200004,2018,T3,2018-11-01 00:00:00.000,70.33,10,2.37,0.0
50020112,202000200004,2018,T3,2018-11-01 00:00:00.000,536.4,120,28.44,0.0
50000008,202002300027,2018,T2,2018-06-01 00:00:00.000,205.25,24,3.0,0.0
50000052,202000200006,2018,T2,2018-06-01 00:00:00.000,168.81,24,5.688,0.0
50230551,202000200006,2018,T2,2018-06-01 00:00:00.000,422.01,48,11.376,0.0
50030019,202002300029,2018,T3,2018-09-01 00:00:00.000,1034.88,64,64.0,0.0
50003063,202000200007,2018,T2,2018-05-01 00:00:00.000,285.0,30,6.6,0.0
50000044,202001300002,2018,T3,2018-10-01 00:00:00.000,224.26,12,2.64,0.0
50000152,202000200006,2018,T3,2018-10-01 00:00:00.000,337.55,48,11.376,0.0
50000206,202002400002,2018,T2,2018-05-01 00:00:00.000,780.23,60,13.2,0.0
50020005,202002400004,2018,T2,2018-07-01 00:00:00.000,236.87,30,129.60000000000002,0.0
31570011,202000200005,2018,T2,2018-05-01 00:00:00.000,7920.05,2400,568.8,0.0
203030004,202002400004,2018,T2,2018-06-01 00:00:00.000,509.4,60,259.20000000000005,0.0
50231179,202001300002,2018,T3,2018-10-01 00:00:00.000,-187.07,-10,-2.2,0.0
50000051,202000200005,2018,T3,2018-09-01 00:00:00.000,337.18,48,11.376,0.0
50230604,202000200005,2018,T2,2018-08-01 00:00:00.000,421.94,48,11.376,0.0
50000199,202000200006,2018,T3,2018-10-01 00:00:00.000,337.04,48,11.376,0.0
50020023,202001300002,2018,T2,2018-08-01 00:00:00.000,7060.2,420,92.4,0.0
50020024,202002400002,2018,T3,2018-10-01 00:00:00.000,930.0,120,26.4,0.0
50232009,202000200006,2018,T3,2018-10-01 00:00:00.000,211.34,24,5.688,0.0
50030078,202000200005,2018,T2,2018-05-01 00:00:00.000,2520.0,720,170.64,0.0
31771019,202000200006,2018,T2,2018-07-01 00:00:00.000,1029.47,312,73.944,0.0
31693006,202002400006,2018,T2,2018-06-01 00:00:00.000,3768.09,120,60.0,0.0
50030057,202002300030,2018,T3,2018-11-01 00:00:00.000,601.5,50,50.0,0.0
50230046,202001300002,2018,T2,2018-07-01 00:00:00.000,485.94,26,5.72,0.0
50020034,202002300027,2018,T2,2018-05-01 00:00:00.000,193.92,24,3.0,0.0
50030045,202000200005,2018,T3,2018-10-01 00:00:00.000,1092.0,312,73.944,0.0
50020028,202002400006,2018,T3,2018-12-01 00:00:00.000,0.0,0,0.0,0.0
50000168,202002300027,2018,T2,2018-08-01 00:00:00.000,205.07,24,3.0,0.0
50000052,202000200006,2018,T2,2018-05-01 00:00:00.000,337.43,48,11.376,0.0
50000124,202002400002,2018,T2,2018-05-01 00:00:00.000,389.74,30,6.6,0.0
31500001,202000200004,2018,T2,2018-08-01 00:00:00.000,4447.92,1032,244.584,2805087.2041600053
50003094,202000200005,2018,T3,2018-12-01 00:00:00.000,1265.76,144,34.128,0.0
50020024,202002300028,2018,T3,2018-10-01 00:00:00.000,546.0,28,6.16,0.0
50000138,202000200005,2018,T2,2018-08-01 00:00:00.000,70.17,10,2.37,0.0
31520060,202002300029,2018,T3,2018-09-01 00:00:00.000,3028.85,240,240.0,0.0
50030064,202002400006,2018,T2,2018-07-01 00:00:00.000,2272.5,90,45.0,0.0
