DateKey,AccountKey,ScenarioKey,DepartmentGroupKey,OrganizationKey,Amount,GL Entry Date
20150629,67,2,1,6,100,2015-06-29 00:00:00.000
20150629,68,2,1,6,100,2015-06-29 00:00:00.000
20150629,74,2,1,6,100,2015-06-29 00:00:00.000
20150629,78,2,1,6,100,2015-06-29 00:00:00.000
20150629,83,2,1,6,100,2015-06-29 00:00:00.000
20150629,84,2,1,6,100,2015-06-29 00:00:00.000
20150629,65,2,2,6,100,2015-06-29 00:00:00.000
20150629,66,2,2,6,100,2015-06-29 00:00:00.000
20150629,73,2,2,6,100,2015-06-29 00:00:00.000
20150629,74,2,2,6,100,2015-06-29 00:00:00.000
20150629,81,2,2,6,100,2015-06-29 00:00:00.000
20150629,74,2,3,6,100,2015-06-29 00:00:00.000
20150629,84,2,3,6,100,2015-06-29 00:00:00.000
20150629,85,2,3,6,100,2015-06-29 00:00:00.000
20150629,67,2,4,6,100,2015-06-29 00:00:00.000
20150629,68,2,4,6,100,2015-06-29 00:00:00.000
20150629,78,2,4,6,100,2015-06-29 00:00:00.000
20150629,83,2,4,6,100,2015-06-29 00:00:00.000
20150629,66,2,5,6,100,2015-06-29 00:00:00.000
20150629,74,2,5,6,100,2015-06-29 00:00:00.000
20150629,76,2,5,6,100,2015-06-29 00:00:00.000
20150629,68,2,6,6,100,2015-06-29 00:00:00.000
20150629,78,2,6,6,100,2015-06-29 00:00:00.000
20150629,83,2,6,6,100,2015-06-29 00:00:00.000
20150629,84,2,6,6,100,2015-06-29 00:00:00.000
20150729,67,2,1,6,100,2015-07-29 00:00:00.000
20150729,68,2,1,6,100,2015-07-29 00:00:00.000
20150729,74,2,1,6,100,2015-07-29 00:00:00.000
20150729,78,2,1,6,100,2015-07-29 00:00:00.000
20150729,83,2,1,6,100,2015-07-29 00:00:00.000
20150729,84,2,1,6,100,2015-07-29 00:00:00.000
20150729,65,2,2,6,100,2015-07-29 00:00:00.000
20150729,66,2,2,6,100,2015-07-29 00:00:00.000
20150729,73,2,2,6,100,2015-07-29 00:00:00.000
20150729,74,2,2,6,100,2015-07-29 00:00:00.000
20150729,81,2,2,6,100,2015-07-29 00:00:00.000
20150729,74,2,3,6,100,2015-07-29 00:00:00.000
20150729,84,2,3,6,100,2015-07-29 00:00:00.000
20150729,85,2,3,6,100,2015-07-29 00:00:00.000
20150729,67,2,4,6,100,2015-07-29 00:00:00.000
20150729,68,2,4,6,100,2015-07-29 00:00:00.000
20150729,78,2,4,6,100,2015-07-29 00:00:00.000
20150729,83,2,4,6,100,2015-07-29 00:00:00.000
20150729,66,2,5,6,100,2015-07-29 00:00:00.000
20150729,74,2,5,6,100,2015-07-29 00:00:00.000
20150729,76,2,5,6,100,2015-07-29 00:00:00.000
20150729,68,2,6,6,100,2015-07-29 00:00:00.000
