Index,Entity,Year,Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from wind (TWh),Electricity from other renewables (TWh)
"Russia-2010","Russia",2010,164.818,0,0.004,3.279
"Russia-2011","Russia",2011,164.186,0,0.005,3.2990000000000004
"Russia-2012","Russia",2012,164.239,0.001,0.005,3.513
"Russia-2013","Russia",2013,179.339,0.001,0.005,3.3649999999999998
"Russia-2014","Russia",2014,173.514,0.16,0.1,3.5580000000000003
"Russia-2015","Russia",2015,166.313,0.335,0.15,3.279
"Russia-2016","Russia",2016,182.766,0.46,0.15,2.914
"Russia-2017","Russia",2017,183.163,0.56,0.14,3.113
"Russia-2018","Russia",2018,189.23058,0.72,0.232,3.039
"Russia-2019","Russia",2019,192.43224,0.985,0.315,3.73
"Russia-2020","Russia",2020,209.54492,1.67466999999999,1.34284,3.73
